wifi_rssi_columns,wifi_freq_columns
wifi_rssi_20:23:00:00:01:24,wifi_freq_20:23:00:00:01:24
wifi_rssi_20:23:00:00:01:26,wifi_freq_20:23:00:00:01:26
wifi_rssi_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:27
wifi_rssi_20:23:00:00:01:28,wifi_freq_20:23:00:00:01:28
wifi_rssi_20:23:00:00:01:29,wifi_freq_20:23:00:00:01:29
wifi_rssi_20:23:00:00:01:32,wifi_freq_20:23:00:00:01:32
wifi_rssi_20:23:00:00:01:35,wifi_freq_20:23:00:00:01:35
wifi_rssi_20:23:00:00:01:36,wifi_freq_20:23:00:00:01:36
wifi_rssi_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:38
wifi_rssi_20:23:00:00:01:39,wifi_freq_20:23:00:00:01:39
wifi_rssi_20:23:00:00:01:42,wifi_freq_20:23:00:00:01:42
wifi_rssi_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:43
wifi_rssi_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:45
wifi_rssi_20:23:00:00:01:46,wifi_freq_20:23:00:00:01:46
wifi_rssi_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:47
wifi_rssi_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:51
wifi_rssi_20:23:00:00:01:52,wifi_freq_20:23:00:00:01:52
wifi_rssi_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:59
wifi_rssi_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:64
wifi_rssi_20:23:00:00:01:66,wifi_freq_20:23:00:00:01:66
wifi_rssi_20:23:00:00:01:72,wifi_freq_20:23:00:00:01:72
wifi_rssi_20:23:00:00:02:15,wifi_freq_20:23:00:00:02:15
wifi_rssi_20:23:00:00:02:26,wifi_freq_20:23:00:00:02:26
wifi_rssi_20:23:00:00:03:22,wifi_freq_20:23:00:00:03:22
wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:03:25
wifi_rssi_20:23:00:00:03:43,wifi_freq_20:23:00:00:03:43
wifi_rssi_20:23:00:00:03:44,wifi_freq_20:23:00:00:03:44
