AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:10,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:14,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:17,wifi_rssi_20:23:00:00:00:19,wifi_rssi_20:23:00:00:00:21,wifi_rssi_20:23:00:00:00:22,wifi_rssi_20:23:00:00:00:23,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:35,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:41,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:54,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:10,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:14,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:17,wifi_freq_20:23:00:00:00:19,wifi_freq_20:23:00:00:00:21,wifi_freq_20:23:00:00:00:22,wifi_freq_20:23:00:00:00:23,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:35,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:41,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:54,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:03:25
40.9448,-58.0,-83.0,-81.0,-83.0,-84.0,,,-73.0,,,,-71.0,,,,,,-78.0,-73.0,,,,,-64.0,-68.0,-68.0,,-68.0,,-89.0,,-76.0,-72.0,-72.0,-68.0,-80.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,5200.0,5500.0,5500.0,,,5200.0,,,,2452.0,,,,,,2462.0,2412.0,,,,,2457.0,2462.0,2412.0,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
44.8972,-53.0,-84.0,-77.0,-83.0,-83.0,,,-71.0,,,,-66.0,,,,,,,,,,,,-64.0,-62.0,-70.0,,-72.0,,,,-76.0,-69.0,-69.0,-68.0,-80.0,,,,,,,,,,,,,,,,,,-87.0,2437.0,2437.0,5200.0,5500.0,5500.0,,,5200.0,,,,2452.0,,,,,,,,,,,,2457.0,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
48.9168,-53.0,,-75.0,-83.0,-83.0,,,-70.0,,-88.0,,-62.0,,,,,,-83.0,-72.0,,,,,-63.0,-67.0,-71.0,,-66.0,,,,-73.0,-72.0,-71.0,-61.0,-79.0,,,,,,,,,,,,,,,,,,,2437.0,,5200.0,5500.0,5500.0,,,5200.0,,2417.0,,2452.0,,,,,,2462.0,2412.0,,,,,2457.0,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
52.9019,-58.0,,-79.0,-88.0,-89.0,,,-70.0,,,,-63.0,,,,,,,-74.0,,,,,-63.0,-66.0,-68.0,,-66.0,,,,-73.0,-71.0,-71.0,-65.0,-78.0,,-89.0,,,,,,,,,,,,,,,,,2437.0,,5200.0,5500.0,5500.0,,,5200.0,,,,2452.0,,,,,,,2412.0,,,,,2457.0,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,
56.949,-58.0,-85.0,-78.0,,,,,-72.0,,,,-69.0,,,,,,,-67.0,-89.0,,,,-63.0,-66.0,-69.0,-90.0,-65.0,,,,-75.0,-75.0,-75.0,-65.0,-78.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,5200.0,,,,,5200.0,,,,2452.0,,,,,,,2412.0,2462.0,,,,2457.0,2462.0,2412.0,2462.0,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
60.9104,-54.0,-87.0,-78.0,-85.0,-85.0,,,-68.0,,-86.0,,-64.0,,,,,,-76.0,-72.0,,,,,-61.0,-70.0,-69.0,,-66.0,,,,-73.0,-72.0,-71.0,-69.0,-78.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,5200.0,5500.0,5500.0,,,5200.0,,2417.0,,2452.0,,,,,,2462.0,2412.0,,,,,2457.0,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
64.8729,-55.0,,,,,,,-67.0,,,,-58.0,,,,,,,-71.0,,,,,-58.0,-72.0,-73.0,-88.0,-68.0,,,,-75.0,-72.0,-71.0,-73.0,-79.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,2452.0,,,,,,,2412.0,,,,,2457.0,2462.0,2412.0,2462.0,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
68.9159,-52.0,,-85.0,,,,,,,,,-62.0,,,,,,,-76.0,,,-85.0,,-66.0,-67.0,-60.0,,-61.0,,,,-74.0,-68.0,-67.0,-68.0,-75.0,,-86.0,,,,,,,,,,,,,,,,,2437.0,,5200.0,,,,,,,,,2452.0,,,,,,,2412.0,,,2412.0,,2457.0,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,
72.956,-47.0,,-88.0,,,,,-67.0,,,,-62.0,,,,,,,,,,,,-77.0,-58.0,-61.0,,-63.0,,,,-72.0,-68.0,-68.0,-57.0,-71.0,,-86.0,,,,,,,,,,,,,,,,,2437.0,,5200.0,,,,,5200.0,,,,2452.0,,,,,,,,,,,,2457.0,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,
76.9279,-55.0,,-89.0,,,,,,,-83.0,,-57.0,,,,,,,-83.0,-86.0,,-90.0,,-81.0,-59.0,-62.0,,-62.0,,,,-76.0,-64.0,-64.0,-60.0,-76.0,-88.0,-87.0,,,,,,,,,,,,,,,,-90.0,2437.0,,5200.0,,,,,,,2417.0,,2452.0,,,,,,,2412.0,2462.0,,2412.0,,2457.0,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,2452.0,2437.0,,,,,,,,,,,,,,,,2437.0
80.9018,-49.0,,,,,,,-51.0,,,,-59.0,,,,,,,-76.0,,,-90.0,,-80.0,-64.0,-62.0,-77.0,-66.0,,,,-70.0,-65.0,-65.0,-64.0,,,-83.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,2452.0,,,,,,,2412.0,,,2412.0,,2457.0,2462.0,2412.0,2462.0,2427.0,,,,2437.0,5200.0,5200.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,
84.9102,-49.0,,,,,,,-58.0,,,,-65.0,,,,,,,,,,,,,-60.0,-56.0,-78.0,-63.0,,-84.0,,-74.0,-67.0,-67.0,-60.0,-76.0,-90.0,-83.0,,,,,,,,,,,,,,,,-85.0,2437.0,,,,,,,5200.0,,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,2462.0,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,2452.0,2437.0,,,,,,,,,,,,,,,,2437.0
88.9172,-49.0,,-86.0,,,,,-54.0,,-80.0,,-70.0,,,,,,-75.0,,,,,,,-60.0,-60.0,,-59.0,,-87.0,,-68.0,-68.0,-69.0,-62.0,-68.0,,-79.0,,,,,,,,,,,,,,,,-84.0,2437.0,,5200.0,,,,,5200.0,,2417.0,,2452.0,,,,,,2462.0,,,,,,,2462.0,2412.0,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,2437.0
92.8955,-48.0,-86.0,,,,,,-42.0,,-84.0,,-61.0,,,,,,-80.0,,,,,,-81.0,-65.0,-60.0,-72.0,-59.0,,,,-75.0,-66.0,-66.0,-67.0,-78.0,-88.0,,,,,,,,,,,,,,,,,-80.0,2437.0,2437.0,,,,,,5200.0,,2417.0,,2452.0,,,,,,2462.0,,,,,,2457.0,2462.0,2412.0,2462.0,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,2452.0,,,,,,,,,,,,,,,,,2437.0
96.9266,-64.0,,-83.0,,,-86.0,,-49.0,,,,-62.0,,,,,,-81.0,,,-91.0,,,,-62.0,-60.0,,-69.0,,,,-72.0,-66.0,-66.0,-64.0,,,-78.0,,,,,,,,,,,,,,,,-82.0,2437.0,,5200.0,,,2462.0,,5200.0,,,,2452.0,,,,,,2462.0,,,2462.0,,,,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,2437.0
100.9009,-48.0,,,,,,,-54.0,,-82.0,,-56.0,,,,,,,-75.0,,-90.0,,,-76.0,-63.0,-57.0,,-57.0,,,,-67.0,-63.0,-62.0,-60.0,-72.0,,-81.0,,,,,,,,,,,,,,,,-80.0,2437.0,,,,,,,5200.0,,2417.0,,2452.0,,,,,,,2412.0,,2462.0,,,2457.0,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,2437.0
104.9286,-47.0,-91.0,-85.0,,,,,-64.0,,-77.0,,-56.0,,,,,,-78.0,-76.0,,,,-93.0,,-51.0,-59.0,,-53.0,,-81.0,,-67.0,-61.0,-61.0,-52.0,-77.0,,-83.0,,,,,,,,,,,,,,,,,2437.0,2437.0,5200.0,,,,,5200.0,,2417.0,,2452.0,,,,,,2462.0,2412.0,,,,2412.0,,2462.0,2412.0,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,
108.914,-55.0,,,,,,,-62.0,,,,-48.0,,,,,,,-78.0,,,,,-87.0,-52.0,-62.0,-81.0,-54.0,,-79.0,-89.0,-66.0,-56.0,-56.0,-52.0,-70.0,,,,,,,,,,,,,,,,,,-74.0,2437.0,,,,,,,5200.0,,,,2452.0,,,,,,,2412.0,,,,,2457.0,2462.0,2412.0,2462.0,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
112.9407,-58.0,,,,,,,-62.0,,-74.0,,-45.0,,,,,,,-83.0,,,,,,-52.0,-54.0,,-46.0,,,-88.0,-61.0,-56.0,-56.0,-47.0,-61.0,,-72.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,2417.0,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,2427.0,,,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,
116.9117,-59.0,,,,,,,,,-71.0,,-46.0,,,,,,,,,,,,,-48.0,-51.0,,-45.0,,-75.0,,-58.0,-53.0,-53.0,-46.0,-61.0,,-69.0,,,,,,,,,,,,,,,,-73.0,2437.0,,,,,,,,,2417.0,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,2437.0
120.9197,-62.0,,,,,,,-70.0,,-78.0,,-50.0,,,,,,,-86.0,,,,,,-56.0,-60.0,,-53.0,,-73.0,-77.0,-59.0,-61.0,-61.0,-57.0,-59.0,,-85.0,-89.0,-85.0,-84.0,-85.0,-85.0,-85.0,-85.0,,,-89.0,,,,,-91.0,-65.0,2437.0,,,,,,,5200.0,,2417.0,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,2462.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,,,2462.0,,,,,5500.0,2437.0
124.9475,-65.0,,,,,,,-74.0,,-83.0,,-56.0,,,,,,,,,,,,,-63.0,-61.0,-85.0,-57.0,,-72.0,-74.0,-69.0,-67.0,-66.0,-61.0,-55.0,,-91.0,,,,-85.0,-86.0,,-85.0,,,,,-89.0,-88.0,-86.0,-87.0,-60.0,2437.0,,,,,,,5200.0,,2417.0,,2452.0,,,,,,,,,,,,,2462.0,2412.0,2462.0,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,5500.0,5500.0,,5500.0,,,,,2412.0,2412.0,5500.0,5500.0,2437.0
128.8928,-61.0,,,,,,,,,,,-52.0,,,,,,,-90.0,,,,,,-57.0,-57.0,,-58.0,,-64.0,,-73.0,-60.0,-60.0,-55.0,-51.0,,,,-86.0,-86.0,-85.0,-86.0,-86.0,-89.0,-88.0,,,,,,,,-56.0,2437.0,,,,,,,,,,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,2437.0,,,,,,,,2437.0
132.9414,,,,,,,,-74.0,,-84.0,,-50.0,,,,,,,,,,,,,-57.0,-59.0,,-54.0,,-67.0,-71.0,,-62.0,-62.0,-57.0,-52.0,,,,,,,,,,,,,,,,,,-57.0,,,,,,,,5200.0,,2417.0,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
136.8794,-67.0,,,,,,,,,-84.0,,-56.0,,,,,,,,,,,,-86.0,-56.0,-57.0,,-54.0,,-67.0,-75.0,-70.0,-58.0,-58.0,-57.0,-53.0,,-83.0,,,,,,,,,,,,,,,,-61.0,2437.0,,,,,,,,,2417.0,,2452.0,,,,,,,,,,,,2457.0,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,2437.0
140.7466,,,,,,,,-76.0,,-84.0,,-54.0,,,,,,-84.0,,,,,,-88.0,-56.0,-57.0,,-52.0,,-67.0,-75.0,-70.0,-58.0,-58.0,-57.0,-56.0,,,,,,,,,,,,,,,,,,-58.0,,,,,,,,5200.0,,2417.0,,2452.0,,,,,,2462.0,,,,,,2457.0,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
144.9097,-66.0,,,,,,,-76.0,,,,-52.0,,,,,,-85.0,,,,,,,-55.0,-57.0,,-55.0,,-71.0,-77.0,-74.0,-58.0,-59.0,-54.0,-52.0,,,,,,,,,,,,,,,,,,-61.0,2437.0,,,,,,,5200.0,,,,2452.0,,,,,,2462.0,,,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
148.9125,-70.0,,-87.0,,,,,-72.0,,-84.0,,-51.0,,,,,,-83.0,,,,,,,-57.0,-58.0,,-53.0,,-69.0,-77.0,-69.0,-58.0,-59.0,-58.0,-52.0,,,,,,,,,,,,,,,,,,-64.0,2437.0,,5200.0,,,,,5200.0,,2417.0,,2452.0,,,,,,2462.0,,,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
