AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,PitchX,RollY,YawZ,Quat_1,Quat_2,Quat_3,Quat_4
0.6438,65094.1881,-0.62968,6.32548,7.79791,-0.06048,0.17837,0.23824,-2.64,-34.02,-50.22,41.475006,2.838976,-16.403917,0.9266138161980214,0.35366279,-0.02756923,-0.12469725
0.6827,65094.2081,-0.07661,6.86896,7.81707,0.02688,0.0336,0.31582,-3.18,-34.02,-50.7,41.409149,2.743035,-15.99866,0.9272261721324507,0.35312483,-0.02701487,-0.12175663
0.6859,65094.2281,0.23224,6.90009,7.78116,0.1014,-0.03299,0.21441,-3.54,-34.02,-50.64,41.463631,2.464621,-15.552038,0.9274633287848532,0.35337937,-0.02795596,-0.11896747
0.6997,65094.2481,0.11253,6.74686,7.7213,0.1179,-0.01405,0.16066,-3.54,-33.66,-50.28,41.583946,2.225691,-15.245555,0.9273535565533675,0.35418117,-0.02908252,-0.11715497
0.7198,65094.2691,-0.26097,6.91924,7.86495,0.15638,-0.02138,0.11484,-3.72,-33.48,-49.74,41.721958,2.054968,-15.024175,0.9271129984002656,0.35517928,-0.02993488,-0.11581481
0.7403,65094.2891,-0.44772,6.96713,7.86016,0.13134,0.02077,0.10568,-3.54,-33.72,-49.44,41.908531,1.924908,-14.85888,0.9266723296769674,0.35659865,-0.03068128,-0.11478003
0.7618,65094.31,-0.43574,7.02219,7.87453,0.04093,0.16677,0.13867,-3.42,-33.72,-50.04,42.028591,1.882754,-14.693159,0.9264561974500346,0.35757014,-0.03063765,-0.11350702
0.7919,65094.3311,-0.18675,6.94318,8.14986,0.11301,0.18204,0.14783,-3.42,-33.84,-50.16,42.07531,1.94522,-14.466351,0.9265509462333242,0.35806805,-0.02947507,-0.11145329
0.8095,65094.3512,-0.88585,7.54652,7.39329,0.21625,0.03543,0.22419,-3.42,-34.02,-50.52,42.256599,1.981893,-14.217588,0.9262383936601944,0.35962951,-0.02859349,-0.10923125
0.8268,65094.3711,-1.13485,8.30788,7.74764,0.14783,-0.12584,0.26084,-3.36,-33.72,-50.4,42.516781,1.762486,-13.890635,0.9256810256834855,0.36160454,-0.02960976,-0.10714503
0.8415,65094.3911,-0.44772,7.78834,8.79151,0.08735,0.08858,0.24679,-3.12,-33.66,-49.68,42.675598,1.418467,-13.513627,0.9254410131399181,0.36266741,-0.03135797,-0.10510927
0.8616,65094.4111,-0.97683,7.08444,8.90643,0.14722,0.30116,0.3372,-3.18,-33.96,-49.2,42.770447,1.375135,-13.163516,0.9254478945203711,0.36348814,-0.03069178,-0.10237471
0.8822,65094.4311,-1.58257,7.54174,8.52096,0.40928,0.24496,0.61881,-3.36,-34.2,-49.02,42.984531,1.387737,-12.597433,0.9252691437374378,0.36537349,-0.02899294,-0.09766593
0.9063,65094.4511,-2.42293,9.14346,7.38132,0.63835,0.06903,0.75564,-3.54,-34.56,-49.02,43.558384,1.179956,-11.734941,0.9240971939107945,0.37004471,-0.02841583,-0.09112535
0.9301,65094.4711,-2.40138,9.01656,6.8115,0.71288,-0.21258,0.8491,-3.84,-34.92,-49.02,44.398483,0.736568,-10.776089,0.9219936969292801,0.37671015,-0.02955259,-0.08452059
0.9418,65094.4911,-0.15562,8.5042,7.63032,0.81001,-0.39767,0.70555,-4.5,-34.86,-48.78,45.298038,-0.275131,-9.620582,0.9195503481709136,0.38354179,-0.03449992,-0.07831097
0.9616,65094.5111,-0.19393,7.3071,6.68222,0.63041,-0.07086,0.54367,-4.5,-34.56,-48.6,46.221649,-1.208245,-8.692822,0.9167376192983212,0.39062533,-0.03941502,-0.07382713
0.9835,65094.5332,-0.89304,6.73489,7.45076,0.47709,0.08369,0.66829,-4.8,-34.68,-47.88,46.851116,-1.722857,-7.876524,0.914896680439737,0.39562616,-0.04106422,-0.06897634
1.0059,65094.5531,-0.90501,6.78996,7.81707,0.697,0.25717,0.7251,-4.98,-34.86,-47.4,47.367775,-2.175067,-6.842576,0.913523798669348,0.39986479,-0.04131779,-0.06225158
1.0234,65094.5731,-0.75178,6.94318,7.6399,0.91324,0.3427,0.6805,-4.92,-34.86,-47.1,48.058483,-2.497506,-5.803083,0.9115010013684544,0.40557665,-0.0404866,-0.05508485
1.0608,65094.5932,-1.01275,6.68222,6.71813,0.96211,0.41478,0.52595,-5.04,-35.04,-46.5,48.923664,-2.579949,-4.89181,0.9087797775569026,0.41273031,-0.03814009,-0.04814915
1.069,65094.6131,-1.13964,5.8634,5.44202,0.81978,0.44715,0.39218,-5.7,-34.86,-46.02,49.781391,-2.3315,-4.332951,0.9059526680385926,0.41980293,-0.03434941,-0.04284135
1.0883,65094.6331,-0.73263,5.58088,5.21457,0.56139,0.54795,0.49236,-6.18,-34.44,-45.84,50.455875,-1.993349,-3.864611,0.903718187911151,0.425383,-0.03009576,-0.03790759
1.1052,65094.6532,0.00239,5.84903,5.09247,0.26573,0.74098,0.53267,-6.48,-34.32,-45.36,50.852772,-1.753032,-3.127765,0.9025163952136045,0.42876384,-0.02552686,-0.03121066
1.1256,65094.6751,0.39265,5.35822,5.37738,0.0733,0.89003,0.53878,-6.66,-34.14,-44.58,50.948219,-1.460699,-2.223846,0.9024300397156625,0.42976391,-0.01985094,-0.02299881
1.1461,65094.6951,0.13647,5.24809,5.71496,0.05131,0.85827,0.65057,-6.66,-33.96,-44.58,50.840965,-1.096934,-1.246397,0.9030424066664677,0.42911893,-0.01331379,-0.01393193
1.166,65094.7151,0.7015,5.3271,5.68144,0.09285,0.83017,0.72632,-6.72,-34.44,-44.22,50.727802,-1.052547,-0.019709,0.9035665699776637,0.42834637,-0.00837335,-0.00408998
1.186,65094.7351,1.07739,5.29837,5.78918,0.07514,0.7813,0.68173,-6.84,-34.68,-44.82,50.609379,-1.195804,1.319485,0.9039897683065544,0.42748889,-0.0045119,0.00594899
1.2058,65094.7551,1.02951,5.17866,5.60004,0.02016,0.75442,0.76419,-7.14,-34.68,-45.36,50.439575,-1.406871,2.684467,0.9044860868447395,0.42620292,-0.00112354,0.01596018
1.2329,65094.775,1.94888,5.67905,6.02621,0.03176,0.79351,0.80695,-7.26,-34.98,-45.54,50.185005,-1.922568,4.324531,0.9051205522338855,0.42429256,0.00081554,0.02705447
1.2558,65094.7962,2.30322,5.75087,5.77003,0.00367,0.89553,0.75808,-7.26,-34.62,-45.84,49.931812,-2.566795,6.117229,0.9055450101866913,0.42245531,0.00223959,0.03891953
1.2674,65094.8161,2.01592,5.17866,5.36541,-0.10507,0.92302,0.7813,-7.2,-34.56,-45.36,49.618332,-3.106582,7.945168,0.9059846704037487,0.42013991,0.00451272,0.05151571
1.2935,65094.8361,1.94649,5.60483,4.95121,-0.25717,0.70921,0.90347,-7.38,-34.68,-45.54,49.219482,-3.744931,9.804434,0.9065186569187071,0.41722918,0.0059695,0.06409447
1.3131,65094.8571,2.50433,6.04296,5.61201,-0.28039,0.47953,1.0061,-7.38,-34.44,-45.12,48.666275,-4.868628,11.961703,0.9072111962776724,0.41346124,0.00440418,0.07744838
1.3305,65094.8772,3.67031,6.28957,6.37576,-0.18021,0.30543,0.91141,-8.28,-34.26,-45.0,48.10466,-6.360723,14.181683,0.9075849552484953,0.41008452,-4.053e-05,0.09011234
1.348,65094.8971,4.12282,6.17225,6.89051,-0.03726,0.41294,0.74648,-8.76,-34.44,-45.36,47.617435,-7.908679,16.226995,0.9075132673587135,0.40759689,-0.00562305,0.10125624
1.3683,65094.9181,3.45962,5.58088,5.24091,-0.06353,0.68906,0.5681,-8.76,-33.96,-45.66,47.293537,-9.054038,18.082952,0.9068065274494163,0.40623957,-0.00856812,0.11224046
1.3885,65094.9381,2.9305,5.32231,4.23534,-0.33109,0.51862,0.562,-8.46,-34.38,-46.08,46.960407,-9.811328,19.611881,0.9062898939762495,0.4045313,-0.00967957,0.12206294
1.4121,65094.9581,3.39498,5.30795,5.15472,-0.62186,0.38118,0.59926,-8.04,-34.8,-46.38,46.289318,-10.75306,21.075571,0.9067656134886539,0.40048185,-0.01313896,0.13121653
1.432,65094.9781,3.93367,5.62398,6.21774,-0.67256,0.36713,0.59376,-8.34,-34.26,-46.26,45.311119,-11.733096,22.45648,0.9080989274933258,0.39420551,-0.01790875,0.14013433
1.451,65094.9981,4.20661,6.37576,6.19859,-0.54123,0.34941,0.50885,-8.88,-34.38,-46.38,44.37088,-12.657949,23.757439,0.9091831928026468,0.38827854,-0.02263694,0.1487053
1.4708,65095.0191,4.57293,6.8977,5.45639,-0.50457,0.04704,0.43555,-9.9,-33.66,-46.74,43.632637,-13.607109,24.971601,0.909558830775216,0.38406557,-0.02759973,0.15631579
1.4914,65095.0401,5.55694,7.45794,5.96396,-0.57666,-0.21869,0.27794,-9.9,-33.3,-46.98,42.965668,-14.890896,26.06081,0.9096230430489353,0.38097101,-0.03559961,0.16180135
1.5134,65095.0601,5.79157,7.40766,6.47871,-0.6298,-0.30849,0.00305,-10.26,-33.06,-47.7,42.312347,-16.173662,26.790232,0.9099696874466333,0.3779943,-0.04484424,0.16451283
1.5315,65095.0802,4.78601,7.36217,7.24007,-0.65179,-0.50702,-0.14416,-10.44,-32.76,-48.06,41.678299,-17.172478,27.003,0.9109695470481647,0.37461373,-0.05354975,0.16410808
1.5518,65095.1001,4.31675,7.78116,8.22887,-0.551,-0.47831,-0.13928,-10.5,-32.46,-48.54,41.079544,-18.104136,26.94721,0.9121760711238005,0.37127912,-0.06254452,0.16178632
1.5781,65095.1201,4.4604,8.76278,8.31267,-0.46914,-0.51129,-0.15516,-11.1,-31.98,-49.26,40.62326,-18.903667,26.859772,0.9130296466593728,0.36881903,-0.0702684,0.1594106
1.5934,65095.1411,4.92727,9.80665,8.90882,-0.40928,-0.77397,-0.32437,-11.1,-31.98,-49.32,40.278286,-19.68223,26.624187,0.9137385139363132,0.36706808,-0.07804433,0.15573065
1.612,65095.1612,4.58011,10.54406,9.52174,-0.26939,-0.91752,-0.5962,-11.22,-31.5,-49.68,40.134071,-20.42758,26.080959,0.9142956441471647,0.36655518,-0.08606702,0.14930922
1.6319,65095.1811,3.85227,10.64941,9.75637,-0.16249,-1.12094,-0.82772,-11.28,-31.56,-49.92,40.250904,-21.017647,25.113161,0.9147545539333338,0.36744443,-0.0936058,0.13945125
1.6529,65095.2011,3.26569,10.19691,10.41238,-0.05559,-1.1301,-0.91996,-11.28,-31.62,-50.04,40.511742,-21.524618,23.867405,0.9151031211001771,0.36899748,-0.10106979,0.12732649
1.6766,65095.2221,3.17471,10.01255,11.37246,0.17165,-1.14659,-0.92852,-11.04,-31.68,-49.86,40.919922,-22.002272,22.498068,0.9150429311937139,0.37141445,-0.10842006,0.1139861
1.6969,65095.2421,3.36625,10.12029,11.48499,0.58826,-1.08795,-0.9499,-11.04,-32.16,-49.62,41.600018,-22.531528,21.339273,0.9138065479675308,0.37605634,-0.11499046,0.10156976
1.7155,65095.2621,3.62722,9.90002,10.43154,0.94745,-1.1753,-1.05374,-10.68,-32.28,-48.84,42.756886,-23.142189,20.366774,0.9108241811529106,0.38451529,-0.12070151,0.08932216
1.7355,65095.2821,3.3854,9.13148,8.83939,1.13987,-1.24311,-1.17836,-10.38,-32.46,-47.76,44.29866,-23.831301,19.409523,0.906400491168445,0.39585564,-0.12631248,0.07603696
1.7564,65095.3021,2.80122,8.24802,7.80749,1.18508,-1.36712,-1.22295,-10.26,-33.0,-47.34,46.006813,-24.488432,18.33704,0.9012559879311144,0.40812263,-0.13186985,0.06151346
1.7756,65095.3222,2.38223,7.58962,7.3095,1.24494,-1.52961,-1.22601,-9.66,-32.82,-46.5,47.722187,-25.176432,17.195646,0.8956947448406296,0.42015705,-0.13805363,0.046262
1.7992,65095.3421,2.16196,7.15148,7.19218,1.32558,-1.67011,-1.19058,-9.12,-33.24,-45.96,49.439938,-25.973331,16.029526,0.8895858780227495,0.43196893,-0.14532189,0.03035387
1.8258,65095.3621,2.61926,7.08444,7.41724,1.38422,-1.70187,-1.15759,-8.58,-33.42,-45.24,51.09343,-26.890896,14.907032,0.8830984517264284,0.443097,-0.15360551,0.01440557
1.8453,65095.382,3.49075,7.12993,6.50744,1.37261,-1.48624,-1.53083,-7.92,-32.88,-43.92,52.7635,-27.872625,13.878344,0.8760435657969418,0.45417809,-0.16207567,-0.00118768
1.8617,65095.4021,2.88501,6.53378,5.54018,1.22662,-1.38117,-1.78617,-7.44,-33.36,-42.72,54.543053,-28.129278,12.226218,0.8691546875809809,0.46494693,-0.16744313,-0.01890184
1.873,65095.4221,1.50595,5.60004,4.8722,0.94684,-1.26693,-1.94316,-6.96,-33.06,-41.28,56.245911,-27.539379,9.758274,0.8630300593746744,0.47401384,-0.1702186,-0.03893102
1.9201,65095.4422,0.69671,4.97276,5.10204,0.76541,-1.15637,-1.86742,-5.94,-33.12,-39.36,57.642742,-26.185682,6.609082,0.8582274443578947,0.48020804,-0.17107244,-0.05983404
1.9262,65095.4519,0.4956,4.35745,4.96557,0.75625,-1.07512,-1.79289,-5.94,-33.12,-39.36,58.215176,-23.904676,2.800774,0.8569727756767783,0.48018485,-0.1692584,-0.07982334
1.9291,65095.4619,0.44293,4.31435,4.91051,0.76236,-1.07268,-1.79167,-5.94,-33.12,-39.36,58.215176,-23.904676,2.800774,0.8569727756767783,0.48018485,-0.1692584,-0.07982334
1.9361,65095.4821,0.00239,4.2521,4.48673,0.77458,-0.99632,-1.7147,-5.4,-32.88,-38.04,59.252987,-21.904057,-0.761893,0.8527909070542268,0.48423132,-0.16837257,-0.09959104
1.9532,65095.5022,-0.18675,4.2928,3.35907,0.75136,-1.0006,-1.64934,-4.56,-33.24,-37.32,60.231541,-19.761734,-4.344378,0.8483065706077288,0.48832488,-0.16706529,-0.11833834
1.9721,65095.5221,-0.15323,4.2521,2.36787,0.61881,-1.10506,-1.71287,-3.48,-32.94,-36.36,61.179008,-17.573553,-8.02831,0.8432035273694122,0.49247211,-0.16638187,-0.13709889
1.9924,65095.5421,-0.7422,3.87142,1.29047,0.30116,-1.10567,-1.8326,-2.46,-32.64,-36.18,62.124069,-15.144858,-12.099335,0.8372439908182695,0.49672079,-0.16615842,-0.15710613
2.013,65095.5622,-2.09493,3.66552,0.88825,-0.27917,-1.04091,-1.93889,-1.44,-32.52,-35.88,62.808502,-12.317468,-16.661501,0.8315324466236481,0.49933201,-0.16566247,-0.17826183
2.032,65095.5821,-3.36385,3.26569,1.79086,-0.67501,-1.14476,-1.87963,-0.66,-31.86,-35.7,62.78598,-9.114463,-21.608961,0.8280727352703298,0.49733904,-0.16396062,-0.20016578
2.0674,65095.6021,-3.95522,3.27048,3.28006,-0.80207,-1.22356,-1.72936,0.36,-32.16,-36.06,62.21373,-5.894396,-26.67033,0.8258912260225912,0.49188745,-0.16183819,-0.22306685
2.0793,65095.6221,-4.1276,3.76368,4.22816,-0.77336,-1.08551,-1.65606,1.74,-31.74,-35.94,61.267456,-2.082661,-32.211342,0.8239659576744339,0.48513025,-0.1563538,-0.24755248
2.0993,65095.6431,-4.30238,4.74531,4.27365,-0.85094,-0.65424,-1.70065,2.7,-31.74,-36.78,59.978024,2.569046,-38.255802,0.8217682160359084,0.47848132,-0.14539935,-0.27315134
2.1133,65095.6631,-5.27443,4.96079,4.72137,-0.97372,-0.48625,-1.75318,4.02,-31.98,-37.44,58.399517,7.16436,-43.771042,0.8197923404732558,0.47214204,-0.1308849,-0.2964651
2.134,65095.6831,-6.80672,4.24253,5.95677,-0.97433,-0.54367,-1.58703,4.38,-31.32,-37.68,56.414734,11.443746,-48.809357,0.8179760447279665,0.46458858,-0.11431235,-0.31938273
2.1553,65095.7031,-7.8458,3.77805,6.69179,-0.90347,-0.30849,-1.1863,4.5,-31.56,-38.34,54.278008,14.894595,-52.943329,0.8162355185750658,0.45629641,-0.09836566,-0.34040764
2.1732,65095.7231,-9.32542,4.89614,5.68144,-1.11055,0.21014,-0.88942,5.04,-31.56,-39.0,52.217018,17.90053,-56.055424,0.8151698353563468,0.44937691,-0.0809534,-0.35637772
2.1946,65095.7431,-10.00297,5.3678,6.25844,-1.44653,0.49724,-0.54428,4.68,-31.08,-39.6,49.965015,20.584061,-58.18042,0.8160362771825534,0.44186434,-0.06051276,-0.36766684
2.2163,65095.7631,-8.82742,5.62159,7.33105,-1.60352,0.75808,-0.20281,5.16,-31.5,-40.44,47.555782,22.674143,-59.185719,0.8193587437165641,0.43259501,-0.03879684,-0.37417591
2.2357,65095.7832,-8.05409,7.05092,6.68701,-1.82343,1.17225,0.00794,5.34,-31.98,-40.86,45.272804,24.393675,-59.33218,0.8241309877224815,0.42339638,-0.01675855,-0.3758494
2.2537,65095.8031,-8.25281,9.27993,5.6168,-2.23943,1.31397,0.33842,4.92,-31.98,-41.16,43.061092,26.052607,-58.782112,0.8302334659076033,0.41443217,0.00720836,-0.3727015
2.2758,65095.8231,-8.14986,10.95826,7.93438,-2.30785,0.69761,0.77641,5.16,-32.46,-41.7,40.85014,26.978807,-57.255146,0.8388781270726411,0.40260383,0.02928697,-0.36515191
2.2973,65095.8441,-6.79235,11.79863,11.49935,-1.72569,0.07086,0.98655,4.92,-32.52,-42.48,39.048626,26.42082,-54.965481,0.8492580405832966,0.38804287,0.04093198,-0.35567975
2.3233,65095.8642,-6.55532,12.21043,13.10347,-1.13377,0.14661,1.15331,4.86,-32.28,-43.68,37.863869,24.957684,-52.521534,0.8592564286706377,0.3745189,0.04313343,-0.34576508
2.3416,65095.8841,-5.16908,11.74356,13.27345,-0.83627,0.50519,1.46424,5.04,-32.46,-45.18,37.340427,23.855925,-50.287968,0.8672012119852137,0.36672649,0.04417092,-0.3339501
2.364,65095.9041,-2.67432,11.61906,14.15213,-0.52534,0.84727,1.68782,4.56,-32.52,-46.2,37.21983,23.031097,-47.836201,0.8747196103450403,0.36255234,0.04617078,-0.31826037
2.3803,65095.9241,0.46448,11.90637,11.46104,-0.11057,1.06168,1.64384,4.32,-32.94,-46.38,37.530376,22.587696,-45.334995,0.881068039111672,0.36255577,0.04953442,-0.29969779
2.396,65095.9451,0.73502,11.48738,9.04051,-0.1686,1.10994,1.43065,3.9,-33.24,-46.68,38.158592,22.446562,-43.035732,0.8857209103264568,0.36574674,0.05351849,-0.28082657
2.4193,65095.9651,-1.30005,8.91361,6.39491,-0.72815,0.69761,1.11239,3.42,-33.48,-46.44,38.575508,22.376383,-41.040798,0.8896472341523131,0.3676728,0.05793313,-0.26455295
2.439,65095.9851,-2.57856,9.55287,8.56167,-1.43126,0.70127,1.32191,3.3,-33.66,-46.44,38.354504,21.636816,-38.852219,0.8954126420967827,0.36324722,0.05987699,-0.25040448
2.4598,65096.0051,-1.84832,6.62954,8.99502,-1.68843,0.79962,1.41476,3.12,-33.78,-47.28,37.55101,20.650747,-36.073605,0.9035431123456675,0.35363168,0.06331746,-0.23354952
2.4779,65096.025,-2.42772,4.30717,10.25915,-1.60719,0.82711,1.49112,2.94,-33.54,-47.58,36.364925,19.758236,-33.236519,0.9121968229984477,0.3411946,0.06827536,-0.21638317
2.498,65096.0451,-1.64242,2.9712,9.16261,-1.14659,0.8546,1.79167,3.0,-33.72,-48.42,35.306889,18.940733,-30.366516,0.9201796227834647,0.3297483,0.07297291,-0.19801635
2.52,65096.0661,0.25857,1.64482,7.11796,-0.58338,0.79779,2.03296,2.7,-34.14,-49.2,34.74477,17.872646,-27.148779,0.9273493695368255,0.32151279,0.07488111,-0.17619731
2.5494,65096.0871,0.2466,1.62806,7.64469,-0.47403,1.56931,2.40375,2.52,-34.2,-49.56,34.569744,16.645473,-23.641405,0.9335579239108396,0.31607169,0.07505637,-0.1514425
2.565,65096.1071,-0.6201,2.41096,6.7301,-0.16799,1.69271,2.46301,1.86,-35.22,-49.86,34.502827,16.236158,-19.946924,0.9384082486982802,0.31251335,0.08197475,-0.12249696
2.5794,65096.1281,-1.46046,2.16915,6.21535,0.27306,0.69822,2.26326,1.08,-35.52,-50.22,34.78051,15.631215,-16.292442,0.9416460685404336,0.31150272,0.08650268,-0.09373379
2.6032,65096.1481,-1.9417,1.31681,9.38288,0.48442,1.22173,1.97859,0.24,-35.76,-50.22,35.135151,14.455647,-13.285277,0.943829638513932,0.31129694,0.08450478,-0.07168522
2.6227,65096.168,0.577,0.56264,5.782,0.04826,2.48195,1.72875,-0.54,-35.82,-49.98,35.362148,14.359899,-10.571012,0.944768319870007,0.31102511,0.09081686,-0.04927982
2.641,65096.1881,0.63446,2.0662,3.1364,-0.60842,2.71224,1.46058,-1.08,-35.58,-49.62,35.068275,15.366156,-7.935167,0.9454996281979574,0.30667451,0.10651761,-0.02520311
2.6597,65096.2081,0.83318,2.95684,2.6025,-1.24983,2.74095,1.13499,-1.5,-35.58,-49.14,34.357327,16.634953,-5.413123,0.9463023395039438,0.29844579,0.12425032,-0.00196231
2.6795,65096.2281,0.34477,2.62644,2.52109,-2.15391,2.82525,0.6915,-1.44,-35.4,-49.14,33.111629,18.546423,-3.369271,0.9469565903389632,0.28564459,0.14612757,0.01808639
