AppTimestamp(s),wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:37,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:02:16,wifi_rssi_20:23:00:00:02:17,wifi_rssi_20:23:00:00:02:19,wifi_rssi_20:23:00:00:02:20,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:37,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:20,wifi_freq_20:23:00:00:03:11
42.9368,,-71.0,-74.0,,,-73.0,-70.0,-63.0,,-70.0,,,,,,,,,,,,,,,,2452.0,2462.0,,,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,
46.9286,-48.0,-74.0,,,,-69.0,-70.0,-63.0,,-71.0,,,,,,,,,,,,,,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,
50.9387,-48.0,-74.0,,,,-68.0,-70.0,-63.0,,-72.0,,,,,,,,,,,,,,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,
54.9093,-49.0,-73.0,,,,-68.0,-68.0,-59.0,,-71.0,,,,,,,,,,,,,,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,
58.8906,-48.0,-72.0,,-73.0,,-72.0,-65.0,-64.0,,,,,,,,,,,,,,,,,2417.0,2452.0,,2412.0,,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,
62.9378,-48.0,,,,-73.0,-73.0,-72.0,-64.0,,-72.0,,,,,,,,,,,,,,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,
66.9202,-52.0,-73.0,,,,-69.0,-73.0,-68.0,,-73.0,,,,,,,,,,,,,,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,
70.9264,-52.0,,-76.0,,,-76.0,-73.0,-70.0,,-76.0,,,,,,,,,,,,,,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,
74.9109,-57.0,,,,,,,-73.0,,,,,,-72.0,,-72.0,-72.0,,-73.0,,,,,,2417.0,,,,,,,2437.0,,,,,,2462.0,,5260.0,5260.0,,2462.0,,,,,
78.9165,-66.0,,,,,,,-79.0,,,,,,-68.0,,-67.0,-68.0,,-72.0,,,,,,2417.0,,,,,,,2437.0,,,,,,2462.0,,5260.0,5260.0,,2462.0,,,,,
82.9379,-67.0,,,,,,,,,,,,,-65.0,,-67.0,-67.0,,-68.0,-71.0,,,,,2417.0,,,,,,,,,,,,,2462.0,,5260.0,5260.0,,2462.0,5180.0,,,,
86.9272,-73.0,,,,,,,,,,,,,-73.0,,-72.0,-73.0,-69.0,,,,-74.0,,,2417.0,,,,,,,,,,,,,2462.0,,5260.0,5260.0,2412.0,,,,2437.0,,
90.9199,-69.0,,,,,,,,,,,,,-73.0,-69.0,,,-71.0,,-73.0,-72.0,,,,2417.0,,,,,,,,,,,,,2462.0,2472.0,,,2412.0,,5180.0,5180.0,,,
94.9158,-69.0,,,,,,,,,,,,,,-70.0,,,,,-68.0,-68.0,-69.0,-71.0,,2417.0,,,,,,,,,,,,,,2472.0,,,,,5180.0,5180.0,2437.0,2437.0,
98.9449,-71.0,,,,,,,,,,,,,-72.0,-69.0,,,,,-68.0,-68.0,,,-66.0,2417.0,,,,,,,,,,,,,2462.0,2472.0,,,,,5180.0,5180.0,,,2462.0
102.9132,-68.0,,,,,,,,,,,,,,-71.0,,,,,-69.0,-69.0,-69.0,-71.0,,2417.0,,,,,,,,,,,,,,2472.0,,,,,5180.0,5180.0,2437.0,2437.0,
106.9307,-64.0,,,,,,,-75.0,,,,,,,-75.0,,,,,-69.0,-69.0,-69.0,,,2417.0,,,,,,,2437.0,,,,,,,2472.0,,,,,5180.0,5180.0,2437.0,,
110.9456,,,,,,,,,,,,,,-71.0,,,,,-73.0,-69.0,-69.0,-69.0,-70.0,,,,,,,,,,,,,,,2462.0,,,,,2462.0,5180.0,5180.0,2437.0,2437.0,
114.9552,-66.0,,,,,,,,,,,,,-70.0,-72.0,,,,,-67.0,-67.0,-71.0,,,2417.0,,,,,,,,,,,,,2462.0,2472.0,,,,,5180.0,5180.0,2437.0,,
118.9158,-71.0,,,,,,,,,,,,,-70.0,-70.0,,,,,-67.0,-67.0,-70.0,,,2417.0,,,,,,,,,,,,,2462.0,2472.0,,,,,5180.0,5180.0,2437.0,,
122.9298,,,,,,,,-70.0,,,,,,-71.0,,,,,,-68.0,-68.0,-71.0,-72.0,,,,,,,,,2437.0,,,,,,2462.0,,,,,,5180.0,5180.0,2437.0,2437.0,
126.926,-69.0,,,,,,,,,,-69.0,-68.0,-70.0,-71.0,-66.0,,,,,,,,,,2417.0,,,,,,,,,,2437.0,2437.0,2437.0,2462.0,2472.0,,,,,,,,,
130.9143,-69.0,,,,,,,,,,,,,-63.0,-72.0,-69.0,-69.0,,-67.0,,,,,,2417.0,,,,,,,,,,,,,2462.0,2472.0,5260.0,5260.0,,2462.0,,,,,
134.9024,-69.0,,,,,,,,,,,,,-67.0,-73.0,-72.0,-73.0,,-64.0,,,,,,2417.0,,,,,,,,,,,,,2462.0,2472.0,5260.0,5260.0,,2462.0,,,,,
138.9233,-63.0,,,,,,,-71.0,,,,,,-65.0,,-64.0,-65.0,,-64.0,,,,,,2417.0,,,,,,,2437.0,,,,,,2462.0,,5260.0,5260.0,,2462.0,,,,,
142.9029,-57.0,,,,,-73.0,,-67.0,,,,,,-67.0,,-76.0,,,-68.0,,,,,,2417.0,,,,,2437.0,,2437.0,,,,,,2462.0,,5260.0,,,2462.0,,,,,
146.927,-52.0,-77.0,,,-74.0,-75.0,-77.0,-67.0,,,,,,,,,,,,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,
150.9212,-54.0,,-76.0,,,-75.0,-75.0,-71.0,-75.0,,,,,,,,,,,,,,,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,2462.0,,,,,,,,,,,,,,,
