AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:37,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:44,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:02:16,wifi_rssi_20:23:00:00:02:17,wifi_rssi_20:23:00:00:02:18,wifi_rssi_20:23:00:00:02:19,wifi_rssi_20:23:00:00:02:20,wifi_rssi_20:23:00:00:02:21,wifi_rssi_20:23:00:00:02:22,wifi_rssi_20:23:00:00:02:23,wifi_rssi_20:23:00:00:02:24,wifi_rssi_20:23:00:00:02:25,wifi_rssi_20:23:00:00:02:26,wifi_rssi_20:23:00:00:02:27,wifi_rssi_20:23:00:00:02:28,wifi_rssi_20:23:00:00:02:29,wifi_rssi_20:23:00:00:02:30,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:37,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:44,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:18,wifi_freq_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:20,wifi_freq_20:23:00:00:02:21,wifi_freq_20:23:00:00:02:22,wifi_freq_20:23:00:00:02:23,wifi_freq_20:23:00:00:02:24,wifi_freq_20:23:00:00:02:25,wifi_freq_20:23:00:00:02:26,wifi_freq_20:23:00:00:02:27,wifi_freq_20:23:00:00:02:28,wifi_freq_20:23:00:00:02:29,wifi_freq_20:23:00:00:02:30,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25
42.9368,-80.0,,-71.0,-74.0,-76.0,-75.0,-73.0,-70.0,-63.0,-81.0,-80.0,-76.0,,-70.0,,,,,,-90.0,,,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.0,,2437.0,,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,2437.0,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,
46.9286,,-48.0,-74.0,-78.0,-79.0,-75.0,-69.0,-70.0,-63.0,-80.0,-80.0,-78.0,,-71.0,,,,,,,,,,,-79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.0,,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,
50.9387,,-48.0,-74.0,-78.0,-80.0,-75.0,-68.0,-70.0,-63.0,-81.0,-80.0,-78.0,,-72.0,,,,,,,,-84.0,,,-81.0,,,,,,,,,,,,,,,,,-84.0,,,,,,,,,,,,,,,,,,,,,,-79.0,,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,2462.0,,,2462.0,,,,,,,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,,2462.0,
54.9093,-84.0,-49.0,-73.0,-75.0,-80.0,-74.0,-68.0,-68.0,-59.0,-80.0,-80.0,,,-71.0,,,,,,,,,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.0,,2437.0,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,2437.0,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,
58.8906,-82.0,-48.0,-72.0,,-73.0,-74.0,-72.0,-65.0,-64.0,-83.0,-83.0,-75.0,,-75.0,,,,,,,,,,,-79.0,,,,,,,,,-87.0,-87.0,,,,,,,,,-89.0,,,,,,,,,,,,,,,,,,,,-81.0,,2437.0,2417.0,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,2462.0,,,,,,,,,5240.0,5240.0,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,2462.0,
62.9378,,-48.0,-78.0,,-79.0,-73.0,-73.0,-72.0,-64.0,-80.0,-80.0,-75.0,-91.0,-72.0,,,,,,,,-84.0,,,-78.0,,,,,,,,,,,,,-90.0,,,,-84.0,,-89.0,-90.0,,,,,,,,,,,,,,,,,,,,,,2417.0,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,2462.0,,,2462.0,,,,,,,,,,,,,2462.0,,,,2462.0,,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,
66.9202,-82.0,-52.0,-73.0,-76.0,-87.0,-77.0,-69.0,-73.0,-68.0,-84.0,-84.0,-75.0,,-73.0,,,,,,,,-82.0,,-90.0,-83.0,,,,-86.0,-86.0,,,,,,,,,,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,-90.0,2437.0,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,2462.0,,2472.0,2462.0,,,,5260.0,5260.0,,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,,,2437.0
70.9264,,-52.0,-81.0,-76.0,-89.0,,-76.0,-73.0,-70.0,-86.0,-84.0,-79.0,,-76.0,,,,,,,,-78.0,,,-82.0,,,,-80.0,-79.0,,,,,,,,,,,,-77.0,,,,,,,,,,,,-88.0,,,,,,,,,,,,,2417.0,2452.0,2462.0,2412.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,2462.0,,,2462.0,,,,5260.0,5260.0,,,,,,,,,,,,2462.0,,,,,,,,,,,,5560.0,,,,,,,,,,,
74.9109,,-57.0,-84.0,-80.0,,-84.0,-84.0,-80.0,-73.0,-87.0,,-82.0,,-83.0,,,,,,,,-72.0,,-83.0,,,,,-72.0,-72.0,,,,,,,,,,,,-73.0,,,,,,,-90.0,,,,,,,,,,,,,,,,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,,2437.0,,,,,,,,2462.0,,2472.0,,,,,5260.0,5260.0,,,,,,,,,,,,2462.0,,,,,,,5180.0,,,,,,,,,,,,,,,,
78.9165,,-66.0,,-82.0,,-87.0,-86.0,,-79.0,,,-83.0,,-86.0,-85.0,,-88.0,,,-86.0,-83.0,-68.0,-86.0,-84.0,,,-91.0,,-67.0,-68.0,,,,,,,,,,-83.0,,-72.0,-87.0,,,,,,-84.0,-82.0,-88.0,-80.0,-84.0,-84.0,-85.0,,,-85.0,-84.0,-91.0,,,-90.0,,,,2417.0,,2462.0,,2427.0,2437.0,,2437.0,,,2462.0,,2437.0,2412.0,,2462.0,,,2437.0,2437.0,2462.0,2412.0,2472.0,,,5520.0,,5260.0,5260.0,,,,,,,,,,2412.0,,2462.0,5200.0,,,,,,5180.0,5180.0,2437.0,2437.0,2437.0,5560.0,2412.0,,,5640.0,5640.0,5560.0,,,2437.0,,
82.9379,,-67.0,-86.0,-86.0,,,-86.0,,-82.0,,,,,-88.0,-81.0,,-82.0,-76.0,-84.0,,-79.0,-65.0,,-77.0,,,,,-67.0,-67.0,,-87.0,,,,-86.0,,,,,,-68.0,-87.0,,,,,,-71.0,-71.0,,-76.0,-76.0,,,,-82.0,-85.0,-83.0,,,-82.0,-86.0,,,,2417.0,2452.0,2462.0,,,2437.0,,2437.0,,,,,2437.0,2412.0,,2462.0,2457.0,2437.0,,2437.0,2462.0,,2472.0,,,,,5260.0,5260.0,,2437.0,,,,2462.0,,,,,,2462.0,5200.0,,,,,,5180.0,5180.0,,2437.0,2437.0,,,,2437.0,5640.0,5640.0,,,2412.0,2437.0,,
86.9272,,-73.0,-89.0,,,,,,,,,,,,-80.0,-85.0,,-76.0,-78.0,,-78.0,-73.0,,-77.0,,,,,-72.0,-73.0,-84.0,-84.0,,,,,,,,-69.0,,-76.0,-91.0,,,,,,-78.0,-78.0,,-74.0,-77.0,-79.0,,,-82.0,-83.0,-83.0,-80.0,,-74.0,-84.0,,,,2417.0,2452.0,,,,,,,,,,,,2412.0,2412.0,,2457.0,2437.0,,2437.0,2462.0,,2472.0,,,,,5260.0,5260.0,2437.0,2437.0,,,,,,,,2412.0,,2462.0,5200.0,,,,,,5180.0,5180.0,,2437.0,2437.0,5560.0,,,2437.0,5640.0,5640.0,5560.0,,2412.0,2437.0,,
90.9199,-87.0,-69.0,-86.0,-88.0,,-92.0,,,-78.0,,,,,-86.0,-77.0,,-85.0,-78.0,,,-82.0,-73.0,-80.0,-69.0,,,,,-79.0,-80.0,-84.0,-86.0,,,,-87.0,,,,-71.0,,-76.0,-84.0,,,,,,-73.0,-72.0,-81.0,,-75.0,-78.0,-73.0,,-81.0,-83.0,-84.0,-79.0,,-82.0,,-75.0,,2437.0,2417.0,2452.0,2462.0,,2427.0,,,2437.0,,,,,2437.0,2412.0,,2462.0,2457.0,,,2437.0,2462.0,2412.0,2472.0,,,,,5260.0,5260.0,2437.0,2437.0,,,,2462.0,,,,2412.0,,2462.0,5200.0,,,,,,5180.0,5180.0,2437.0,,2437.0,5560.0,2412.0,,2437.0,5640.0,5640.0,5560.0,,2412.0,,2462.0,
94.9158,,-69.0,-83.0,-84.0,,-85.0,,-86.0,-76.0,,,,,-78.0,-76.0,,,-85.0,-83.0,-81.0,-85.0,-72.0,-80.0,-70.0,,,,,-76.0,-76.0,-88.0,-82.0,,,,,,,,-73.0,,-73.0,-81.0,,,,,,-68.0,-68.0,-85.0,-69.0,-71.0,-84.0,-77.0,-88.0,-83.0,-84.0,-84.0,-83.0,,-80.0,,-73.0,,,2417.0,2452.0,2462.0,,2427.0,,2422.0,2437.0,,,,,2437.0,2412.0,,,2457.0,2437.0,2437.0,2437.0,2462.0,2412.0,2472.0,,,,,5260.0,5260.0,2437.0,2437.0,,,,,,,,2412.0,,2462.0,5200.0,,,,,,5180.0,5180.0,2437.0,2437.0,2437.0,5560.0,2412.0,2412.0,2437.0,5640.0,5640.0,5560.0,,2412.0,,2462.0,
98.9449,,-71.0,-82.0,-80.0,,,-86.0,-88.0,-73.0,,-88.0,-80.0,,-81.0,-78.0,-81.0,-82.0,-84.0,-87.0,,-82.0,-72.0,-82.0,-69.0,,,,,-77.0,-77.0,-87.0,,,,,-81.0,,,,-73.0,,-76.0,-83.0,,,,,,-68.0,-68.0,,-73.0,-73.0,,-75.0,-83.0,-81.0,-84.0,-84.0,,-84.0,-80.0,-82.0,-66.0,,,2417.0,2452.0,2462.0,,,2437.0,2422.0,2437.0,,5220.0,2462.0,,2437.0,2412.0,2412.0,2462.0,2457.0,2437.0,,2437.0,2462.0,2412.0,2472.0,,,,,5260.0,5260.0,2437.0,,,,,2462.0,,,,2412.0,,2462.0,5200.0,,,,,,5180.0,5180.0,,2437.0,2437.0,,2412.0,2412.0,2437.0,5640.0,5640.0,,2412.0,2412.0,2437.0,2462.0,
102.9132,,-68.0,-86.0,,,,,-85.0,-73.0,,,,,-81.0,-78.0,-81.0,-79.0,-82.0,-76.0,,-79.0,-73.0,-84.0,-71.0,,,,,-77.0,-77.0,-86.0,-83.0,,,,-83.0,,,,-76.0,,-77.0,-82.0,,,,,,-69.0,-69.0,,-69.0,-71.0,-86.0,-75.0,-86.0,-81.0,-84.0,-84.0,-85.0,-86.0,-80.0,-88.0,,,,2417.0,2452.0,,,,,2422.0,2437.0,,,,,2437.0,2412.0,2412.0,2462.0,2457.0,2437.0,,2437.0,2462.0,2412.0,2472.0,,,,,5260.0,5260.0,2437.0,2437.0,,,,2462.0,,,,2412.0,,2462.0,5200.0,,,,,,5180.0,5180.0,,2437.0,2437.0,5560.0,2412.0,2412.0,2437.0,5640.0,5640.0,5560.0,2412.0,2412.0,2437.0,,
106.9307,,-64.0,-81.0,-81.0,,-80.0,-88.0,,-75.0,,,-82.0,,-80.0,-78.0,-85.0,-79.0,-80.0,-80.0,-84.0,-79.0,-79.0,-81.0,-75.0,,-91.0,,,-78.0,-77.0,-86.0,-85.0,,,,-83.0,,,,-77.0,,-80.0,-79.0,,,,,,-69.0,-69.0,,-69.0,,-84.0,-79.0,-86.0,,-84.0,-84.0,-85.0,-85.0,,,,,,2417.0,2452.0,2462.0,,2427.0,2437.0,,2437.0,,,2462.0,,2437.0,2412.0,2412.0,2462.0,2457.0,2437.0,2437.0,2437.0,2462.0,2412.0,2472.0,,5240.0,,,5260.0,5260.0,2437.0,2437.0,,,,2462.0,,,,2412.0,,2462.0,5200.0,,,,,,5180.0,5180.0,,2437.0,,5560.0,2412.0,2412.0,,5640.0,5640.0,5560.0,2412.0,,,,
110.9456,,,-84.0,-77.0,-86.0,-78.0,,-86.0,-75.0,-86.0,-87.0,-78.0,,-83.0,-77.0,-81.0,-82.0,-86.0,-80.0,,-79.0,-71.0,-82.0,-79.0,,-91.0,,,-78.0,-78.0,,,,,,-84.0,,,,-74.0,,-73.0,-82.0,,,,,,-69.0,-69.0,,-69.0,-70.0,-84.0,-76.0,-86.0,-81.0,-81.0,-80.0,-85.0,-85.0,-84.0,,,,,,2452.0,2462.0,2412.0,2427.0,,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,2412.0,2412.0,2462.0,2457.0,2437.0,,2437.0,2462.0,2412.0,2472.0,,5240.0,,,5260.0,5260.0,,,,,,2462.0,,,,2412.0,,2462.0,5200.0,,,,,,5180.0,5180.0,,2437.0,2437.0,5560.0,2412.0,2412.0,2437.0,5640.0,5640.0,5560.0,2412.0,2412.0,,,
