AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:65,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:29,wifi_rssi_20:23:00:00:03:41,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:65,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:29,wifi_freq_20:23:00:00:03:41
41.4046,-53.0,-65.0,-68.0,-75.0,-88.0,-73.0,-81.0,-86.0,-68.0,-78.0,-81.0,-61.0,-82.0,-82.0,,,,-52.0,,,,,-91.0,-92.0,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,,2437.0,,,,,2462.0,2462.0,,,,,,,,,,,,,,
45.4653,-55.0,-63.0,-66.0,-77.0,,,-80.0,,-71.0,-77.0,-81.0,-63.0,-83.0,-86.0,-71.0,,,-53.0,,,-89.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,2462.0,,,,,,,,,,,,,,,,,
49.3853,-59.0,-65.0,-70.0,,,-71.0,-80.0,-84.0,-70.0,-78.0,-81.0,-59.0,-82.0,-82.0,-71.0,-90.0,-87.0,-49.0,,,,,,-85.0,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2452.0,2437.0,,,,,,2462.0,,,,,,,,,,,,,,
53.4098,-65.0,-63.0,,-80.0,-87.0,-72.0,,,-69.0,-77.0,-81.0,-59.0,-81.0,-82.0,-72.0,,-87.0,-50.0,,,-86.0,,,-85.0,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,2457.0,2462.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,2462.0,,,2462.0,,,,,,,,,,,,,,
57.4147,-53.0,-67.0,-66.0,,-85.0,,,,-69.0,-77.0,,-60.0,-83.0,-83.0,-74.0,,,-50.0,,,,,-91.0,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,2457.0,,,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,2462.0,,,,,,,,,,,,,,,
61.4183,-51.0,-74.0,-66.0,-75.0,-85.0,,,,-69.0,-77.0,-83.0,-59.0,-81.0,-82.0,-73.0,,-89.0,-48.0,,,-87.0,,-88.0,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,2462.0,,2462.0,,,,,,,,,,,,,,,
65.4543,-53.0,-69.0,-64.0,-76.0,-85.0,-76.0,,-88.0,-66.0,-73.0,-87.0,-55.0,-85.0,-85.0,-74.0,,,-44.0,,,-85.0,,-85.0,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,2462.0,,2462.0,,,,,,,,,,,,,,,
69.4009,-55.0,-69.0,-68.0,-76.0,,,,,-74.0,-78.0,-86.0,-57.0,-85.0,-87.0,-72.0,,-84.0,-45.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,,,,,
73.4183,-59.0,-69.0,-69.0,-78.0,,,,,-71.0,-78.0,-85.0,-62.0,-85.0,-86.0,-71.0,,-82.0,-41.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,,,,,
77.4354,-59.0,-75.0,-67.0,-82.0,,-76.0,-87.0,,-72.0,-77.0,,-62.0,-85.0,,-77.0,,-78.0,-49.0,,,,,,,,,,-84.0,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,,2462.0,,2452.0,2437.0,,,,,,,,,,2412.0,,,,,,,,,,
81.4138,-58.0,-80.0,-67.0,-83.0,,-79.0,-85.0,,-77.0,-79.0,-91.0,-63.0,,,-79.0,,-77.0,-46.0,,,-87.0,,-88.0,,,,,,,-89.0,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2452.0,2437.0,,,2462.0,,2462.0,,,,,,,2412.0,,,,,,,,
85.4547,-58.0,-80.0,-67.0,-81.0,,-77.0,-86.0,,-77.0,-84.0,,-63.0,,,-79.0,,-80.0,-53.0,,,,,-89.0,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,2452.0,2437.0,,,,,2462.0,,,,,,,,,,,,,,,
89.4306,-71.0,,,,,,,,,-88.0,,,,,,,,-63.0,,,-84.0,-88.0,-85.0,-85.0,,,,,-87.0,,,,,-86.0,,,,,2437.0,,,,,,,,,2437.0,,,,,,,,2437.0,,,2462.0,5500.0,2462.0,2462.0,,,,,5500.0,,,,,5500.0,,,,
93.3972,-71.0,,,,,,,,,,,,,,,,,-61.0,,,-79.0,-87.0,-78.0,-79.0,,,,,,,,-89.0,,,,,,,2437.0,,,,,,,,,,,,,,,,,2437.0,,,2462.0,5500.0,2462.0,2462.0,,,,,,,,5500.0,,,,,,
97.401,-81.0,,,,,,,,,,,-85.0,,,,,,-66.0,,-76.0,-74.0,,-74.0,-75.0,,-88.0,-87.0,,,,,-85.0,,,,,-87.0,,2437.0,,,,,,,,,,,2437.0,,,,,,2437.0,,2437.0,2462.0,,2462.0,2462.0,,2462.0,2462.0,,,,,5500.0,,,,,2462.0,
101.4147,,,,,,,,,-89.0,-85.0,,-83.0,,,,,,-67.0,-91.0,-76.0,,,-84.0,-84.0,-86.0,,,,,,,-91.0,,,,,,-89.0,,,,,,,,,2427.0,2437.0,,2437.0,,,,,,2437.0,2412.0,2437.0,,,2462.0,2462.0,2412.0,,,,,,,5500.0,,,,,,2462.0
105.4048,,,-85.0,,,,,,-88.0,,,-81.0,,,-89.0,,,-66.0,,-78.0,,,,,,-87.0,-85.0,,,,,-83.0,,,,,,,,,2417.0,,,,,,2427.0,,,2437.0,,,2462.0,,,2437.0,,2437.0,,,,,,2462.0,2462.0,,,,,5500.0,,,,,,
109.4115,-79.0,,,-88.0,,,,,,-87.0,,-81.0,,,,,,-65.0,,-75.0,,,,,,,,,,,,-85.0,,,,,,,2437.0,,,2452.0,,,,,,2437.0,,2437.0,,,,,,2437.0,,2437.0,,,,,,,,,,,,5500.0,,,,,,
113.4471,-72.0,,-87.0,-88.0,,,,,,,,,,,,,,-63.0,,-73.0,-86.0,-90.0,-86.0,-86.0,,,,,,,,-85.0,-85.0,,,,,,2437.0,,2417.0,2452.0,,,,,,,,,,,,,,2437.0,,2437.0,2462.0,5500.0,2462.0,2462.0,,,,,,,,5500.0,2412.0,,,,,
117.3959,,,,,,,,,,,,-79.0,,,,,,-68.0,,-81.0,-86.0,-90.0,-84.0,-84.0,,,,,,,,-85.0,,,-92.0,,,,,,,,,,,,,,,2437.0,,,,,,2437.0,,2437.0,2462.0,5500.0,2462.0,2462.0,,,,,,,,5500.0,,,2412.0,,,
121.4094,-75.0,,,-87.0,,,,,,-83.0,,-80.0,,,,,,-60.0,,-84.0,,,,-88.0,,,,,,,,-84.0,,,,,,,2437.0,,,2452.0,,,,,,2437.0,,2437.0,,,,,,2437.0,,2437.0,,,,2462.0,,,,,,,,5500.0,,,,,,
125.4546,-73.0,,-85.0,-87.0,,,,,,-85.0,,-81.0,,,,,,-60.0,,-79.0,-87.0,-85.0,-86.0,-86.0,,,,,,,,-84.0,-88.0,,,,,,2437.0,,2417.0,2452.0,,,,,,2437.0,,2437.0,,,,,,2437.0,,2437.0,2462.0,5500.0,2462.0,2462.0,,,,,,,,5500.0,2412.0,,,,,
129.3943,-73.0,-90.0,,,,,,,,-85.0,,-79.0,,,,,,-61.0,,-79.0,-87.0,,-86.0,-88.0,,,,,,,,-84.0,-85.0,,,,,,2437.0,5200.0,,,,,,,,2437.0,,2437.0,,,,,,2437.0,,2437.0,2462.0,,2462.0,2462.0,,,,,,,,5500.0,2412.0,,,,,
133.4063,-73.0,,,,,,,,,-88.0,,,,,,,,-60.0,,-79.0,-85.0,-91.0,-85.0,,,,,,,,,-86.0,-85.0,,,,,,2437.0,,,,,,,,,2437.0,,,,,,,,2437.0,,2437.0,2462.0,5500.0,2462.0,,,,,,,,,5500.0,2412.0,,,,,
137.3913,-77.0,,-88.0,,,,,,,,,-80.0,,,,,,-64.0,,-78.0,,,,,,,,,,,,-83.0,-86.0,,,,,,2437.0,,2417.0,,,,,,,,,2437.0,,,,,,2437.0,,2437.0,,,,,,,,,,,,5500.0,2412.0,,,,,
141.3861,-71.0,,-87.0,,,,,,-87.0,,,-79.0,,,,,,-59.0,,-76.0,-78.0,,-78.0,-79.0,,,,,,,,,,,,,,,2437.0,,2417.0,,,,,,2427.0,,,2437.0,,,,,,2437.0,,2437.0,2462.0,,2462.0,2462.0,,,,,,,,,,,,,,
145.3908,-71.0,-82.0,-81.0,,,,,,-85.0,,,-76.0,,,,,-88.0,-55.0,,,-86.0,,-84.0,,,,,,,,,-91.0,-90.0,,,,,,2437.0,5200.0,2417.0,,,,,,2427.0,,,2437.0,,,,,2452.0,2437.0,,,2462.0,,2462.0,,,,,,,,,5500.0,2412.0,,,,,
149.4324,-65.0,-76.0,-82.0,-83.0,,,,,-75.0,,,-72.0,-87.0,-86.0,-78.0,,-89.0,-51.0,,-93.0,,,,,-89.0,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,2437.0,,,,,2412.0,,,,,,,,,,,,,
153.4067,-62.0,-76.0,,-73.0,,-75.0,-82.0,,-75.0,-79.0,-80.0,-59.0,-89.0,-87.0,,,-85.0,-43.0,,-89.0,,,-88.0,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,2452.0,2437.0,,2437.0,,,2462.0,,,,,,,,,,,,,,,
157.4068,-62.0,-76.0,-61.0,,,-74.0,-82.0,,-71.0,,,-57.0,-86.0,-86.0,,,-83.0,-80.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,,,2452.0,2437.0,,,,,,,,,,,,,,,,,,,,
161.3973,-71.0,-75.0,-63.0,-78.0,,-74.0,-85.0,,-68.0,,,-58.0,-86.0,-86.0,,,,-52.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,,,,2437.0,,,,,,,,,,,,,,,,,,,,
165.3925,-73.0,-68.0,-62.0,-74.0,,-74.0,-78.0,,,,,-54.0,-82.0,-82.0,-76.0,,,-52.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,,,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,
