AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:02:61,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:02:61
93.3972,-71.0,,,,,,,,,,-61.0,,-79.0,-87.0,-78.0,-79.0,,,,,2437.0,,,,,,,,,,2437.0,,2462.0,5500.0,2462.0,2462.0,,,,
97.401,-81.0,,,,,,,,,,-66.0,-76.0,-74.0,,-74.0,-75.0,,,,,2437.0,,,,,,,,,,2437.0,2437.0,2462.0,,2462.0,2462.0,,,,
101.4147,,,,,,,-85.0,-83.0,,,-67.0,-76.0,,,-84.0,-84.0,,,,,,,,,,,2437.0,2437.0,,,2437.0,2437.0,,,2462.0,2462.0,,,,
105.4048,,,-85.0,,,,,-81.0,,,-66.0,-78.0,,,,,-85.0,-83.0,,,,,2417.0,,,,,2437.0,,,2437.0,2437.0,,,,,2462.0,5500.0,,
109.4115,-79.0,,,,,,-87.0,-81.0,,,-65.0,-75.0,,,,,,-85.0,,,2437.0,,,,,,2437.0,2437.0,,,2437.0,2437.0,,,,,,5500.0,,
113.4471,-72.0,,,,,,,,,,-63.0,-73.0,-86.0,,,,,-85.0,-85.0,,2437.0,,,,,,,,,,2437.0,2437.0,2462.0,,,,,5500.0,2412.0,
117.3959,,,,,,,,-79.0,,,-68.0,-81.0,,,-84.0,-84.0,,-85.0,,,,,,,,,,2437.0,,,2437.0,2437.0,,,2462.0,2462.0,,5500.0,,
121.4094,-75.0,,,,,,-83.0,-80.0,,,-60.0,-84.0,,,,,,-84.0,,,2437.0,,,,,,2437.0,2437.0,,,2437.0,2437.0,,,,,,5500.0,,
125.4546,-73.0,,,,,,,-81.0,,,-60.0,-79.0,,-85.0,,,,-84.0,,,2437.0,,,,,,,2437.0,,,2437.0,2437.0,,5500.0,,,,5500.0,,
129.3943,-73.0,,,,,,-85.0,-79.0,,,-61.0,-79.0,,,,,,-84.0,,,2437.0,,,,,,2437.0,2437.0,,,2437.0,2437.0,,,,,,5500.0,,
133.4063,-73.0,,,,,,,,,,-60.0,-79.0,-85.0,,-85.0,,,,-85.0,,2437.0,,,,,,,,,,2437.0,2437.0,2462.0,,2462.0,,,,2412.0,
137.3913,-77.0,,,,,,,-80.0,,,-64.0,-78.0,,,,,,-83.0,-86.0,,2437.0,,,,,,,2437.0,,,2437.0,2437.0,,,,,,5500.0,2412.0,
141.3861,-71.0,,,,,,,-79.0,,,-59.0,-76.0,-78.0,,-78.0,,,,,,2437.0,,,,,,,2437.0,,,2437.0,2437.0,2462.0,,2462.0,,,,,
145.3908,-71.0,-82.0,-81.0,,,,,-76.0,,,-55.0,,,,-84.0,,,,,,2437.0,5200.0,2417.0,,,,,2437.0,,,2437.0,,,,2462.0,,,,,
149.4324,-65.0,-76.0,,,,-75.0,,-72.0,-78.0,,-51.0,,,,,,,,,,2437.0,5200.0,,,,2427.0,,2437.0,2462.0,,2437.0,,,,,,,,,
153.4067,-62.0,,,-73.0,-75.0,-75.0,,-59.0,,,-43.0,,,,,,,,,,2437.0,,,2452.0,2462.0,2427.0,,2437.0,,,2437.0,,,,,,,,,
157.4068,-62.0,-76.0,-61.0,,-74.0,-71.0,,-57.0,,,,,,,,,,,,,2437.0,5200.0,2417.0,,2462.0,2427.0,,2437.0,,,,,,,,,,,,
161.3973,-71.0,,-63.0,,-74.0,-68.0,,-58.0,,,-52.0,,,,,,,,,,2437.0,,2417.0,,2462.0,2427.0,,2437.0,,,2437.0,,,,,,,,,
165.3925,-73.0,-68.0,-62.0,-74.0,,,,-54.0,,,-52.0,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,,2437.0,,,2437.0,,,,,,,,,
