AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:54,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:66,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:76,wifi_rssi_20:23:00:00:01:77,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:85,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:87,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:02:09,wifi_rssi_20:23:00:00:02:11,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:03:08,wifi_rssi_20:23:00:00:03:25,wifi_rssi_20:23:00:00:03:27,wifi_rssi_20:23:00:00:03:29,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:54,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:66,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:76,wifi_freq_20:23:00:00:01:77,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:85,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:87,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:02:09,wifi_freq_20:23:00:00:02:11,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:03:08,wifi_freq_20:23:00:00:03:25,wifi_freq_20:23:00:00:03:27,wifi_freq_20:23:00:00:03:29
29.4816,-87.0,,,,,,,,,,,,,,,,,,,,-88.0,,,,,,,,,,,,,-68.0,,,,,,,,,,,,,,-91.0,,,-92.0,-91.0,,,,,,,-92.0,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,2412.0,,,2412.0,2412.0,,,,,,,2437.0,,
31.4883,-89.0,,,,,,,,,,,,,,,,,,,,-86.0,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,-92.0,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,2412.0,,,,,,,,,,,,,
33.4796,,,,,,,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,,,-95.0,,,,,,,,-91.0,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,2412.0,,,,,,,,2437.0,,
35.4751,-88.0,,,,,,,,,,,,,,,,,,,,-81.0,,,,,,,,,,,,,-64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5014,-86.0,,,,,,,,,,,,,,,,,,,,-83.0,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,,,-92.0,-95.0,,,,,,,-88.0,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,2412.0,2412.0,,,,,,,2437.0,,
39.4904,-87.0,,,,,,,,,,,,,,,,,,,,-77.0,,,,,,,,,,,,,-69.0,,,,,,,,,,,,,,,,,,,,,,,,,-91.0,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
41.4831,-87.0,,,,,,,,,,,,,,,,,,,,-78.0,,,,,,,,,,,,,-69.0,,,,,,,,,,,,,,,,,,,,,,,,,-90.0,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
43.4807,-86.0,,,,,,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.4794,-89.0,,,,,,,,,,,,,,,,,,,,-78.0,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,-93.0,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
47.4874,-90.0,,,-94.0,,,,,,,,,,,,,,,,,-63.0,,,,,,,,,,,,,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,5200.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.5134,-90.0,,,,,,,,,,,,,,,,,,,,-79.0,,,,,,,,,,,,,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4749,-86.0,,,-95.0,,,,,,,,,,,,,,,,,-79.0,,,,,,,,,,,,,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,-91.0,,,2437.0,,,5200.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
53.4906,,,,,,,,,,,,,,,,,,,,,-81.0,,,,,,,,,,,,,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,-92.0,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
55.4919,-93.0,,,,,,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.4742,-86.0,,,,,,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,-90.0,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
59.4803,-85.0,,,,,,,,,,,,,,,,,,,,-79.0,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,-92.0,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
61.4706,-83.0,,,,,,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,-76.0,,,,,,,,,,,,,,-95.0,,,,,,,,,,,-89.0,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,2412.0,,,,,,,,,,,2437.0,,
63.5017,-89.0,,,,,,,,,,,,,,,,,,,,-81.0,,,,,,,,,,,,,-69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.4645,-86.0,,,-86.0,,,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,-89.0,,,-89.0,-90.0,,,,,,,,,,2437.0,,,5200.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,2412.0,,,2412.0,2412.0,,,,,,,,,
67.4855,-82.0,,,-88.0,,-89.0,,,,-96.0,,,,,,,,,,,-84.0,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,,,,,,,,-78.0,,,2437.0,,,5200.0,,2452.0,,,,2412.0,,,,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
69.5023,-82.0,,,-87.0,,,,,,,,,,,-87.0,,,-90.0,-95.0,,-74.0,,,,,,,,,,,,,-74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,5200.0,,,,,,,,,,,2437.0,,,2462.0,2462.0,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.527,-85.0,,,-89.0,,,,,,,,-92.0,,,-93.0,-92.0,,,,-91.0,-78.0,,,,,,,,,,,,,-73.0,,,,,,,,,,,,,-93.0,,,-96.0,,,,,,,,,-85.0,,,2437.0,,,5200.0,,,,,,,,2427.0,,,2437.0,5220.0,,,,2452.0,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,2462.0,,,2462.0,,,,,,,,,2437.0,,
73.4893,-80.0,,,-87.0,,-92.0,,,,,,,,,,,,-91.0,-93.0,,-82.0,,,,,,,,,,,,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,-77.0,,,2437.0,,,5200.0,,2452.0,,,,,,,,,,,,2462.0,2462.0,,2437.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
75.5011,-82.0,,,,,-84.0,,,-90.0,-92.0,,-83.0,,,-91.0,-92.0,,,-90.0,,-81.0,,,,,,,,,,,,,-87.0,,,-84.0,,,,-86.0,,-94.0,,,,,,,,,,,,,,,,-68.0,,,2437.0,,,,,2452.0,,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,,,2462.0,,2437.0,,,,,,,,,,,,,2437.0,,,5500.0,,,,2462.0,,2462.0,,,,,,,,,,,,,,,,2437.0,,
77.5922,-84.0,,,-82.0,,-85.0,,,,-92.0,,,-88.0,,,-88.0,-89.0,-86.0,-91.0,,-79.0,-92.0,,,,-90.0,,,,,,,,,,,,,,,,,-89.0,,,-91.0,,,,,,,,,,-89.0,,,-73.0,-93.0,,2437.0,,,5200.0,,2452.0,,,,2412.0,,,2437.0,,,5220.0,5220.0,2462.0,2462.0,,2437.0,5500.0,,,,5500.0,,,,,,,,,,,,,,,,,2462.0,,,5540.0,,,,,,,,,,5500.0,,,2437.0,2412.0,
79.4972,-79.0,,,-82.0,,-80.0,,-93.0,-90.0,,,-86.0,-90.0,,-88.0,-91.0,-91.0,,-93.0,,-90.0,,,,,,,,,,,,,,,-92.0,-89.0,,,,-92.0,-87.0,-92.0,,,,,,,,,,-91.0,,,-88.0,,,-76.0,-89.0,,2437.0,,,5200.0,,2452.0,,2412.0,2462.0,,,2427.0,2437.0,,2437.0,5220.0,5220.0,,2462.0,,2437.0,,,,,,,,,,,,,,,2462.0,5500.0,,,,2462.0,2462.0,2462.0,,,,,,,,,,2412.0,,,5500.0,,,2437.0,2412.0,
81.7636,-74.0,,,-81.0,,-81.0,,,,-90.0,,-86.0,-89.0,,,-88.0,-89.0,-80.0,-89.0,,-89.0,,,,,,,,,,,,,,,,-88.0,,,,,,,,,-90.0,,,,,,,,,,,,,-72.0,-91.0,,2437.0,,,5200.0,,2452.0,,,,2412.0,,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,5500.0,,,,,,,,,5540.0,,,,,,,,,,,,,2437.0,2412.0,
85.5528,-75.0,,,-82.0,,-79.0,,,-82.0,,,-76.0,-89.0,,-88.0,-89.0,-90.0,-83.0,-84.0,,-88.0,,,-85.0,,,,,,,,,,-92.0,,-89.0,-89.0,,,-94.0,-84.0,-83.0,,,,,,,,,,,,,,-89.0,,,-66.0,,,2437.0,,,5200.0,,2452.0,,,2462.0,,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,2462.0,,,,,,,,,,2437.0,,2462.0,5500.0,,,5180.0,2462.0,2462.0,,,,,,,,,,,,,,5500.0,,,2437.0,,
87.6274,-75.0,,,-86.0,,-77.0,,,-84.0,-88.0,-87.0,,-88.0,,-82.0,,-88.0,-83.0,-85.0,,-89.0,-88.0,,,-89.0,-90.0,,-90.0,,,,,-95.0,,,-84.0,,,,-93.0,,,,,,-87.0,,,,,,,,,,,,,-62.0,,,2437.0,,,5200.0,,2452.0,,,2462.0,2412.0,2462.0,,2437.0,,2437.0,,5220.0,2462.0,2462.0,,2437.0,5500.0,,,5500.0,5500.0,,5500.0,,,,,2462.0,,,2462.0,,,,5180.0,,,,,,5540.0,,,,,,,,,,,,,2437.0,,
89.5602,,,,-78.0,-94.0,-82.0,,,-81.0,-89.0,,-83.0,-92.0,,-86.0,-89.0,,-82.0,,,-82.0,,,,,,,,,,,,,,,-92.0,,,,,,,,,,,,,,,,,,,,,,,-63.0,,,,,,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
91.4973,-77.0,,,-76.0,,-79.0,,,-82.0,-85.0,,-81.0,-87.0,-91.0,-82.0,-80.0,-79.0,-82.0,-86.0,,-88.0,-90.0,-90.0,,,,,-89.0,,,,,,,,-88.0,,,,,-88.0,,,,,,,,,,,,,,,-88.0,,,-64.0,-94.0,,2437.0,,,5200.0,,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,5500.0,5500.0,,,,,5500.0,,,,,,,,2462.0,,,,,2462.0,,,,,,,,,,,,,,,5500.0,,,2437.0,2412.0,
93.448,-79.0,,,-76.0,,-80.0,,,-83.0,-84.0,,-78.0,,,-81.0,-86.0,-83.0,-79.0,-83.0,,-86.0,,,,,,-90.0,,,,,,,,,,-84.0,,-92.0,-94.0,-89.0,-89.0,,,,,,,,,,,,-92.0,-95.0,,,,-54.0,,,2437.0,,,5200.0,,2452.0,,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,5500.0,,,,,,,,,,5500.0,,2432.0,5180.0,2462.0,2462.0,,,,,,,,,,,,2432.0,2432.0,,,,2437.0,,
95.5184,-74.0,,,-77.0,,-72.0,,,-76.0,-80.0,,-77.0,-85.0,,-81.0,-81.0,-80.0,-77.0,-80.0,,-86.0,-84.0,-86.0,,-83.0,-84.0,-84.0,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-52.0,,,2437.0,,,5200.0,,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
97.757,-77.0,,,-78.0,-93.0,,,,-78.0,-82.0,-90.0,-70.0,,,-83.0,-84.0,-83.0,,-77.0,,-88.0,-83.0,-84.0,,-84.0,-84.0,-84.0,-84.0,,,,-94.0,,,,-89.0,,,,,-90.0,,,,,-92.0,,,,,,,,,,,,,-54.0,,,2437.0,,,5200.0,2417.0,,,,2462.0,2412.0,2462.0,2427.0,,,2437.0,5220.0,5220.0,,2462.0,,2437.0,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,2437.0,,,,2462.0,,,,,2462.0,,,,,5540.0,,,,,,,,,,,,,2437.0,,
