AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:03:11
42.5743,-77.0,,-62.0,-68.0,,,,,-77.0,-48.0,-45.0,-69.0,,,-68.0,-75.0,-73.0,,,,2437.0,,2417.0,2452.0,,,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
46.5884,-75.0,,-62.0,-66.0,,-68.0,,,-75.0,-50.0,-45.0,-69.0,,,-68.0,,-73.0,,,,2437.0,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,
50.5709,,,-62.0,-66.0,,-70.0,-76.0,,-74.0,-46.0,-45.0,-65.0,,,-70.0,,-80.0,,,,,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,
54.5688,,,-61.0,-70.0,,-74.0,,,-73.0,-45.0,-45.0,-65.0,,,-74.0,-81.0,-80.0,,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
58.5805,,,-63.0,-70.0,,-72.0,,,-75.0,-48.0,-50.0,-71.0,,,-73.0,,-72.0,,-75.0,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,2462.0,
62.1641,-78.0,,,-68.0,,-71.0,,,-75.0,-48.0,-49.0,-75.0,,,-72.0,-77.0,-72.0,,,,2437.0,,,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
66.612,,,-63.0,-72.0,,-76.0,,,-71.0,-50.0,-50.0,-66.0,,,-77.0,-73.0,-68.0,,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
70.5857,,,-62.0,-69.0,,-68.0,,,-74.0,-47.0,-55.0,-63.0,,,-70.0,-75.0,-71.0,,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
74.5586,,,-58.0,-65.0,,-73.0,,,-75.0,-55.0,-54.0,-59.0,,,-73.0,-73.0,-71.0,,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
78.6043,,,-55.0,-61.0,,-68.0,-73.0,,-63.0,-58.0,-58.0,-55.0,,,-66.0,,-70.0,,,,,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,
82.5515,,,-61.0,-57.0,,-66.0,-68.0,,-55.0,-58.0,-63.0,-52.0,,,-66.0,,-65.0,,,,,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,
86.57,,,-55.0,-53.0,,-58.0,-62.0,,-56.0,-62.0,,-44.0,,-66.0,-59.0,,-66.0,,,,,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,5200.0,2462.0,,2437.0,,,
90.6175,,,-62.0,-59.0,,-59.0,-64.0,,-55.0,-62.0,,-44.0,-67.0,,-58.0,,-58.0,,,,,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5200.0,,2462.0,,2437.0,,,
94.5877,,,-65.0,-61.0,,-59.0,-64.0,,-55.0,-66.0,,-50.0,-67.0,,-60.0,,-63.0,,,,,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5200.0,,2462.0,,2437.0,,,
98.5525,-62.0,,-65.0,-61.0,,-59.0,-67.0,,-63.0,-62.0,-64.0,-51.0,,,-60.0,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,,,,
102.5837,-66.0,,-76.0,-67.0,,,-67.0,,-71.0,-66.0,-76.0,-59.0,,,-67.0,,-75.0,,,,2437.0,,2417.0,2452.0,,,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,
106.5553,-67.0,-80.0,,-79.0,,-79.0,-77.0,,,-82.0,,-65.0,,,-74.0,,-83.0,,,-83.0,2437.0,5200.0,,2452.0,,2462.0,2412.0,,,2437.0,,2437.0,,,2462.0,,2437.0,,,2462.0
110.5719,-67.0,,,-78.0,-74.0,-75.0,-77.0,,-71.0,-80.0,,-69.0,,,-74.0,,,,,-75.0,2437.0,,,2452.0,2457.0,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,,,2462.0
114.5701,-58.0,-77.0,-79.0,-73.0,-67.0,-75.0,,,-74.0,,,-65.0,,,-73.0,,,,,-68.0,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,,,2427.0,,,2437.0,,,2462.0,,,,,2462.0
118.5634,-59.0,-68.0,,-78.0,-71.0,-78.0,,,-74.0,,,-65.0,,,-77.0,,-74.0,,,-68.0,2437.0,5200.0,,2452.0,2457.0,2462.0,,,2427.0,,,2437.0,,,2462.0,,2437.0,,,2462.0
122.5993,-57.0,-66.0,,,-66.0,-73.0,-77.0,,-78.0,,,-66.0,,,-73.0,,-77.0,,,-68.0,2437.0,5200.0,,,2457.0,2462.0,2412.0,,2427.0,,,2437.0,,,2462.0,,2437.0,,,2462.0
126.5836,-59.0,-63.0,-78.0,-69.0,-70.0,,-76.0,,-72.0,,,-63.0,,,-71.0,,,,,-71.0,2437.0,5200.0,2417.0,2452.0,2457.0,,2412.0,,2427.0,,,2437.0,,,2462.0,,,,,2462.0
130.5799,-55.0,-65.0,,-67.0,-74.0,,-76.0,,-75.0,-78.0,,-63.0,,,-75.0,,,,,-75.0,2437.0,5200.0,,2452.0,2457.0,,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,,,2462.0
134.6158,-54.0,-67.0,,-71.0,-70.0,-77.0,-77.0,,-71.0,,,-66.0,,,-75.0,,,,,-74.0,2437.0,5200.0,,2452.0,2457.0,2462.0,2412.0,,2427.0,,,2437.0,,,2462.0,,,,,2462.0
138.5762,-59.0,-66.0,,-72.0,-70.0,-76.0,,,-71.0,-77.0,,-66.0,,,-75.0,,-77.0,,,,2437.0,5200.0,,2452.0,2457.0,2462.0,,,2427.0,2437.0,,2437.0,,,2462.0,,2437.0,,,
142.2507,-55.0,-65.0,,-76.0,-69.0,-73.0,-76.0,,,,,-66.0,,,-75.0,,-77.0,,,-72.0,2437.0,5200.0,,2452.0,2457.0,2462.0,2412.0,,,,,2437.0,,,2462.0,,2437.0,,,2462.0
146.5792,-54.0,-66.0,,-73.0,-66.0,,-75.0,-77.0,-75.0,,,-66.0,,,-73.0,,,,,-72.0,2437.0,5200.0,,2452.0,2457.0,,2412.0,2462.0,2427.0,,,2437.0,,,2462.0,,,,,2462.0
150.5773,-52.0,-66.0,-77.0,-69.0,-72.0,-74.0,,,-68.0,,,-59.0,,,-71.0,,,,,-71.0,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,,,2427.0,,,2437.0,,,2462.0,,,,,2462.0
154.5782,-57.0,,-81.0,-74.0,-73.0,,,,-72.0,,-84.0,-67.0,,,,,-83.0,,,-79.0,2437.0,,2417.0,2452.0,2457.0,,,,2427.0,,2422.0,2437.0,,,,,2437.0,,,2462.0
158.5744,-65.0,,,-76.0,,-75.0,-80.0,,-72.0,-75.0,,-62.0,,,-75.0,,-80.0,,,-79.0,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,2437.0,,,2462.0
162.5814,-67.0,,-70.0,-68.0,,-67.0,-73.0,,-70.0,-68.0,,-45.0,,,-67.0,,-77.0,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,2437.0,,,
166.5612,-67.0,,-62.0,-60.0,,-57.0,-64.0,,-63.0,-67.0,-69.0,-49.0,,,-60.0,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,,,,
170.5843,-63.0,,-59.0,-58.0,,-57.0,-63.0,,-61.0,-62.0,,-47.0,-65.0,,-58.0,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5200.0,,2462.0,,,,,
174.5595,,,-50.0,-56.0,,-53.0,,,-54.0,-60.0,-64.0,-51.0,-61.0,-61.0,-54.0,,,,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,,,,,
178.5608,,,-50.0,-64.0,,-57.0,,,-57.0,-56.0,-61.0,-51.0,-62.0,-62.0,-57.0,,,,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,,,,,
182.5794,,,-52.0,-57.0,,-61.0,,,-62.0,-60.0,-57.0,-51.0,-68.0,-69.0,-65.0,,,,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,,,,,
186.5751,-68.0,,-52.0,,,-64.0,-68.0,,-61.0,-61.0,-59.0,-57.0,,,-63.0,,-69.0,,,,2437.0,,2417.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,
190.5995,,,-63.0,,,-69.0,-69.0,,-69.0,-53.0,-65.0,-64.0,,,-71.0,-69.0,-73.0,,,,,,2417.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
194.5923,,,-62.0,-70.0,,-72.0,,,-70.0,-45.0,-56.0,-65.0,,,,-73.0,-78.0,-76.0,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,,2462.0,2437.0,2462.0,,
198.5771,,,-63.0,-70.0,,-74.0,,,-78.0,-45.0,-56.0,-69.0,,,-76.0,-74.0,,-80.0,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,,2462.0,,
