AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02
113.657,,-89.0
113.7844,-89.0,
113.8627,,-95.0
113.9947,-91.0,
114.0794,,-91.0
114.4851,,-88.0
115.7091,,-97.0
115.9148,,-86.0
116.0196,-101.0,
116.1166,,-98.0
117.6674,-91.0,
117.7404,,-87.0
117.8572,-93.0,
117.98,,-90.0
118.0546,-91.0,
118.1609,,-95.0
119.6095,,-89.0
120.0155,,-89.0
120.209,,-87.0
121.6405,,-87.0
121.9332,-90.0,
122.0475,,-86.0
122.1392,-90.0,
122.5918,-88.0,
123.5852,-90.0,
123.6821,,-90.0
123.8027,-99.0,
123.9102,,-90.0
124.0063,-90.0,
124.0999,,-87.0
124.1959,-98.0,
125.7358,,-92.0
125.9631,,-87.0
127.3769,,-87.0
127.6758,-91.0,
127.9209,-91.0,
127.9877,,-91.0
128.0836,-95.0,
128.2167,,-94.0
129.6403,,-92.0
129.7082,-90.0,
129.8873,,-86.0
129.9213,-90.0,
130.0539,,-91.0
130.1331,-93.0,
131.3542,-89.0,
131.7015,,-92.0
131.9045,,-86.0
131.9851,-93.0,
132.1852,-91.0,
133.6185,-91.0,
133.7432,,-101.0
133.8019,-85.0,
133.9883,,-94.0
134.0163,-91.0,
134.1494,,-98.0
135.6147,,-98.0
135.6516,-92.0,
135.8783,-95.0,
136.0675,-89.0,
136.1994,,-100.0
137.6983,-82.0,
137.9351,-82.0,
138.1222,-83.0,
138.9346,-79.0,
139.6575,,-100.0
139.7592,-92.0,
139.8552,,-94.0
139.9638,-82.0,
140.1652,-88.0,
141.5943,-83.0,
141.9987,-86.0,
143.6419,-82.0,
143.7857,,-99.0
143.8546,-92.0,
144.0609,-87.0,
145.7225,-98.0,
145.8067,,-97.0
145.9209,-95.0,
146.1453,-88.0,
147.5753,-88.0,
147.6506,,-102.0
147.8536,,-95.0
147.9871,-95.0,
148.1965,-86.0,
149.7252,,-96.0
149.8352,-97.0,
150.033,-95.0,
151.4965,-93.0,
151.6793,-93.0,
151.8923,-96.0,
152.0868,-98.0,
153.6065,,-95.0
153.8239,,-95.0
153.9352,-93.0,
154.0054,,-94.0
154.1551,-97.0,
154.2242,,-94.0
155.5843,-95.0,
155.66,,-91.0
155.7893,-95.0,
155.8695,,-86.0
155.9974,-96.0,
157.9285,,-87.0
158.0217,-97.0,
158.1099,,-101.0
158.9182,,-95.0
159.7392,,-94.0
160.0657,-93.0,
160.146,,-100.0
161.5815,,-98.0
161.7078,-96.0,
161.7972,,-86.0
162.2096,,-81.0
163.6463,,-90.0
163.8485,,-93.0
164.0508,,-86.0
164.4893,,-95.0
165.6937,,-81.0
165.7848,-100.0,
165.8896,,-90.0
166.0986,,-86.0
166.2136,-99.0,
166.3091,,-87.0
166.9163,,-89.0
167.7328,,-85.0
167.9436,,-83.0
168.1463,,-86.0
