AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:03:11
40.3626,,,-61.0,-78.0,,-74.0,,-76.0,-50.0,-44.0,-67.0,,,-75.0,-77.0,-67.0,,,,,,,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,,
44.3626,,,-60.0,-73.0,,-72.0,-74.0,-72.0,-47.0,-52.0,-73.0,,,-72.0,,-70.0,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,,,,
48.3865,,,-62.0,-70.0,,-74.0,-76.0,-72.0,-48.0,-48.0,-73.0,,,-75.0,,-68.0,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,,,,
52.3779,,,-64.0,-77.0,,-70.0,-76.0,-72.0,-48.0,-50.0,-69.0,,,-71.0,,-73.0,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,,,,
56.3592,,,-64.0,-73.0,,,,-74.0,-48.0,-50.0,-67.0,,,-68.0,,-77.0,-81.0,,,-83.0,,,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,2462.0,,,5500.0,,
60.3749,,,,-73.0,,-73.0,-77.0,-69.0,-45.0,-52.0,-67.0,,,-72.0,-79.0,-75.0,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,,
64.3827,,,-67.0,-72.0,,-69.0,-74.0,-69.0,-50.0,-52.0,-64.0,,,-68.0,,-74.0,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,,,,
68.3631,,,-66.0,-74.0,,-65.0,-73.0,,-50.0,-55.0,-60.0,,,-66.0,-71.0,-72.0,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,,
72.3728,,,-64.0,-73.0,,,-76.0,-74.0,-54.0,-59.0,-69.0,,,-72.0,-75.0,-74.0,,,,,,,,,2417.0,2452.0,,,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,,
76.3668,,,-56.0,-62.0,,-66.0,-72.0,-66.0,-70.0,-60.0,-53.0,,,-68.0,,-65.0,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,,,,
80.3844,-68.0,,-53.0,-62.0,,-66.0,-66.0,-67.0,,-62.0,-51.0,,,-67.0,,-64.0,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,2427.0,,2422.0,2437.0,,,2462.0,,2437.0,,,,,,
84.3654,-62.0,,-57.0,-58.0,,-62.0,-62.0,-59.0,,-64.0,-47.0,,,-64.0,,-62.0,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,2427.0,,2422.0,2437.0,,,2462.0,,2437.0,,,,,,
88.3764,-61.0,,-57.0,-58.0,,-59.0,-60.0,-55.0,,,-48.0,,-66.0,-64.0,,-62.0,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,2427.0,,,2437.0,,5200.0,2462.0,,2437.0,,,,,,
92.4014,,,-61.0,-62.0,,-57.0,-61.0,-57.0,-69.0,-73.0,-48.0,,,-58.0,,-63.0,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,,,,
96.3757,-63.0,,-56.0,-56.0,,-62.0,-62.0,-63.0,-67.0,,-52.0,,,-64.0,,-66.0,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,,,2462.0,,2437.0,,,,,,
100.3752,-69.0,,-74.0,-75.0,,-72.0,-69.0,-67.0,-72.0,,-55.0,,,-72.0,,,,,,,,-79.0,2437.0,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,,,2462.0,,,,,,,,2462.0
104.3613,-73.0,,,-79.0,-75.0,,,-75.0,-80.0,-85.0,-60.0,-89.0,,,,-87.0,,,,,,-83.0,2437.0,,,2452.0,2457.0,,,2427.0,2437.0,2422.0,2437.0,5200.0,,,,2437.0,,,,,,2462.0
108.4198,-65.0,-72.0,,-77.0,-69.0,-76.0,,-76.0,,,-65.0,,,-78.0,,-81.0,,,,,,-77.0,2437.0,5200.0,,2452.0,2457.0,2462.0,,2427.0,,,2437.0,,,2462.0,,2437.0,,,,,,2462.0
112.3631,-59.0,,-78.0,-73.0,-67.0,-72.0,,-70.0,,,-61.0,,,-74.0,,-76.0,,,,,,-69.0,2437.0,,2417.0,2452.0,2457.0,2462.0,,2427.0,,,2437.0,,,2462.0,,2437.0,,,,,,2462.0
116.3556,-51.0,,-79.0,-79.0,-78.0,-72.0,,-74.0,,,-65.0,,-79.0,-74.0,,,,,,,,-73.0,2437.0,,2417.0,2452.0,2457.0,2462.0,,2427.0,,,2437.0,,5200.0,2462.0,,,,,,,,2462.0
120.3427,-52.0,,-79.0,-71.0,-78.0,-72.0,,-73.0,,,-63.0,-80.0,,-72.0,,,,,,,,-69.0,2437.0,,2417.0,2452.0,2457.0,2462.0,,2427.0,,,2437.0,5200.0,,2462.0,,,,,,,,2462.0
124.3588,-52.0,-72.0,,-79.0,-78.0,-72.0,,-70.0,-81.0,,-63.0,,-80.0,,,,,,,,,-69.0,2437.0,5200.0,,2452.0,2457.0,2462.0,,2427.0,2437.0,,2437.0,,5200.0,,,,,,,,,2462.0
128.3786,-54.0,-71.0,,,-80.0,-73.0,-78.0,-70.0,-80.0,,-63.0,,,,,-85.0,,,,,,-71.0,2437.0,5200.0,,,2457.0,2462.0,2412.0,2427.0,2437.0,,2437.0,,,,,2437.0,,,,,,2462.0
132.3896,-53.0,-70.0,-81.0,-73.0,-76.0,,-77.0,,-79.0,-86.0,-62.0,,,,,,,,,,,-71.0,2437.0,5200.0,2417.0,2452.0,2457.0,,2412.0,,2437.0,2422.0,2437.0,,,,,,,,,,,2462.0
136.3515,-52.0,-70.0,-77.0,-77.0,-77.0,,,-73.0,-79.0,,-62.0,,,-74.0,,,,,,,,-71.0,2437.0,5200.0,2417.0,2452.0,2457.0,,,2427.0,2437.0,,2437.0,,,2462.0,,,,,,,,2462.0
140.3754,-55.0,-70.0,,-76.0,-77.0,-75.0,-79.0,,-79.0,,-62.0,,-80.0,,,,,,,,,-71.0,2437.0,5200.0,,2452.0,2457.0,2462.0,2412.0,,2437.0,,2437.0,,5200.0,,,,,,,,,2462.0
144.3504,-59.0,-68.0,-76.0,-69.0,-72.0,-68.0,-78.0,-73.0,,,-62.0,,,-69.0,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,2412.0,2427.0,,,2437.0,,,2462.0,,,,,,,,
148.3792,-59.0,-72.0,,-70.0,-76.0,-72.0,-73.0,-69.0,,,-63.0,,,,,-80.0,,,,,,-77.0,2437.0,5200.0,,2452.0,2457.0,2462.0,2412.0,2427.0,,,2437.0,,,,,2437.0,,,,,,2462.0
152.3741,-63.0,,-73.0,-73.0,,-75.0,-75.0,-67.0,-77.0,,-56.0,,,-75.0,,,,,,,,-78.0,2437.0,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,,,2462.0,,,,,,,,2462.0
156.3824,-58.0,,-69.0,-65.0,,-69.0,-77.0,-67.0,-73.0,,-52.0,,,-69.0,,-77.0,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,,,2462.0,,2437.0,,,,,,
160.3804,,,,-61.0,,-65.0,-65.0,-59.0,-63.0,,-47.0,-73.0,-73.0,-67.0,,-68.0,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5200.0,5200.0,2462.0,,2437.0,,,,,,
164.3758,,,-59.0,-55.0,,-61.0,-59.0,-60.0,-59.0,-68.0,-43.0,,,-61.0,,-68.0,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,,,,
168.3763,-65.0,,-53.0,-51.0,,-59.0,-55.0,-57.0,-56.0,-63.0,-49.0,,,-60.0,,,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,,,,,,,,
171.9209,-67.0,,-50.0,-59.0,,-66.0,-67.0,-59.0,-58.0,-64.0,-53.0,,,,,-62.0,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,,,2437.0,,,,,,
176.3558,,,,-62.0,,-62.0,-67.0,-65.0,-58.0,-59.0,-51.0,,-70.0,-64.0,,-67.0,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,5200.0,2462.0,,2437.0,,,,,,
180.3462,,,-59.0,-61.0,,-67.0,-64.0,-62.0,-58.0,-62.0,-53.0,,,-68.0,,-71.0,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,,,,
184.3763,,,-63.0,-70.0,,-71.0,,-71.0,-49.0,-50.0,-62.0,,,-70.0,-68.0,-74.0,,,,,,,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,,
188.3616,,,-61.0,-70.0,,-75.0,,-75.0,-49.0,-50.0,-70.0,,,-75.0,-73.0,-79.0,,,,,,,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,,
