AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82
123.6719,-69.0,-77.0,,,,,,,-73.0,-77.0,,-62.0,,,,-73.0,,,,,,2437.0,5200.0,,,,,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
125.6624,-65.0,-73.0,-71.0,,,,,,-70.0,,,-53.0,,,,-72.0,,,,,,2437.0,5200.0,2417.0,,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
127.6569,-61.0,-69.0,,-72.0,,,,,-64.0,,,-53.0,,,,-63.0,,,,,,2437.0,5200.0,,2452.0,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
129.6653,-63.0,-73.0,-66.0,,,,,,-62.0,,,-61.0,,,,-61.0,,,,,,2437.0,5200.0,2417.0,,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
131.6993,-61.0,-74.0,,,,,,,-74.0,,,-69.0,,,-75.0,-64.0,,,,,,2437.0,5200.0,,,,,,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
133.7037,-66.0,-75.0,-74.0,,,,,,-73.0,,,-62.0,,,,-59.0,,,,,,2437.0,5200.0,2417.0,,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
135.7705,-64.0,-72.0,-70.0,,,,,,-68.0,,,-60.0,,,,-60.0,,,,,,2437.0,5200.0,2417.0,,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
137.6737,-62.0,,-73.0,-74.0,,,,,-73.0,,,-58.0,,,,-62.0,,,,,,2437.0,,2417.0,2452.0,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
139.6648,-63.0,-74.0,,,,,,,-72.0,,,-62.0,,,-77.0,-68.0,,,,,,2437.0,5200.0,,,,,,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
141.676,-65.0,-73.0,-69.0,,,,,,-78.0,,,-60.0,,,,-64.0,,,,,,2437.0,5200.0,2417.0,,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
143.6869,-65.0,,-69.0,,,-69.0,,,,,,-57.0,,,-72.0,-63.0,,,,,,2437.0,,2417.0,,,2462.0,,,,,,2437.0,,,2462.0,2437.0,,,,,
145.6594,-64.0,,-69.0,,,-70.0,,,-65.0,,,-59.0,,,,-63.0,,,,,,2437.0,,2417.0,,,2462.0,,,2427.0,,,2437.0,,,,2437.0,,,,,
147.6785,,,-68.0,,,-76.0,,,-71.0,,,-58.0,,,-71.0,-61.0,,,,,,,,2417.0,,,2462.0,,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
149.6777,-67.0,-72.0,-72.0,,,-73.0,,,,,,-58.0,,,,-64.0,,,,,,2437.0,5200.0,2417.0,,,2462.0,,,,,,2437.0,,,,2437.0,,,,,
151.6794,-61.0,,-74.0,-79.0,,,,,-74.0,,,-60.0,,,,-64.0,,,,,,2437.0,,2417.0,2452.0,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
153.6314,-58.0,,-72.0,,,,,,-74.0,,,-55.0,,,-71.0,-62.0,,,,,,2437.0,,2417.0,,,,,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
155.6822,-62.0,-72.0,-72.0,,,-74.0,,,,,,-58.0,,,,-63.0,,,,,,2437.0,5200.0,2417.0,,,2462.0,,,,,,2437.0,,,,2437.0,,,,,
157.6388,-61.0,,,,,-70.0,,,-69.0,,,-61.0,,,-70.0,-63.0,,,,,,2437.0,,,,,2462.0,,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
159.6594,-64.0,,-70.0,,,-69.0,,,-61.0,,,-61.0,,,,-61.0,,,,,,2437.0,,2417.0,,,2462.0,,,2427.0,,,2437.0,,,,2437.0,,,,,
161.633,-63.0,-73.0,-77.0,,,,,,,,,-60.0,,,-76.0,-63.0,,,,,,2437.0,5200.0,2417.0,,,,,,,,,2437.0,,,2462.0,2437.0,,,,,
163.661,-67.0,-72.0,-71.0,,,-73.0,,,,,,-58.0,,,,-61.0,,,,,,2437.0,5200.0,2417.0,,,2462.0,,,,,,2437.0,,,,2437.0,,,,,
165.7673,-67.0,-76.0,,,,,,,-71.0,,,-59.0,,,-73.0,-63.0,,,,,,2437.0,5200.0,,,,,,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
167.7067,-63.0,-74.0,,,,-71.0,,,,,,-58.0,,,-71.0,-65.0,,,,,,2437.0,5200.0,,,,2462.0,,,,,,2437.0,,,2462.0,2437.0,,,,,
169.6495,-69.0,,-72.0,,,,,,-70.0,,,-60.0,,,-74.0,-63.0,,,,,,2437.0,,2417.0,,,,,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
171.7065,-71.0,-76.0,,,,,,,-70.0,-83.0,,-62.0,,,,-68.0,,,,,,2437.0,5200.0,,,,,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
173.6908,-69.0,,,,,,,,-83.0,-76.0,,-73.0,,,,-72.0,,,-80.0,,,2437.0,,,,,,,,2427.0,2437.0,,2437.0,,,,2437.0,,,5500.0,,
175.6583,-67.0,-82.0,,,,,,,-83.0,-79.0,,-70.0,,,,-74.0,,,,,,2437.0,5200.0,,,,,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
177.785,-75.0,,,,,,,,-83.0,-84.0,,-68.0,,,,-72.0,,,-83.0,,,2437.0,,,,,,,,2427.0,2437.0,,2437.0,,,,2437.0,,,5500.0,,
179.6924,-70.0,-79.0,,,,,,,-78.0,,,-74.0,,,,-76.0,-85.0,,,,,2437.0,5200.0,,,,,,,2427.0,,,2437.0,,,,2437.0,5500.0,,,,
181.8055,-71.0,,,,,,,,,-83.0,,-75.0,,,,-73.0,,-81.0,,-81.0,,2437.0,,,,,,,,,2437.0,,2437.0,,,,2437.0,,2462.0,,2462.0,
183.7129,-71.0,-81.0,,,,,,,,-80.0,,-65.0,,,,-72.0,,,,-85.0,,2437.0,5200.0,,,,,,,,2437.0,,2437.0,,,,2437.0,,,,2462.0,
185.6752,-70.0,,-78.0,,,,,,-81.0,-79.0,,-66.0,,,,-73.0,,,,,,2437.0,,2417.0,,,,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
187.6322,-74.0,,,,,-79.0,,,-78.0,-76.0,,-60.0,,,,-70.0,,,,,,2437.0,,,,,2462.0,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
189.6695,-66.0,-74.0,,,,-73.0,,,,,,-67.0,,,-74.0,-69.0,,,,,,2437.0,5200.0,,,,2462.0,,,,,,2437.0,,,2462.0,2437.0,,,,,
191.677,-62.0,-71.0,,,,,,,-72.0,,,-56.0,,,-73.0,-61.0,,,,,,2437.0,5200.0,,,,,,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
193.6528,-62.0,-71.0,,,,-78.0,,,-77.0,,,-63.0,,,,-62.0,,,,,,2437.0,5200.0,,,,2462.0,,,2427.0,,,2437.0,,,,2437.0,,,,,
195.6674,-59.0,-63.0,-70.0,,,,,,-74.0,,,-60.0,,,,-61.0,,,,,,2437.0,5200.0,2417.0,,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
197.6706,-53.0,-63.0,-71.0,,,,,,,,,-60.0,,-79.0,,-56.0,,,,,,2437.0,5200.0,2417.0,,,,,,,,,2437.0,,5220.0,,2437.0,,,,,
199.6489,-56.0,-62.0,,,,-81.0,,,-76.0,,,-66.0,,,,-64.0,,,,,,2437.0,5200.0,,,,2462.0,,,2427.0,,,2437.0,,,,2437.0,,,,,
201.6658,-51.0,-58.0,,,,-82.0,,,,,-83.0,-63.0,,,,-65.0,,,,,,2437.0,5200.0,,,,2462.0,,,,,2422.0,2437.0,,,,2437.0,,,,,
203.667,-51.0,-59.0,-83.0,,,,,,,-69.0,,-60.0,,,,-73.0,,,,,,2437.0,5200.0,2417.0,,,,,,,2437.0,,2437.0,,,,2437.0,,,,,
205.6867,-48.0,-58.0,,,,,,-89.0,-87.0,,,-69.0,,,,-75.0,,,,,,2437.0,5200.0,,,,,,2462.0,2427.0,,,2437.0,,,,2437.0,,,,,
207.6579,-51.0,-61.0,,,-92.0,,,,,,,-72.0,,,-90.0,-72.0,,,,,,2437.0,5200.0,,,2457.0,,,,,,,2437.0,,,2462.0,2437.0,,,,,
209.675,-54.0,-61.0,,-86.0,-87.0,,,,,,,-70.0,,,,-77.0,,,,,,2437.0,5200.0,,2452.0,2457.0,,,,,,,2437.0,,,,2437.0,,,,,
211.7164,-50.0,-59.0,,,-88.0,,,,-87.0,,,-72.0,,,,-70.0,,,,,,2437.0,5200.0,,,2457.0,,,,2427.0,,,2437.0,,,,2437.0,,,,,
213.6774,-48.0,-63.0,,,,-85.0,,,,,,-69.0,,,-84.0,-73.0,,,,,,2437.0,5200.0,,,,2462.0,,,,,,2437.0,,,2462.0,2437.0,,,,,
215.6614,-46.0,-63.0,-82.0,,,,,,,,,-66.0,,,-79.0,-70.0,,,,,,2437.0,5200.0,2417.0,,,,,,,,,2437.0,,,2462.0,2437.0,,,,,
217.6588,-56.0,-60.0,-77.0,-79.0,,,,,,,,-57.0,,,,-65.0,,,,,,2437.0,5200.0,2417.0,2452.0,,,,,,,,2437.0,,,,2437.0,,,,,
219.6837,-65.0,-69.0,-72.0,,,,,,-71.0,,,-58.0,,,,-65.0,,,,,,2437.0,5200.0,2417.0,,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
221.6556,-66.0,-68.0,-68.0,,,-70.0,,,,,,-54.0,,,,-62.0,,,,,,2437.0,5200.0,2417.0,,,2462.0,,,,,,2437.0,,,,2437.0,,,,,
223.6544,-66.0,,-74.0,,,-73.0,,,,,,-61.0,,,-74.0,-64.0,,,,,,2437.0,,2417.0,,,2462.0,,,,,,2437.0,,,2462.0,2437.0,,,,,
225.6733,-56.0,,,,,,,,-71.0,-69.0,,-50.0,,,-69.0,-67.0,,,,,,2437.0,,,,,,,,2427.0,2437.0,,2437.0,,,2462.0,2437.0,,,,,
227.6634,-66.0,,-68.0,-68.0,,,,,,-66.0,,-51.0,,,,-70.0,,,,,,2437.0,,2417.0,2452.0,,,,,,2437.0,,2437.0,,,,2437.0,,,,,
229.6736,-63.0,,,,,-69.0,-68.0,,-64.0,,,-51.0,,-69.0,,,,,,,,2437.0,,,,,2462.0,2412.0,,2427.0,,,2437.0,,5220.0,,,,,,,
231.8232,-65.0,,,,,-70.0,,,-68.0,-64.0,,-50.0,,,,-68.0,,,,,,2437.0,,,,,2462.0,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
233.6796,-69.0,,-67.0,-69.0,,,,,-63.0,-68.0,,-54.0,,,,,,,,,,2437.0,,2417.0,2452.0,,,,,2427.0,2437.0,,2437.0,,,,,,,,,
235.6693,-66.0,,,-69.0,,,-68.0,,-66.0,-64.0,,-50.0,,,,,,,,,,2437.0,,,2452.0,,,2412.0,,2427.0,2437.0,,2437.0,,,,,,,,,
237.6466,,,-67.0,-64.0,,-66.0,-64.0,,-66.0,,,-56.0,,,,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,,2427.0,,,2437.0,,,,,,,,,
