AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:19,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:51,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:41,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:19,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:51,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:41,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25
42.7384,-61.0,-88.0,,,,,,-71.0,,-62.0,,-84.0,,,,,,-61.0,-66.0,-63.0,,,-68.0,,,,-81.0,-72.0,-72.0,-66.0,-83.0,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,,,5200.0,,2452.0,,2462.0,,,,,,2457.0,2462.0,2412.0,,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
46.7536,-57.0,,,-86.0,-86.0,,-91.0,-71.0,,-64.0,,-77.0,,,,,,-66.0,-68.0,-62.0,,,-66.0,,-90.0,,-79.0,-74.0,-74.0,,,,-92.0,,,,,,,,,,,,,,,,2437.0,,,5500.0,5500.0,,2462.0,5200.0,,2452.0,,2462.0,,,,,,2457.0,2462.0,2412.0,,,2427.0,,2437.0,,2437.0,5200.0,5200.0,,,,2437.0,,,,,,,,,,,,,,,
50.7445,-61.0,,-82.0,-90.0,-90.0,,,-71.0,,-61.0,,-77.0,-77.0,-87.0,-88.0,,,-65.0,-68.0,-65.0,,,-64.0,,-86.0,,-79.0,-73.0,-73.0,-69.0,-79.0,,,,,,,,,,,,,,,,,-87.0,2437.0,,5200.0,5500.0,5500.0,,,5200.0,,2452.0,,2462.0,2412.0,2412.0,2412.0,,,2457.0,2462.0,2412.0,,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
54.7721,-58.0,-84.0,,,,,,-70.0,,-63.0,,,,,,,,-65.0,-67.0,-65.0,,,-65.0,,,,-75.0,-73.0,-73.0,-67.0,-79.0,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,,,5200.0,,2452.0,,,,,,,,2457.0,2462.0,2412.0,,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
58.7348,-59.0,,,,,,,-68.0,,-69.0,,,,,,,-87.0,-61.0,-65.0,-66.0,,,-65.0,,-92.0,-92.0,-75.0,-73.0,-72.0,-67.0,,,-91.0,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,2452.0,,,,,,,2412.0,2457.0,2462.0,2412.0,,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,,,2437.0,,,,,,,,,,,,,,,
62.7497,-61.0,,-79.0,-88.0,-85.0,-87.0,,-71.0,,-63.0,,,-75.0,,-89.0,-89.0,,-65.0,-67.0,-67.0,-87.0,,-69.0,,-89.0,,-75.0,-74.0,-74.0,-65.0,-81.0,,,,,,,,,,,,,,,,,-91.0,2437.0,,5200.0,5500.0,5500.0,2462.0,,5200.0,,2452.0,,,2412.0,,2412.0,2412.0,,2457.0,2462.0,2412.0,2462.0,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
66.7316,-61.0,,-86.0,,,,,-70.0,,-67.0,,-83.0,-78.0,,,,-91.0,-69.0,-69.0,-63.0,,,-69.0,,-91.0,,-74.0,-76.0,-76.0,-65.0,-74.0,,-85.0,,,,,,,,,,,,,,,-88.0,2437.0,,5200.0,,,,,5200.0,,2452.0,,2462.0,2412.0,,,,2412.0,2457.0,2462.0,2412.0,,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,2437.0
70.7207,-60.0,,,,,,,-60.0,,-55.0,,,-74.0,,-88.0,,,-74.0,-67.0,-58.0,-81.0,,-61.0,,-86.0,-88.0,-66.0,-67.0,-67.0,-66.0,-73.0,,,,,,,,,,,,,,,,,-85.0,2437.0,,,,,,,5200.0,,2452.0,,,2412.0,,2412.0,,,2457.0,2462.0,2412.0,2462.0,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
74.7456,-44.0,,-87.0,,,,,-63.0,-85.0,-55.0,,,-77.0,,,,,,-57.0,-60.0,,,-55.0,,-86.0,,-70.0,-67.0,-67.0,-56.0,-77.0,-84.0,-88.0,,,,,,,,,,,,,,,-82.0,2437.0,,5200.0,,,,,5200.0,2417.0,2452.0,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,2452.0,2437.0,,,,,,,,,,,,,,,2437.0
78.7528,-45.0,,,,,,,,,-58.0,,,,-89.0,,,,,-56.0,-60.0,-77.0,,-57.0,-89.0,,,-77.0,-69.0,-68.0,-56.0,-80.0,,-84.0,,,,,,,,,,,,,,,,2437.0,,,,,,,,,2452.0,,,,2412.0,,,,,2462.0,2412.0,2462.0,,2427.0,2412.0,,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,
82.7395,-51.0,,,,,,,,-84.0,-60.0,,,,,,,,,-68.0,-63.0,,,-57.0,,,,-73.0,-68.0,-68.0,-65.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,2417.0,2452.0,,,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,,,,,,,,,,,,,,,,,,
86.7411,-43.0,,-85.0,,,,,-56.0,,-57.0,,,-71.0,,,,,-67.0,-60.0,-59.0,,,-61.0,,,,-71.0,-67.0,-66.0,-61.0,-72.0,,,,,,,,,,,,,,,,,-79.0,2437.0,,5200.0,,,,,5200.0,,2452.0,,,2412.0,,,,,2457.0,2462.0,2412.0,,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
90.7607,-45.0,,-85.0,,,,-89.0,,,-59.0,,,,,,,,-78.0,-60.0,-61.0,-75.0,,-55.0,,,,-71.0,-69.0,-68.0,,-80.0,,,,,,,,,,,,,,,,,-84.0,2437.0,,5200.0,,,,2462.0,,,2452.0,,,,,,,,2457.0,2462.0,2412.0,2462.0,,2427.0,,,,2437.0,5200.0,5200.0,,2462.0,,,,,,,,,,,,,,,,,2437.0
94.7606,-46.0,,-87.0,,,-91.0,,-55.0,-80.0,-55.0,,,-82.0,,,,,-80.0,-59.0,-62.0,,,-56.0,,-88.0,,-71.0,-63.0,-63.0,-59.0,-70.0,,-85.0,,,,,,,,,,,,,,,-76.0,2437.0,,5200.0,,,2462.0,,5200.0,2417.0,2452.0,,,2412.0,,,,,2457.0,2462.0,2412.0,,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,2437.0
98.7276,-44.0,,-87.0,,,,,-58.0,-83.0,-51.0,,,,,,,,-78.0,-56.0,-59.0,,,-60.0,,,,-68.0,-57.0,-57.0,-57.0,-67.0,,-78.0,,,,,,,,,,,,,,,-75.0,2437.0,,5200.0,,,,,5200.0,2417.0,2452.0,,,,,,,,2457.0,2462.0,2412.0,,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,2437.0
102.7307,-44.0,,-91.0,,,-93.0,,-58.0,,-51.0,,,,,,,,-81.0,-52.0,-64.0,-80.0,,-56.0,,-80.0,,-66.0,-60.0,-60.0,-53.0,-66.0,,-79.0,,,,,,,,,,,,,,,-73.0,2437.0,,5200.0,,,2462.0,,5200.0,,2452.0,,,,,,,,2457.0,2462.0,2412.0,2462.0,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,2437.0
106.7382,-50.0,,,,,,,-66.0,,-53.0,,,,,,,,-86.0,-47.0,-52.0,,,-52.0,,-76.0,,-58.0,-61.0,-61.0,-50.0,-63.0,,-75.0,,,,,,,,,,,,,,,-74.0,2437.0,,,,,,,5200.0,,2452.0,,,,,,,,2457.0,2462.0,2412.0,,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,2437.0
110.7311,-48.0,,,,,,,-69.0,-74.0,-44.0,,-87.0,,,,,,-85.0,-41.0,-49.0,,,-40.0,,-76.0,,-58.0,-49.0,-50.0,-43.0,-58.0,,-73.0,,,-86.0,,,,,-87.0,,,,,,,-72.0,2437.0,,,,,,,5200.0,2417.0,2452.0,,2462.0,,,,,,2457.0,2462.0,2412.0,,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,5500.0,,,,,5500.0,,,,,,,2437.0
114.7501,-62.0,,,,,,,-76.0,,-52.0,,,-88.0,,,,,,-57.0,-57.0,,,-48.0,,,-81.0,-62.0,-61.0,-61.0,-58.0,-58.0,,-82.0,,,-84.0,-85.0,-85.0,-85.0,-85.0,-84.0,,,-89.0,-87.0,-86.0,,-58.0,2437.0,,,,,,,5200.0,,2452.0,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,,,2462.0,2462.0,2462.0,,2437.0
118.7564,,,,,,,,-80.0,-85.0,-54.0,,,,,,,,,-56.0,-62.0,,,-54.0,,-67.0,-79.0,-69.0,-65.0,-65.0,-56.0,-55.0,,-80.0,,,-84.0,-87.0,-85.0,-87.0,-85.0,-84.0,,,,,,,-60.0,,,,,,,,5200.0,2417.0,2452.0,,,,,,,,,2462.0,2412.0,,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,,,,,,,2437.0
122.7528,-63.0,,,,,,,-78.0,-81.0,-49.0,,,-83.0,,,,,,-55.0,-58.0,-92.0,,-55.0,,-66.0,-74.0,-67.0,-64.0,-64.0,-54.0,-51.0,,,,,-86.0,-85.0,-86.0,-85.0,-86.0,-84.0,,,,,,,-55.0,2437.0,,,,,,,5200.0,2417.0,2452.0,,,2412.0,,,,,,2462.0,2412.0,2462.0,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,,,,,,,2437.0
126.7392,-62.0,,,,,,,-77.0,-82.0,-46.0,,,-84.0,,,,,,-54.0,-62.0,,,-54.0,,-65.0,-78.0,-67.0,-62.0,-62.0,-54.0,-55.0,,-83.0,,,,-91.0,,-87.0,,-86.0,-91.0,,,,,,-57.0,2437.0,,,,,,,5200.0,2417.0,2452.0,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,5500.0,,5500.0,,5500.0,2437.0,,,,,,2437.0
130.7667,-62.0,,,,,,,-77.0,-81.0,-50.0,,-85.0,-84.0,,,,,,-50.0,-61.0,,,-54.0,,-69.0,-77.0,-67.0,-60.0,-59.0,-53.0,-55.0,,-85.0,,,,,,,,,,,,,,,-58.0,2437.0,,,,,,,5200.0,2417.0,2452.0,,2462.0,2412.0,,,,,,2462.0,2412.0,,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,2437.0
134.7603,,,-92.0,,,,,-75.0,-82.0,-47.0,,,,,,,,,-54.0,-61.0,,,-53.0,,-67.0,-79.0,-67.0,-59.0,-59.0,-55.0,-55.0,,,,,,,,,,,-89.0,-88.0,,,,,-59.0,,,5200.0,,,,,5200.0,2417.0,2452.0,,,,,,,,,2462.0,2412.0,,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0,2437.0,,,,,2437.0
138.7298,-71.0,,,,,,,,-85.0,-51.0,,,,,,,,-89.0,-55.0,-61.0,,,-53.0,,-66.0,-77.0,-67.0,-62.0,-62.0,-56.0,-55.0,,,,,-85.0,-84.0,-86.0,-85.0,-84.0,-89.0,,,,,,,-57.0,2437.0,,,,,,,,2417.0,2452.0,,,,,,,,2457.0,2462.0,2412.0,,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,,,,,,,2437.0
142.7355,-67.0,,,,,,,,-84.0,-51.0,,,,,,,,-89.0,-55.0,-61.0,,,-53.0,,-66.0,-74.0,-66.0,-66.0,-66.0,-56.0,-52.0,,,,,,,,,,,,,,-89.0,-91.0,,-57.0,2437.0,,,,,,,,2417.0,2452.0,,,,,,,,2457.0,2462.0,2412.0,,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,2462.0,2462.0,,2437.0
146.7527,-59.0,,,,,,,,-88.0,-55.0,,,,,,,,-89.0,-55.0,-61.0,,,-53.0,,-66.0,-73.0,-67.0,-64.0,-65.0,-56.0,-51.0,,-88.0,,-90.0,,,,,,,,,,,,,-57.0,2437.0,,,,,,,,2417.0,2452.0,,,,,,,,2457.0,2462.0,2412.0,,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,2412.0,,,,,,,,,,,,,2437.0
150.7333,-60.0,,-89.0,,,,,,-85.0,-48.0,,,,,,,,,-56.0,-56.0,-87.0,,-53.0,,-70.0,-81.0,-70.0,-57.0,-57.0,-54.0,-53.0,,-85.0,,-90.0,-87.0,,-85.0,-86.0,-85.0,-86.0,,,,,,,-65.0,2437.0,,5200.0,,,,,,2417.0,2452.0,,,,,,,,,2462.0,2412.0,2462.0,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,2412.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,2437.0
154.7442,-61.0,,,,,,,,-81.0,-52.0,,,,,,,,,-48.0,-48.0,,,-42.0,,-72.0,-78.0,-67.0,-45.0,-45.0,-49.0,-67.0,,-81.0,-90.0,,,,,,,,,,,,,,-65.0,2437.0,,,,,,,,2417.0,2452.0,,,,,,,,,2462.0,2412.0,,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,2462.0,,,,,,,,,,,,,,2437.0
158.7332,-54.0,,-88.0,,,,,-63.0,-72.0,-50.0,,,,,,,,,-54.0,-45.0,,,-41.0,,-76.0,-82.0,-63.0,-50.0,-51.0,-54.0,-76.0,,-79.0,,,,,,,,,,,,,,,-73.0,2437.0,,5200.0,,,,,5200.0,2417.0,2452.0,,,,,,,,,2462.0,2412.0,,,2427.0,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,2437.0
162.7182,-48.0,,,,,,,-58.0,,-49.0,,,-78.0,,,,,,-52.0,-52.0,,,-52.0,,-78.0,,-57.0,-54.0,-55.0,-51.0,-73.0,-82.0,-77.0,,,,,,,,,,,,,,,-73.0,2437.0,,,,,,,5200.0,,2452.0,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,2452.0,2437.0,,,,,,,,,,,,,,,2437.0
166.7698,-48.0,-84.0,-87.0,,,,,-57.0,,-52.0,,,,,,,,,-59.0,-60.0,,,-59.0,,-82.0,,-68.0,-63.0,-63.0,-58.0,-75.0,,-84.0,,,,,,,,,,,,,,-91.0,-81.0,2437.0,2437.0,5200.0,,,,,5200.0,,2452.0,,,,,,,,,2462.0,2412.0,,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,2462.0,2437.0
170.7504,-46.0,-89.0,,,,,,-55.0,,-59.0,,,-71.0,,,-84.0,,-73.0,-62.0,-64.0,,,-54.0,,-87.0,,-66.0,-69.0,-68.0,-62.0,-75.0,,-84.0,,,,,,,,,,,,,,,-83.0,2437.0,2437.0,,,,,,5200.0,,2452.0,,,2412.0,,,2412.0,,2457.0,2462.0,2412.0,,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,2437.0
