AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:02:67,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:02:67,wifi_freq_20:23:00:00:03:25
40.8757,,,,,,,,,,,,,,,,,-77.0,,-63.0,,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,2437.0,,2462.0,,,,,,,,,,,
44.8511,,,,,,,,,,,,,,,,,-76.0,,-62.0,,-85.0,-85.0,,,,,-91.0,,,,,-88.0,,,,,,,,,,,,,,,,,2437.0,,2437.0,,2462.0,2462.0,,,,,2412.0,,,,,2437.0
48.849,,,,-91.0,,,,,,,,,,,,,-74.0,,-64.0,-88.0,-86.0,-85.0,,,-93.0,,-91.0,,,,,,,,,2452.0,,,,,,,,,,,,,2437.0,,2437.0,2462.0,2462.0,2462.0,,,2412.0,,2412.0,,,,,
52.8502,,,,,,,,,,,,,,,,,-75.0,,-64.0,,,,,,,,-91.0,,,,,-90.0,,,,,,,,,,,,,,,,,2437.0,,2437.0,,,,,,,,2412.0,,,,,2437.0
56.8397,-82.0,,,,,,,,,,,,,,,,-77.0,,-68.0,,-87.0,,,,-91.0,,,,,,,,2437.0,,,,,,,,,,,,,,,,2437.0,,2437.0,,2462.0,,,,2412.0,,,,,,,
60.8598,-83.0,,,,,,,,,,,,,,,,-73.0,,-60.0,-83.0,,-82.0,,,-88.0,,,-88.0,,,,-84.0,2437.0,,,,,,,,,,,,,,,,2437.0,,2437.0,2462.0,,2462.0,,,2412.0,,,2412.0,,,,2437.0
64.8598,-83.0,,,,,,,,,,,,,,,,-73.0,,-57.0,,,,-88.0,,,,-89.0,-88.0,,,,-80.0,2437.0,,,,,,,,,,,,,,,,2437.0,,2437.0,,,,2462.0,,,,2412.0,2412.0,,,,2437.0
68.8603,-75.0,,,-80.0,,,,,,,,,,-83.0,-84.0,,-70.0,,-65.0,,,,,,-84.0,,-85.0,-86.0,,,,-76.0,2437.0,,,2452.0,,,,,,,,,,2462.0,2462.0,,2437.0,,2437.0,,,,,,2412.0,,2412.0,2412.0,,,,2437.0
72.8406,-77.0,,,-80.0,,-84.0,,,-83.0,,,,,-84.0,,-86.0,-69.0,,-62.0,,,,,,,,,,-85.0,,,-69.0,2437.0,,,2452.0,,2462.0,,,2427.0,,,,,2462.0,,2452.0,2437.0,,2437.0,,,,,,,,,,5500.0,,,2437.0
76.877,-70.0,,,-79.0,,,,,,,,-86.0,-86.0,,,,-71.0,-85.0,-76.0,,,,,-86.0,,-86.0,,,,,,-78.0,2437.0,,,2452.0,,,,,,,,5200.0,5200.0,,,,2437.0,2462.0,2437.0,,,,,2462.0,,2462.0,,,,,,2437.0
80.8499,-67.0,,,-79.0,,-81.0,,,-81.0,,,,,,,,-78.0,,-80.0,,,-80.0,-79.0,,,-82.0,,,,,,-74.0,2437.0,,,2452.0,,2462.0,,,2427.0,,,,,,,,2437.0,,2437.0,,,2462.0,2462.0,,,2462.0,,,,,,2437.0
84.8587,-64.0,,,-72.0,,,,-80.0,-74.0,,,,,,,,-82.0,,,-83.0,-77.0,-77.0,-79.0,,,,,,,,,-67.0,2437.0,,,2452.0,,,,2462.0,2427.0,,,,,,,,2437.0,,,2462.0,2462.0,2462.0,2462.0,,,,,,,,,2437.0
88.8754,-68.0,,,-73.0,,,,-75.0,-71.0,,,,,,-79.0,,,,,-77.0,-74.0,-74.0,-79.0,,,,,,,,,-62.0,2437.0,,,2452.0,,,,2462.0,2427.0,,,,,,2462.0,,,,,2462.0,2462.0,2462.0,2462.0,,,,,,,,,2437.0
92.8407,-66.0,-77.0,,-69.0,,,-75.0,-78.0,-67.0,,-76.0,,,-79.0,-72.0,,,,,,,,,,,,,,,,,-65.0,2437.0,5200.0,,2452.0,,,2412.0,2462.0,2427.0,,2437.0,,,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
96.8478,-63.0,,,-70.0,,-73.0,-75.0,-78.0,-70.0,,-77.0,,,,-72.0,,-78.0,,,,,,,,,,,,,,,-49.0,2437.0,,,2452.0,,2462.0,2412.0,2462.0,2427.0,,2437.0,,,,2462.0,,2437.0,,,,,,,,,,,,,,,2437.0
100.8859,-64.0,,,-63.0,,-78.0,-75.0,,-65.0,,-77.0,-79.0,,-77.0,-75.0,,,,,,,,,,,,,,,,,-44.0,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,,2437.0,5200.0,,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
104.8685,,,,-56.0,,-69.0,,,-66.0,-75.0,-69.0,-75.0,-75.0,-70.0,-74.0,,,,,,,,,,,,,,,,,-54.0,,,,2452.0,,2462.0,,,2427.0,2437.0,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
108.857,-69.0,,,-58.0,,-61.0,-66.0,,-61.0,,-65.0,-71.0,,-63.0,-63.0,,,,,,,,,,,,,,,,,-62.0,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,,2437.0,5200.0,,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
112.873,-65.0,,,-50.0,,-57.0,-60.0,,-61.0,,-64.0,-65.0,,-58.0,-55.0,,,,,,,,,,,,,,,,,-65.0,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,,2437.0,5200.0,,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
116.843,,,,-50.0,,-57.0,-63.0,,-57.0,,-63.0,-61.0,-60.0,-58.0,-59.0,,,,,,,,,,,,,,,,,-63.0,,,,2452.0,,2462.0,2412.0,,2427.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
120.8633,,,,-55.0,,-56.0,-58.0,,-61.0,,-65.0,-61.0,-61.0,-55.0,-57.0,,,,,,,,,,,,,,,,,-59.0,,,,2452.0,,2462.0,2412.0,,2427.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
124.8445,-62.0,,,-57.0,,-53.0,-61.0,,-58.0,,,-61.0,-61.0,-55.0,-55.0,,,,,,,,,,,,,,,,,-61.0,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
128.8898,-66.0,,,-54.0,,-55.0,-61.0,,-58.0,,-64.0,-66.0,,-57.0,-61.0,,,,,,,,,,,,,,,,,-63.0,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,,2437.0,5200.0,,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
132.8421,-62.0,,,-50.0,,-55.0,-60.0,,-61.0,,-63.0,-66.0,,-55.0,-61.0,,,,,,,,,,,,,,,,,-63.0,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,,2437.0,5200.0,,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
136.8406,-64.0,,,-49.0,,-53.0,-62.0,,-57.0,,,-66.0,-66.0,-54.0,-60.0,,,,,,,,,,,,,,,,,-68.0,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
140.8556,-63.0,,,-49.0,,-57.0,-62.0,,-55.0,-68.0,,-62.0,-62.0,-54.0,-63.0,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,2437.0,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
144.8385,-58.0,,,-51.0,,-59.0,-58.0,,-55.0,,,-63.0,-63.0,-58.0,-61.0,,,,,,,,,,,,,,,,,-65.0,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
148.8841,-62.0,,,-55.0,,-66.0,-68.0,,-59.0,-72.0,-69.0,-73.0,,,-66.0,,,,,,,,,,,,,,,,,-57.0,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,2437.0,2437.0,5200.0,,,2462.0,,,,,,,,,,,,,,,,,2437.0
152.8442,-60.0,,,-59.0,,-66.0,,-76.0,-58.0,-76.0,-68.0,,,-66.0,-75.0,,,,,,,,,,,,,,,,,-54.0,2437.0,,,2452.0,,2462.0,,2462.0,2427.0,2437.0,2437.0,,,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
156.8931,-63.0,-74.0,,-65.0,,-68.0,-77.0,,-64.0,,-76.0,-79.0,,-69.0,,,,,,,,,,,,,,,,,,-47.0,2437.0,5200.0,,2452.0,,2462.0,2412.0,,2427.0,,2437.0,5200.0,,2462.0,,,,,,,,,,,,,,,,,,2437.0
160.8643,-69.0,-78.0,,-68.0,,-77.0,-78.0,,-67.0,,-75.0,,,-77.0,-74.0,,,,,,,,,,,,,,,,,-53.0,2437.0,5200.0,,2452.0,,2462.0,2412.0,,2427.0,,2437.0,,,2462.0,2462.0,,,,,,,,,,,,,,,,,2437.0
164.8606,-64.0,-75.0,,-73.0,,-74.0,,,-72.0,,-77.0,,,-78.0,-82.0,,-77.0,,,,,,,,,,,,,,,-57.0,2437.0,5200.0,,2452.0,,2462.0,,,2427.0,,2437.0,,,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,2437.0
168.8649,-61.0,-79.0,,-81.0,,,,-78.0,-80.0,,-80.0,,,,-83.0,,-81.0,,,,,,-83.0,,,,,,,,,-66.0,2437.0,5200.0,,2452.0,,,,2462.0,2427.0,,2437.0,,,,2462.0,,2437.0,,,,,,2462.0,,,,,,,,,2437.0
172.8663,-68.0,-77.0,,-78.0,,,,-74.0,-80.0,,,,,,-80.0,,-77.0,,,-79.0,,-79.0,,,,,,,,,,-72.0,2437.0,5200.0,,2452.0,,,,2462.0,2427.0,,,,,,2462.0,,2437.0,,,2462.0,,2462.0,,,,,,,,,,2437.0
176.8516,-73.0,-81.0,,-78.0,,,,,,,,,,,-82.0,,-81.0,,-80.0,-76.0,-75.0,-75.0,,,,,,,,,,-71.0,2437.0,5200.0,,2452.0,,,,,,,,,,,2462.0,,2437.0,,2437.0,2462.0,2462.0,2462.0,,,,,,,,,,2437.0
180.8746,-76.0,-85.0,,,-85.0,,,-80.0,,,,,,-85.0,,-85.0,-73.0,,-79.0,,,,,,,,,,-84.0,,,-78.0,2437.0,5200.0,,,2462.0,,,2462.0,,,,,,2462.0,,2452.0,2437.0,,2437.0,,,,,,,,,,5500.0,,,2437.0
184.8521,-77.0,-85.0,-90.0,,,,,,,,-83.0,,,,,-85.0,-76.0,,-70.0,,,,,,,,,,,,,-82.0,2437.0,5200.0,2417.0,,,,,,,,2437.0,,,,,2452.0,2437.0,,2437.0,,,,,,,,,,,,,2437.0
188.8844,-79.0,,,-87.0,,,,-89.0,,,,,,,,,-71.0,,-63.0,,-88.0,-89.0,,,,-91.0,-88.0,,,,,-77.0,2437.0,,,2452.0,,,,2462.0,,,,,,,,,2437.0,,2437.0,,2462.0,2462.0,,,,2462.0,2412.0,,,,,2437.0
