AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06,wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25,Latitude_degrees,Longitude_degrees,floor_ID
0.197,19029.9283,-3.93619,9.12698,7.66168,0.09771,-0.85246,1.28294,23.6,-23.6,-15.5,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.2203,19029.9483,-2.3847,9.81174,7.07269,0.45813,-0.99846,1.17237,23.6,-23.5,-13.9,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.2303,19029.9683,-2.11414,9.93863,7.04635,0.52532,-0.52137,0.66902,22.5,-23.8,-15.2,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.2557,19029.9883,-3.19875,9.83329,7.34563,0.46912,-0.28741,0.19071,22.7,-23.9,-15.3,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.2728,19030.0083,-4.1397,9.22754,8.05434,0.41598,-0.18967,-0.1245,22.8,-23.9,-14.1,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.2927,19030.0283,-5.08065,7.74548,10.04398,0.45568,1.44989,-0.07929,22.4,-23.7,-14.6,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.3126,19030.0483,-5.33923,7.41507,9.75906,1.04272,1.38819,0.20048,22.9,-23.9,-14.3,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.3309,19030.0683,-4.4749,6.44539,8.05913,1.75682,1.25441,0.42528,23.1,-23.7,-14.8,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.3518,19030.0882,-4.42462,5.83006,5.79415,1.97307,0.81031,0.56517,22.8,-23.8,-14.8,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.3738,19030.1082,-3.24185,5.21234,4.46053,1.69818,0.62644,0.81379,22.6,-23.9,-14.7,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.3947,19030.1282,-1.51079,4.56349,4.52518,1.22904,0.86651,1.10334,22.2,-24.4,-13.9,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.4119,19030.1482,-0.00958,3.86436,4.18519,0.78799,1.39491,1.19497,21.4,-25.3,-12.7,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.4299,19030.1682,0.39745,2.842,3.48846,0.29014,2.23913,1.04042,20.9,-26.1,-9.4,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.4512,19030.1882,0.05986,2.15964,2.41822,-0.17229,3.1316,0.97995,20.2,-26.4,-9.5,-110.0,-110.0,-110.0,-93.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.4742,19030.2082,0.0,2.05189,3.01918,-0.62433,3.5305,1.24201,20.0,-27.0,-7.9,-110.0,-110.0,-110.0,-93.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.4956,19030.2282,1.40065,2.65046,5.12375,-0.94442,3.06074,1.8486,19.4,-27.7,-6.5,-110.0,-110.0,-110.0,-93.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
