AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:67,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:76,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:87,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:02:09,wifi_rssi_20:23:00:00:02:11,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:03:22,wifi_rssi_20:23:00:00:03:38,wifi_rssi_20:23:00:00:03:39,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:67,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:76,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:87,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:02:09,wifi_freq_20:23:00:00:02:11,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:03:22,wifi_freq_20:23:00:00:03:38,wifi_freq_20:23:00:00:03:39
43.9378,-69.0,-80.0,-62.0,-55.0,,-83.0,-59.0,-65.0,,-57.0,-65.0,-69.0,-46.0,-65.0,-65.0,-65.0,-75.0,,-59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.9518,-70.0,-80.0,-64.0,-59.0,,,-57.0,-61.0,,-59.0,-61.0,-69.0,-47.0,-64.0,-64.0,-60.0,-79.0,,-59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.9251,-66.0,-84.0,-61.0,-58.0,,-82.0,-61.0,-69.0,,-60.0,-68.0,-71.0,-43.0,,,-61.0,-79.0,,-59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.973,-64.0,,-64.0,-54.0,-89.0,-84.0,-61.0,-66.0,,-56.0,-64.0,-71.0,-44.0,-73.0,-73.0,-61.0,-77.0,,-59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,2412.0,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.961,,,-61.0,-58.0,,-85.0,-63.0,-63.0,,-56.0,-63.0,-71.0,-44.0,-75.0,-75.0,-62.0,-76.0,,-58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.9629,-64.0,,,-63.0,,-86.0,-63.0,-63.0,,-57.0,-64.0,-69.0,-48.0,-72.0,-73.0,-63.0,-79.0,,-59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.9386,-68.0,,-63.0,-61.0,,,-66.0,-67.0,,-59.0,-64.0,-69.0,-44.0,-68.0,-69.0,-67.0,-79.0,,-61.0,,-86.0,-87.0,-87.0,-92.0,-89.0,,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,5500.0,5500.0,5500.0,5500.0,5500.0,,2412.0,,,,,,,,,,,,,,,,,,,,,,,,
71.9504,-58.0,-73.0,-68.0,-66.0,,-87.0,-68.0,-66.0,,-60.0,-66.0,-75.0,-44.0,-72.0,-73.0,-69.0,-84.0,,-53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.946,-58.0,-71.0,-64.0,-72.0,,-85.0,-68.0,-70.0,,-68.0,-66.0,-79.0,-48.0,-75.0,-74.0,,,,-54.0,,,,,,,,,,,,,,-83.0,,,,-82.0,-82.0,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,,2437.0,,,,,,,,,,,,,,2462.0,,,,2462.0,2462.0,,,,,,,,,,,,,
79.9537,-56.0,-67.0,-64.0,-62.0,,-85.0,-62.0,-72.0,,-62.0,-64.0,-71.0,-44.0,-79.0,-79.0,-64.0,-83.0,,-57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.9511,-53.0,-64.0,-73.0,-77.0,,-84.0,-74.0,-74.0,-82.0,-70.0,-72.0,-76.0,-50.0,-82.0,-83.0,-73.0,-88.0,,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.9597,-52.0,-60.0,,-80.0,,-79.0,,-83.0,-84.0,-74.0,-79.0,-83.0,-61.0,-85.0,-84.0,,,,-65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,2457.0,,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.9236,-49.0,-60.0,,-78.0,,-79.0,-79.0,-86.0,-78.0,-74.0,-86.0,,-57.0,,,-81.0,,,-65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,2457.0,2462.0,2412.0,2462.0,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.953,-45.0,-61.0,-74.0,-81.0,,-81.0,,-82.0,-80.0,-67.0,-77.0,,-56.0,-91.0,-87.0,-78.0,-90.0,-91.0,-63.0,,,,,,,,,,,,,,-89.0,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,,2412.0,2462.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,2452.0,2437.0,,,,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,
99.9605,-53.0,-57.0,-78.0,-73.0,,-81.0,,-82.0,-82.0,-76.0,-75.0,-86.0,-57.0,-87.0,-86.0,-75.0,,-88.0,-55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.9469,-59.0,-64.0,-72.0,-71.0,,,-71.0,-77.0,,-67.0,-75.0,-78.0,-53.0,-84.0,-84.0,-74.0,-88.0,,-47.0,,,,,,,,,,,,,,,,,,,-83.0,,,,,,,,,-91.0,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,2462.0,,,,,,,,,2442.0,,,,
107.9451,-60.0,-73.0,,-76.0,,,-75.0,-77.0,,-65.0,-75.0,-76.0,-51.0,-85.0,-84.0,-75.0,-91.0,,-50.0,,,,,,,,,,,,-93.0,,-81.0,-90.0,,,,-82.0,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,2437.0,,2462.0,5500.0,,,,2462.0,,,,,,,,,,,,,
111.9531,-58.0,-70.0,-64.0,-74.0,,,-70.0,-76.0,,-66.0,-71.0,-71.0,-57.0,-84.0,-84.0,,,,-53.0,,,,,,,,,,,,,,-81.0,-83.0,,,-83.0,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,,2437.0,,,,,,,,,,,,,,2462.0,5500.0,,,2462.0,,,,,,,,,,,,,,
115.9516,-62.0,-76.0,-78.0,-82.0,,,-76.0,-81.0,,-74.0,-75.0,-78.0,-54.0,,-90.0,-79.0,-86.0,,-61.0,,,,,,,-87.0,,,,,,,-75.0,-86.0,,,-75.0,-72.0,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2462.0,,2437.0,,,,,,,5500.0,,,,,,,2462.0,5500.0,,,2462.0,2462.0,,,,,,,,,,,,,
119.9221,-67.0,-78.0,-79.0,-81.0,,,-77.0,,,-75.0,-72.0,-77.0,-65.0,,,,,,-65.0,-91.0,-83.0,-84.0,-83.0,-84.0,-83.0,-85.0,,,,,,,-78.0,-81.0,,,-78.0,-77.0,,,-85.0,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,,,,2437.0,2462.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,,,,,,,2462.0,5500.0,,,2462.0,2462.0,,,5540.0,,,,,,,,,,
123.9529,-68.0,,,-81.0,,,-77.0,-85.0,,-74.0,-68.0,-80.0,-63.0,,,-76.0,-89.0,,-66.0,,,,,,,,,-85.0,,,,-85.0,-75.0,-84.0,,,-74.0,-74.0,-79.0,-89.0,-85.0,-90.0,-87.0,,,,,,,-91.0,,2437.0,,,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,,2437.0,,,,,,,,,2462.0,,,,2412.0,2462.0,5500.0,,,2462.0,2462.0,2412.0,2462.0,5540.0,2462.0,2462.0,,,,,,,2412.0,
127.9563,-65.0,,-85.0,-77.0,,-94.0,-78.0,,,-75.0,-70.0,-82.0,-67.0,-92.0,,,,,-63.0,,,,,,,,-91.0,-85.0,,,,,-80.0,,,,-78.0,,,,,,,,-90.0,,,-92.0,,,-92.0,2437.0,,2417.0,2452.0,,2457.0,2462.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,,,,,2437.0,,,,,,,,2412.0,2462.0,,,,,2462.0,,,,2462.0,,,,,,,,2412.0,,,5500.0,,,2412.0
131.9598,-62.0,,-74.0,-70.0,,,-76.0,-77.0,,-72.0,-69.0,-78.0,-54.0,-81.0,-80.0,-71.0,-86.0,,-61.0,,,,,,,,,,,,,,-83.0,-86.0,,,-83.0,-83.0,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,2462.0,5500.0,,,2462.0,2462.0,,,,,,,,,,,,,
135.5082,-61.0,-71.0,-62.0,-66.0,,,-63.0,-74.0,,-59.0,-69.0,-74.0,-46.0,-80.0,-78.0,-63.0,-80.0,,-57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.947,-60.0,-69.0,-55.0,-70.0,,,-67.0,-74.0,-89.0,-64.0,-69.0,-78.0,-46.0,-80.0,-78.0,-67.0,,,-54.0,,,,,,,,,,,,,,-83.0,,-92.0,,-83.0,,,,,,,,,,,-85.0,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,2462.0,,2412.0,,2462.0,,,,,,,,,,,5500.0,,,
143.9292,-60.0,-66.0,-59.0,-70.0,,-89.0,-68.0,-71.0,,-62.0,-67.0,-76.0,-47.0,-78.0,-78.0,-70.0,-83.0,,-51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83.0,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,,,
147.9476,-59.0,-67.0,-64.0,-69.0,,,-70.0,-71.0,-92.0,-67.0,-65.0,-73.0,-53.0,-83.0,-82.0,-71.0,,,-52.0,,,,,,,,,,-93.0,,,,,-86.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,2412.0,,,,,5500.0,,,,,,,,,,,,,,,,,
151.9646,-56.0,-69.0,-64.0,-65.0,,-89.0,-67.0,-74.0,,-67.0,-69.0,-74.0,-51.0,-82.0,-82.0,-68.0,,,-54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155.9191,-58.0,-65.0,-64.0,-73.0,,,-66.0,-73.0,-91.0,-65.0,-65.0,-74.0,-51.0,-82.0,-82.0,-67.0,-80.0,,-53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.0,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,,,
159.9506,-57.0,-65.0,-68.0,-73.0,,,-66.0,,,-62.0,-69.0,-76.0,-51.0,-81.0,-82.0,-66.0,,,-55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-92.0,-83.0,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442.0,5500.0,,,
163.9465,-57.0,-67.0,-66.0,-73.0,,,-70.0,-75.0,,-65.0,-69.0,-75.0,-51.0,-79.0,-78.0,-70.0,-82.0,,-56.0,,,,,,,,,,,,,,-83.0,,,,,,,,,,,,,,-91.0,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,2462.0,,,,,,,,,,,,,,2442.0,,,,
