AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:03:25
42.2901,,,-51.0,,-54.0,-61.0,-53.0,,,,,,-55.0,-50.0,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,,,,,,2462.0,2462.0,,,,,,,,
46.3057,,,-51.0,,-55.0,,-53.0,,,,,,-56.0,-50.0,,,,,,,,-60.0,,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,2437.0
50.3177,,,-51.0,,-55.0,-62.0,-55.0,,,,,,-55.0,-59.0,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,,,,,,2462.0,2462.0,,,,,,,,
54.3123,,,-48.0,,-55.0,,-57.0,,,,,,-57.0,-53.0,,,,,,,,-63.0,,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,2437.0
58.2927,,,-45.0,,-52.0,-62.0,-57.0,,,,,,-55.0,-52.0,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,,,,,,2462.0,2462.0,,,,,,,,
62.3234,,,-45.0,,-52.0,-61.0,-57.0,,,,,,-55.0,-52.0,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,,,,,,2462.0,2462.0,,,,,,,,
66.307,,,-45.0,,-50.0,-62.0,-57.0,,,,,,-54.0,-52.0,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,,,,,,2462.0,2462.0,,,,,,,,
70.3453,,,-47.0,,-55.0,-61.0,-57.0,,,,,,-54.0,-52.0,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,,,,,,2462.0,2462.0,,,,,,,,
74.3158,,,-47.0,,-53.0,,-56.0,,,,,,-54.0,-52.0,,,,,,,,-61.0,,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,2437.0
78.3241,-63.0,,-47.0,,-61.0,,-56.0,,,,,,-59.0,-55.0,,,,,,,,,2437.0,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,
82.3336,,,-58.0,,-63.0,,-61.0,-62.0,,,,,-63.0,-55.0,,,,,,,,,,,2452.0,,2462.0,,2427.0,2437.0,,,,,2462.0,2462.0,,,,,,,,
86.3259,,,-60.0,,,-68.0,-67.0,-62.0,-66.0,,,,,-53.0,,,,,,,,,,,2452.0,,,2412.0,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,
90.3038,,,-61.0,,-72.0,,-65.0,-62.0,,,,,-72.0,-57.0,,,,,,,,,,,2452.0,,2462.0,,2427.0,2437.0,,,,,2462.0,2462.0,,,,,,,,
94.3315,,,-65.0,,,,-71.0,-64.0,-65.0,,,,,-63.0,,,,,,,,-71.0,,,2452.0,,,,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,2437.0
98.3304,,,-66.0,,-75.0,,,-64.0,-69.0,,,,-74.0,-67.0,,,,,,,,,,,2452.0,,2462.0,,,2437.0,2422.0,,,,2462.0,2462.0,,,,,,,,
102.2951,,-71.0,-73.0,,,,-75.0,-69.0,-66.0,,,,,-69.0,,,,,,,,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,
106.2858,,-68.0,-77.0,,,,,-71.0,-66.0,,,,-76.0,-73.0,,,,,,,,,,2417.0,2452.0,,,,,2437.0,2422.0,,,,2462.0,2462.0,,,,,,,,
110.3002,,-65.0,-78.0,,,,,-76.0,-67.0,,,,,-73.0,,,-78.0,,,,,,,2417.0,2452.0,,,,,2437.0,2422.0,,,,,2462.0,,,2437.0,,,,,
114.303,,-65.0,-79.0,,,,,,-77.0,,,,,-73.0,,,-80.0,,,-76.0,,,,2417.0,2452.0,,,,,,2422.0,,,,,2462.0,,,2437.0,,,2462.0,,
118.3006,,-67.0,,,,,,,-77.0,,,,,-73.0,,,-76.0,-76.0,,-76.0,,,,2417.0,,,,,,,2422.0,,,,,2462.0,,,2437.0,2437.0,,2462.0,,
122.3021,,-72.0,,,,,,,,,,,,-73.0,,-76.0,-77.0,,-75.0,,-77.0,,,2417.0,,,,,,,,,,,,2462.0,,2437.0,2437.0,,2412.0,,5520.0,
126.3099,,-60.0,,-77.0,,,-75.0,,,-74.0,,,,,-75.0,,,-76.0,,,,,,2417.0,,2412.0,,,2427.0,,,2437.0,,,,,2412.0,,,2437.0,,,,
130.3008,,-60.0,-76.0,,,,-71.0,,,,,,,,,-73.0,-75.0,-73.0,,,,,,2417.0,2452.0,,,,2427.0,,,,,,,,,2437.0,2437.0,2437.0,,,,
134.2963,,,-77.0,,-79.0,,,,,,,,,,,-75.0,-77.0,-76.0,-79.0,,,,,,2452.0,,2462.0,,,,,,,,,,,2437.0,2437.0,2437.0,2412.0,,,
138.299,-71.0,-67.0,-82.0,,-80.0,,,,,,,,-80.0,,,,-82.0,,,,,,2437.0,2417.0,2452.0,,2462.0,,,,,,,,2462.0,,,,2437.0,,,,,
142.3041,-73.0,-63.0,,,-76.0,,-77.0,,,-79.0,,,-76.0,,,,,,,,,,2437.0,2417.0,,,2462.0,,2427.0,,,2437.0,,,2462.0,,,,,,,,,
146.3467,-73.0,-62.0,-76.0,,-77.0,,-77.0,,,,,,-78.0,,,,,,,,,,2437.0,2417.0,2452.0,,2462.0,,2427.0,,,,,,2462.0,,,,,,,,,
150.2996,-74.0,-60.0,-78.0,,-74.0,,,,,-78.0,,,-76.0,,,,,,,,,,2437.0,2417.0,2452.0,,2462.0,,,,,2437.0,,,2462.0,,,,,,,,,
154.2965,-74.0,-65.0,,,,,,,-83.0,-77.0,,,-76.0,,-82.0,,,,,,,,2437.0,2417.0,,,,,,,2422.0,2437.0,,,2462.0,,2412.0,,,,,,,
158.2813,-73.0,-66.0,-80.0,,,,,,-81.0,-77.0,,,-77.0,,,,,,,,,,2437.0,2417.0,2452.0,,,,,,2422.0,2437.0,,,2462.0,,,,,,,,,
162.3195,-77.0,-65.0,-76.0,,-79.0,,,,,-75.0,,,-79.0,,,,,,,,,,2437.0,2417.0,2452.0,,2462.0,,,,,2437.0,,,2462.0,,,,,,,,,
166.324,-79.0,,,,-76.0,,-80.0,-80.0,,-78.0,,,,,,,-80.0,,,,,,2437.0,,,,2462.0,,2427.0,2437.0,,2437.0,,,,,,,2437.0,,,,,
170.3611,,,-70.0,-78.0,,-76.0,-74.0,,,-74.0,,,-77.0,,,,,,,,,,,,2452.0,2412.0,,2412.0,2427.0,,,2437.0,,,2462.0,,,,,,,,,
174.3072,,-64.0,-74.0,,-74.0,,,,,,,,-75.0,,,-77.0,,-75.0,,,,,,2417.0,2452.0,,2462.0,,,,,,,,2462.0,,,2437.0,,2437.0,,,,
178.3034,,-67.0,-78.0,,,,,,,,,,,,,-74.0,-78.0,-77.0,,-77.0,,,,2417.0,2452.0,,,,,,,,,,,,,2437.0,2437.0,2437.0,,2462.0,,
182.3104,,-68.0,-70.0,,,,-77.0,,,,,,,-70.0,,-78.0,,,,-76.0,,,,2417.0,2452.0,,,,2427.0,,,,,,,2462.0,,2437.0,,,,2462.0,,
186.2964,,-68.0,-71.0,,,,-77.0,-77.0,-75.0,,,,,-66.0,,,,,,,,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,
190.3102,,-61.0,-71.0,,,,,-74.0,-77.0,,,,,-70.0,,,,,,-78.0,,,,2417.0,2452.0,,,,,2437.0,2422.0,,,,,2462.0,,,,,,2462.0,,
194.2969,,-65.0,-68.0,,,,-75.0,-74.0,-70.0,,,,,-62.0,,,,,,,,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,
198.2819,,,-68.0,,,-71.0,-69.0,-66.0,-66.0,,,,,-59.0,,,,,,,,,,,2452.0,,,2412.0,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,
202.3015,,,-68.0,,-69.0,,-67.0,,-66.0,,,,-69.0,-64.0,,,,,,,,,,,2452.0,,2462.0,,2427.0,,2422.0,,,,2462.0,2462.0,,,,,,,,
206.2977,,,-64.0,,,,-68.0,-64.0,-67.0,,,,,-65.0,,,,,,,,-66.0,,,2452.0,,,,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,2437.0
210.3254,,,-59.0,,,-62.0,-64.0,-64.0,,,,,,-62.0,,,,,,,,-63.0,,,2452.0,,,2412.0,2427.0,2437.0,,,,,,2462.0,,,,,,,,2437.0
214.3148,,,-51.0,,-57.0,-58.0,-59.0,,,,,,,-51.0,,,,,,,,-59.0,,,2452.0,,2462.0,2412.0,2427.0,,,,,,,2462.0,,,,,,,,2437.0
218.3481,-61.0,,-51.0,,-57.0,,-51.0,,,,,,-59.0,-57.0,,,,,,,,,2437.0,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,
