AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:28,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:72,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:28,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:72,wifi_freq_20:23:00:00:03:25
21.0994,-69.0,,,-52.0,,-71.0,-72.0,-67.0,-74.0,,,-65.0,-65.0,-72.0,-68.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
23.1517,-69.0,,,-55.0,,-67.0,,-65.0,-75.0,,-68.0,-64.0,-64.0,-68.0,-68.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
25.1039,-65.0,,,-57.0,,-62.0,,-67.0,,,-74.0,-62.0,-62.0,-65.0,-65.0,,,,,,,,,,,,,,,,,,-63.0,2437.0,,,2452.0,,2462.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
27.0582,,,,-55.0,,-71.0,-66.0,-57.0,-72.0,,,-64.0,-64.0,-71.0,-66.0,,,,,,,,,,,,,,,,,,-71.0,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
29.0832,-73.0,,,-56.0,,-68.0,-66.0,-66.0,-72.0,,-70.0,-63.0,-63.0,,-66.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,,2462.0,,,,,,,,,,,,,,,,,,
31.1,,,,-58.0,,-65.0,-72.0,-68.0,-73.0,,,-62.0,-62.0,-63.0,-64.0,,,,,,,,,,,,,,,,,,-68.0,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
33.1119,-74.0,,,-53.0,,-65.0,-71.0,-62.0,,,-73.0,-64.0,-65.0,-65.0,-61.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
35.0931,-72.0,,,-53.0,,-68.0,-69.0,-60.0,-72.0,,,-60.0,-61.0,-69.0,-67.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
37.0956,,,,-54.0,,-60.0,-70.0,-61.0,-70.0,,-73.0,-66.0,-66.0,-60.0,-67.0,,,,,,,,,,,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
39.0729,-64.0,,,-54.0,,-63.0,-71.0,-61.0,-72.0,,,-66.0,-65.0,-63.0,-68.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
41.0973,-64.0,,,-54.0,,-60.0,-67.0,-62.0,-72.0,,,-64.0,-65.0,-65.0,-68.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
43.0786,-72.0,,,-54.0,,-64.0,-69.0,-60.0,-70.0,,,-66.0,-66.0,-65.0,-68.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
45.0823,-72.0,,,-55.0,,-69.0,,-61.0,-72.0,,-73.0,-64.0,-65.0,-69.0,-68.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
47.124,,,,-54.0,,-66.0,-70.0,-63.0,-74.0,,,-66.0,-66.0,-68.0,-70.0,,,,,,,,,,,,,,,,,,-73.0,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
49.0849,-72.0,,,-54.0,,-68.0,,-62.0,-74.0,,,-62.0,-62.0,-68.0,-67.0,,,,,,,,,,,,,,,,,,-71.0,2437.0,,,2452.0,,2462.0,,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
51.0652,,,,-54.0,,-72.0,,-59.0,-75.0,,-75.0,-61.0,-61.0,-65.0,-64.0,,,,,,,,,,,,,,,,,,-73.0,,,,2452.0,,2462.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
53.122,-71.0,,,-53.0,,-68.0,-74.0,-57.0,,,,-62.0,-62.0,-69.0,-67.0,,,,,,,,,,,,,,,,,,-73.0,2437.0,,,2452.0,,2462.0,2412.0,2427.0,,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
55.0654,,,,-54.0,,-72.0,-70.0,-62.0,-73.0,,-71.0,-64.0,-64.0,-72.0,-68.0,,,,,,,,,,,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
57.1042,,,,-57.0,,-72.0,-72.0,-59.0,-73.0,,,-63.0,-63.0,-72.0,-68.0,,,,,,,,,,,,,,,,,,-72.0,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
59.0386,-72.0,,,-57.0,,-73.0,,-59.0,-72.0,,,-62.0,-63.0,-72.0,-64.0,,,,,,,,,,,,,,,,,,-73.0,2437.0,,,2452.0,,2462.0,,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
61.0828,-73.0,,,-58.0,,-72.0,-72.0,-57.0,-74.0,,,-62.0,-62.0,-73.0,-65.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
63.1151,-75.0,,,-52.0,,-69.0,,-62.0,,,-72.0,-61.0,-61.0,-70.0,-62.0,,,,,,,,,,,,,,,,,,-65.0,2437.0,,,2452.0,,2462.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
65.069,,,,-57.0,,-64.0,-76.0,-64.0,-71.0,,,-62.0,-61.0,-62.0,-69.0,,,,,,,,,,,,,,,,,,-70.0,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
67.091,-79.0,,,-64.0,,-80.0,-78.0,-66.0,-65.0,,,-62.0,-62.0,-79.0,-55.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
69.1187,,,,-59.0,,-71.0,-72.0,-72.0,-68.0,-78.0,,-69.0,-69.0,-71.0,-67.0,,,,,,,,,,,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
71.1075,,,,-73.0,,-80.0,,-72.0,-65.0,-72.0,,-77.0,-77.0,-81.0,-62.0,,,,,,,,,,,,,,,,,,-78.0,,,,2452.0,,2462.0,,2427.0,2437.0,2422.0,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
73.0441,,,,-73.0,,-78.0,,-71.0,-63.0,-72.0,-83.0,-73.0,-73.0,-75.0,-74.0,,,,,,,,,,,,,,,,,,,,,,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
75.109,,,,-73.0,,-78.0,,-74.0,-67.0,-70.0,-80.0,-73.0,-73.0,-77.0,-78.0,,,,,,,,,,,,,,,,,,,,,,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
77.0532,,,,-77.0,,-77.0,,-82.0,-67.0,-66.0,,-79.0,-78.0,-80.0,-74.0,,,,,,,,-69.0,,,,,,,,,,,,,,2452.0,,2462.0,,2427.0,2437.0,2422.0,,5220.0,5220.0,2462.0,2462.0,,,,,,,,2437.0,,,,,,,,,,
79.1315,-85.0,,-74.0,,,,,-77.0,-67.0,-72.0,-82.0,-78.0,-79.0,-85.0,-67.0,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,,,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
81.1278,,,-78.0,-79.0,,-84.0,,-76.0,-70.0,-72.0,,-83.0,,,-71.0,-86.0,,,,,,,,,,,,,,,,,-80.0,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,,5220.0,,,2462.0,2437.0,,,,,,,,,,,,,,,,,2437.0
83.0923,-89.0,,,-77.0,,-81.0,,-80.0,-70.0,-71.0,,,,-83.0,-77.0,,-86.0,,,,,,,,,,,,,,,,-86.0,2437.0,,,2452.0,,2462.0,,2427.0,2437.0,2422.0,,,,2462.0,2462.0,,2462.0,,,,,,,,,,,,,,,,2437.0
85.0902,,,-75.0,-87.0,,-84.0,-90.0,-87.0,-72.0,-70.0,,-86.0,,,-81.0,,-88.0,,,,,,,,,,,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,,5220.0,,,2462.0,,2462.0,,,,,,,,,,,,,,,,
87.0738,,,-76.0,-84.0,,,,-85.0,-77.0,-78.0,,,-84.0,-85.0,-84.0,,-85.0,,,,,,,,,,,,,,,,-84.0,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,,,5220.0,2462.0,2462.0,,2462.0,,,,,,,,,,,,,,,,2437.0
89.1245,-87.0,,-79.0,-84.0,,,,,-76.0,-73.0,,-87.0,,,-82.0,,,,,,,-87.0,-87.0,,,,,,,,,,-87.0,2437.0,,2417.0,2452.0,,,,,2437.0,2422.0,,5220.0,,,2462.0,,,,,,,2437.0,2437.0,,,,,,,,,,2437.0
91.1056,-85.0,,,,,,,-87.0,-78.0,-74.0,,-86.0,-88.0,,-76.0,,,,,,-83.0,-89.0,-89.0,,,,,,,,,,,2437.0,,,,,,,2427.0,2437.0,2422.0,,5220.0,5220.0,,2462.0,,,,,,2437.0,2437.0,2437.0,,,,,,,,,,
93.2212,,,-64.0,-84.0,-89.0,,,,-83.0,-84.0,,-87.0,-87.0,,-87.0,,,,,,,-89.0,,,,,,,,,,,-86.0,,,2417.0,2452.0,2412.0,,,,2437.0,2422.0,,5220.0,5220.0,,2462.0,,,,,,,2437.0,,,,,,,,,,,2437.0
95.2439,,,-64.0,-87.0,,-88.0,,,,-77.0,,-87.0,-86.0,,-80.0,,-87.0,,,,-82.0,,-83.0,,,,,,,,,,,,,2417.0,2452.0,,2462.0,,,,2422.0,,5220.0,5220.0,,2462.0,,2462.0,,,,2437.0,,2437.0,,,,,,,,,,
97.2239,,,-75.0,-85.0,,,-88.0,,,-82.0,,,-88.0,,-86.0,,,,,,,-86.0,-82.0,,,-85.0,-87.0,,,,,,,,,2417.0,2452.0,,,2412.0,,,2422.0,,,5220.0,,2462.0,,,,,,,2437.0,2437.0,,,5520.0,5520.0,,,,,,
99.2824,,,-72.0,,,,,,-87.0,-82.0,,-89.0,,-89.0,-81.0,,-84.0,-87.0,,,,,,,,-84.0,-86.0,,,,,,,,,2417.0,,,,,,2437.0,2422.0,,5220.0,,2462.0,2462.0,,2462.0,2412.0,,,,,,,,5520.0,5520.0,,,,,,
103.5039,,,-77.0,,-85.0,,,,,,,-87.0,,,-84.0,,,,,-80.0,-87.0,,-84.0,,,-86.0,-85.0,,-83.0,,,,,,,2417.0,,2412.0,,,,,,,5220.0,,,2462.0,,,,,2457.0,2437.0,,2437.0,,,5520.0,5520.0,,2412.0,,,,
107.5305,,,-78.0,,,,,,,-73.0,,,,,,,-83.0,-82.0,,-81.0,-76.0,-77.0,-77.0,,,-76.0,-76.0,,,,,,,,,2417.0,,,,,,,2422.0,,,,,,,2462.0,2412.0,,2457.0,2437.0,2437.0,2437.0,,,5520.0,5520.0,,,,,,
111.3896,,,-76.0,,-85.0,,,,,,,,,,,,-77.0,-80.0,,-85.0,-81.0,,-85.0,-81.0,,-78.0,-78.0,,,,,,,,,2417.0,,2412.0,,,,,,,,,,,,2462.0,2412.0,,2457.0,2437.0,,2437.0,2412.0,,5520.0,5520.0,,,,,,
115.3819,-83.0,,-68.0,-87.0,,,,,,,-84.0,-81.0,-81.0,-84.0,,,,,,,,-85.0,,,,-86.0,-86.0,,,,,,,2437.0,,2417.0,2452.0,,,,,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,2437.0,,,,5520.0,5520.0,,,,,,
119.3501,-87.0,,-70.0,-87.0,,-83.0,,,-88.0,,,,,,,,,-88.0,,,-85.0,,-87.0,,,-86.0,-86.0,,,,,,,2437.0,,2417.0,2452.0,,2462.0,,,2437.0,,,,,,,,,2412.0,,,2437.0,,2437.0,,,5520.0,5520.0,,,,,,
123.2995,-85.0,-89.0,-82.0,,,,,,,,-88.0,,,,,,,,,-89.0,-82.0,-88.0,-88.0,,,-89.0,-87.0,,,,,,,2437.0,5200.0,2417.0,,,,,,,,2437.0,,,,,,,,,2457.0,2437.0,2437.0,2437.0,,,5520.0,5520.0,,,,,,
127.2884,-82.0,,-72.0,-83.0,,,,-86.0,,,-86.0,-88.0,-87.0,-85.0,,,,,,-89.0,,-89.0,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,,,,2457.0,,2437.0,,,,,,,,,,,
131.3587,-86.0,-88.0,-69.0,-90.0,,,,,,,-82.0,-85.0,-86.0,-86.0,,,,,,-87.0,,,,,,-89.0,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,,,,,2437.0,5220.0,5220.0,2462.0,,,,,,2457.0,,,,,,5520.0,,,,,,,
135.4234,-83.0,,-65.0,,,-87.0,,-84.0,-88.0,,-84.0,-85.0,,-87.0,,,,,,,,-88.0,,,,-89.0,,,,,,,,2437.0,,2417.0,,,2462.0,,2427.0,2437.0,,2437.0,5220.0,,2462.0,,,,,,,,2437.0,,,,5520.0,,,,,,,
139.2721,-81.0,,-72.0,-81.0,,,,,,,-85.0,-86.0,-86.0,-84.0,,,,,,-88.0,-88.0,-88.0,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,,,,,2437.0,5220.0,5220.0,2462.0,,,,,,2457.0,2437.0,2437.0,,,,,,,,,,,
143.4306,-79.0,-89.0,-70.0,-83.0,,,,,-86.0,-87.0,-83.0,,,,,,,-89.0,,-88.0,,,,,,,,,,,,-89.0,,2437.0,5200.0,2417.0,2452.0,,,,,2437.0,2422.0,2437.0,,,,,,,2412.0,,2457.0,,,,,,,,,,,,5260.0,
147.4202,-81.0,,-69.0,-84.0,,,,-89.0,-87.0,-87.0,-84.0,,,,,,,-89.0,,-89.0,,-88.0,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,2437.0,,,,,,,2412.0,,2457.0,,2437.0,,,,,,,,,,,
151.4125,-83.0,,-72.0,-83.0,,,,,-85.0,-86.0,-84.0,-88.0,,,,,,,,,,-88.0,-88.0,,,,,,,,,-88.0,,2437.0,,2417.0,2452.0,,,,,2437.0,2422.0,2437.0,5220.0,,,,,,,,,,2437.0,2437.0,,,,,,,,,5260.0,
155.3942,,,-74.0,-87.0,,,,,-85.0,,-83.0,-85.0,-86.0,-84.0,,,,,,,-86.0,-88.0,-87.0,,,,,,,,,,,,,2417.0,2452.0,,,,,2437.0,,2437.0,5220.0,5220.0,2462.0,,,,,,,2437.0,2437.0,2437.0,,,,,,,,,,
159.4112,,,-69.0,-82.0,,,,,,,-77.0,,,-83.0,,,,,,-86.0,-83.0,,-83.0,,-85.0,-85.0,-85.0,,,,,,,,,2417.0,2452.0,,,,,,,2437.0,,,2462.0,,,,,,2457.0,2437.0,,2437.0,,2462.0,5520.0,5520.0,,,,,,
163.5167,,,,,-83.0,,-84.0,-82.0,,,-82.0,-84.0,-83.0,,,,,,-84.0,,,,-84.0,,,,-84.0,,,-83.0,,,,,,,,2412.0,,2412.0,2427.0,,,2437.0,5220.0,5220.0,,,,,,2462.0,,,,2437.0,,,,5520.0,,,2462.0,,,
167.615,,,,,,,,,,,,,,-85.0,,,-82.0,,,-82.0,-84.0,-84.0,-80.0,,,-82.0,-82.0,-78.0,,,-78.0,,,,,,,,,,,,,,,,2462.0,,,2462.0,,,2457.0,2437.0,2437.0,2437.0,,,5520.0,5520.0,2462.0,,,2462.0,,
171.4188,,,-78.0,,,,,,,-85.0,,,,,-79.0,,,-83.0,,,-84.0,-85.0,-86.0,-85.0,,-82.0,-81.0,,,,,,,,,2417.0,,,,,,,2422.0,,,,,2462.0,,,2412.0,,,2437.0,2437.0,2437.0,2412.0,,5520.0,5520.0,,,,,,
175.4164,,,-75.0,-81.0,,-85.0,,,-83.0,-87.0,,,,,-81.0,,,,,,,-87.0,-87.0,,-86.0,,,,,-87.0,,,,,,2417.0,2452.0,,2462.0,,,2437.0,2422.0,,,,,2462.0,,,,,,,2437.0,2437.0,,2462.0,,,,,2462.0,,,
179.1281,-83.0,,-69.0,,,,,-84.0,-78.0,-87.0,,-82.0,-82.0,-86.0,-78.0,,,,,,-88.0,,,,,,,,,,,,,2437.0,,2417.0,,,,,2427.0,2437.0,2422.0,,5220.0,5220.0,2462.0,2462.0,,,,,,2437.0,,,,,,,,,,,,
181.0966,,,-73.0,-81.0,,-83.0,-88.0,-87.0,-78.0,,,,-87.0,-82.0,-74.0,,,,,,,,,,,,,,,,,,-84.0,,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,,,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
183.0928,-88.0,,-67.0,-83.0,,-83.0,,,-85.0,-79.0,,-84.0,,-82.0,-80.0,,,,,,,,,,,,,,,,,,-84.0,2437.0,,2417.0,2452.0,,2462.0,,,2437.0,2422.0,,5220.0,,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
185.1124,-87.0,,-72.0,-79.0,,,,-82.0,-83.0,-74.0,,-87.0,-82.0,-83.0,-75.0,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
187.085,-86.0,,-71.0,-78.0,,-83.0,,-83.0,-81.0,-77.0,,,,,-76.0,,,,,,,,,,-85.0,,,,,,,,-85.0,2437.0,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,,,2462.0,,,,,,,,2437.0
189.0782,,,-75.0,-75.0,,,,-82.0,-83.0,-74.0,-83.0,,-85.0,-83.0,-77.0,,,,,,,,,,,,,,,,,,-85.0,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
