AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:76,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:95,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:01:98,wifi_rssi_20:23:00:00:02:07,wifi_rssi_20:23:00:00:02:55,wifi_rssi_20:23:00:00:02:56,wifi_rssi_20:23:00:00:02:57,wifi_rssi_20:23:00:00:02:58,wifi_rssi_20:23:00:00:02:59,wifi_rssi_20:23:00:00:02:60,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:65,wifi_rssi_20:23:00:00:02:70,wifi_rssi_20:23:00:00:02:73,wifi_rssi_20:23:00:00:02:74,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:17,wifi_rssi_20:23:00:00:03:20,wifi_rssi_20:23:00:00:03:21,wifi_rssi_20:23:00:00:03:29,wifi_rssi_20:23:00:00:03:46,wifi_rssi_20:23:00:00:03:47,wifi_rssi_20:23:00:00:03:48,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:76,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:95,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:01:98,wifi_freq_20:23:00:00:02:07,wifi_freq_20:23:00:00:02:55,wifi_freq_20:23:00:00:02:56,wifi_freq_20:23:00:00:02:57,wifi_freq_20:23:00:00:02:58,wifi_freq_20:23:00:00:02:59,wifi_freq_20:23:00:00:02:60,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:65,wifi_freq_20:23:00:00:02:70,wifi_freq_20:23:00:00:02:73,wifi_freq_20:23:00:00:02:74,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:17,wifi_freq_20:23:00:00:03:20,wifi_freq_20:23:00:00:03:21,wifi_freq_20:23:00:00:03:29,wifi_freq_20:23:00:00:03:46,wifi_freq_20:23:00:00:03:47,wifi_freq_20:23:00:00:03:48
41.5167,-72.0,-82.0,,-83.0,,,,,,-87.0,,,,,-86.0,-87.0,,-78.0,,,-72.0,-88.0,,,,,,,,-80.0,,,-78.0,,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,,,,2437.0,,,,,2462.0,2462.0,,2437.0,,,2437.0,2462.0,,,,,,,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,
45.4887,-71.0,-81.0,,,,,,,,,,,,,-85.0,,,-85.0,,,-71.0,,,,,-91.0,,,-81.0,-81.0,,,-80.0,,,-84.0,,,,,,,,,-92.0,-89.0,,,,,,,,,,,,,,2437.0,5200.0,,,,,,,,,,,,,2462.0,,,2437.0,,,2437.0,,,,,2462.0,,,2462.0,2462.0,,,2462.0,,,5500.0,,,,,,,,,5500.0,5500.0,,,,,,,,,,,,,
49.5224,-76.0,-81.0,,-85.0,,-86.0,,,-84.0,,,-86.0,,,,-83.0,-89.0,-79.0,,,-68.0,,,,,-89.0,,,-80.0,-79.0,,,-82.0,,-87.0,-80.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,2462.0,,,2427.0,,,2437.0,,,,2462.0,2452.0,2437.0,,,2437.0,,,,,2462.0,,,2462.0,2462.0,,,2462.0,,2412.0,5500.0,,,,,,,,,,,,,,,,,,,,,,,
53.5043,-71.0,-81.0,,-84.0,,-86.0,,,,,,-85.0,,,-86.0,-83.0,,-75.0,,,,,,,,,,,-81.0,-80.0,,,-81.0,,-87.0,-82.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,2462.0,,,,,,2437.0,,,2462.0,2462.0,,2437.0,,,,,,,,,,,2462.0,2462.0,,,2462.0,,2412.0,5500.0,,,,,,,,,,,,,,,,,,,,,,,
57.5562,-71.0,-83.0,,-82.0,,-87.0,,-90.0,-86.0,,,-92.0,,,,-83.0,,-79.0,,,-65.0,-87.0,,,,-85.0,,,-85.0,,,,-81.0,,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,2462.0,,2462.0,2427.0,,,2437.0,,,,2462.0,,2437.0,,,2437.0,2462.0,,,,2462.0,,,2462.0,,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,
61.0962,-71.0,-83.0,,-82.0,,-85.0,,,,,,,,,-84.0,-87.0,,-83.0,,,-72.0,,-92.0,,,,,,-87.0,,-87.0,,,,,-85.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,2462.0,,,,,,,,,2462.0,2462.0,,2437.0,,,2437.0,,5500.0,,,,,,2462.0,,2412.0,,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,
65.4913,,,,-83.0,,,,,,,,,,,,,,-74.0,,,-72.0,,,,,-84.0,-80.0,,-87.0,-85.0,,,-86.0,,,-78.0,,-88.0,-86.0,,,,,,-92.0,,,,,,,,,,,,,,,,,,2452.0,,,,,,,,,,,,,,2437.0,,,2437.0,,,,,2462.0,2462.0,,2462.0,2462.0,,,2462.0,,,5500.0,,2412.0,2437.0,,,,,,5500.0,,,,,,,,,,,,,,
69.4894,-74.0,,,,,,,,,,,,,,,,,-70.0,-94.0,,-74.0,-86.0,,,,,,,-81.0,-83.0,,,-82.0,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,2437.0,2462.0,,2437.0,2462.0,,,,,,,2462.0,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,
73.5088,-75.0,,,,,,,-86.0,,,,,,,,,,-70.0,,,,-81.0,-87.0,,,-81.0,-81.0,,-79.0,-79.0,,,-78.0,,,-73.0,-84.0,-82.0,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,2462.0,,,,,,,,,,2437.0,,,,2462.0,5500.0,,,2462.0,2462.0,,2462.0,2462.0,,,2462.0,,,5500.0,2437.0,2412.0,,,,,,,,,,,,,,,,,,,,,
77.5256,,,,,,,,,,-81.0,,,,,,,,-72.0,,,-58.0,-85.0,-83.0,,,-85.0,-80.0,-80.0,-78.0,-73.0,,,-77.0,,,-73.0,,,,,,-92.0,-86.0,-86.0,-85.0,-87.0,,,-93.0,-91.0,,,,,,,-88.0,,,,,,,,,,,,2437.0,,,,,,,,2437.0,,,2437.0,2462.0,5500.0,,,2462.0,2462.0,2412.0,2462.0,2462.0,,,2462.0,,,5500.0,,,,,,5180.0,5500.0,5500.0,5500.0,5500.0,,,5180.0,5180.0,,,,,,,5500.0,,
81.5371,,,,,,,,,,,,-77.0,,,,,,-69.0,,,-60.0,-78.0,-81.0,,,-80.0,-76.0,,,-75.0,,-91.0,-73.0,,,-73.0,-81.0,,,,,,-86.0,-85.0,,,-94.0,,,,,-91.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,2437.0,,,2437.0,2462.0,5500.0,,,2462.0,2462.0,,,2462.0,,5500.0,2462.0,,,5500.0,2437.0,,,,,,5500.0,5500.0,,,5500.0,,,,,2462.0,,,,,,,
85.5363,,,,,,,,,,,,,,,,,,-65.0,,,-67.0,,,,,,-84.0,,,,,-87.0,-81.0,,,-81.0,,,,,,,,,,,,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,2437.0,,,,,,2462.0,,,,,5500.0,2462.0,,,5500.0,,,,,,,,,,,,2412.0,,,,,,,,,,,
89.5138,,,,,,,,,,,,-83.0,,,,,,-66.0,,,-72.0,-84.0,,,,-85.0,-84.0,,,-86.0,,,-84.0,,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,2437.0,,,2437.0,2462.0,,,,2462.0,2462.0,,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,
93.5341,-72.0,,,,,-88.0,,,-86.0,,,-79.0,,,-88.0,,,-63.0,,,-76.0,,,,,,-88.0,,,,,,-89.0,,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,2462.0,,,2427.0,,,2437.0,,,2462.0,,,2437.0,,,2437.0,,,,,,2462.0,,,,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,
97.5234,-70.0,-84.0,-79.0,-76.0,,-86.0,,,,-87.0,,-76.0,,,-84.0,,,-59.0,,,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,,,,2437.0,,2437.0,,,2462.0,,,2437.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.4962,-72.0,-80.0,-74.0,,,-82.0,,,-78.0,,,-66.0,-87.0,-86.0,-82.0,,,-54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,2462.0,,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.5081,-61.0,-80.0,,,,-77.0,,,-71.0,-82.0,,-58.0,-85.0,-85.0,-74.0,,,-46.0,,,,,,,,,,,,,,,,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,2462.0,,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,2412.0,,,,,,,,,,,,,,,,,,,,,,,,
109.497,-68.0,-80.0,-65.0,-82.0,,,,,,,,-58.0,-88.0,-89.0,-74.0,,-75.0,-45.0,,,,,,,,,,,,,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,,,,,,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,2412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.5025,,-77.0,-65.0,,,-80.0,,,-77.0,-78.0,,-59.0,,,-78.0,,-78.0,-45.0,,,,,,,,,,,,,-85.0,,,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,,5200.0,2417.0,,,2462.0,,,2427.0,2437.0,,2437.0,,,2462.0,,2452.0,2437.0,,,,,,,,,,,,,2412.0,,,,2412.0,,,,,,,,,,,,,,,,,,,,,,,,
117.545,-79.0,-76.0,-67.0,,,-76.0,,,-77.0,,,-56.0,,-87.0,-74.0,,-82.0,-48.0,,,,-92.0,,,,,,,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,2462.0,,,2427.0,,,2437.0,,5220.0,2462.0,,2452.0,2437.0,,,,2462.0,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.4971,-71.0,-78.0,-64.0,,,-78.0,,,-76.0,,,-59.0,-87.0,,-78.0,,,-48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,2462.0,,,2427.0,,,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.505,-66.0,,,,,,-83.0,,,-77.0,,-58.0,-90.0,-86.0,,,,-47.0,,,,,,,,,,,,,,,,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,2412.0,,,2437.0,,2437.0,5220.0,5220.0,,,,2437.0,,,,,,,,,,,,,,,,2412.0,,,,,,,,,,,,,,,,,,,,,,,,,
129.523,-62.0,-77.0,-66.0,,,-80.0,-84.0,,-78.0,,,-60.0,-87.0,-88.0,,,-85.0,-48.0,,,-79.0,-89.0,,,,,,,,,,,,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,,,2452.0,2437.0,,,2437.0,2462.0,,,,,,,,,,,,2412.0,,,,,,,,,,,,,,,,,,,,,,,,,
133.5204,,,-76.0,,,,,,,,,-72.0,,,,,,-54.0,,,,,,,,,,,-87.0,-87.0,,,-87.0,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2417.0,,,,,,,,,2437.0,,,,,,2437.0,,,,,,,,,,,2462.0,2462.0,,,2462.0,2412.0,,,,,,,,,,,,,,,,,,,,,,,,,
137.0292,,,,,,,,,,,,-76.0,,,-92.0,,,-57.0,,,-72.0,-84.0,,,,,,,-83.0,-83.0,,,,,,-83.0,,,,,,,,,,,,,,,,-88.0,,,,,,,,,,,,,,,,,,,2437.0,,,2462.0,,,2437.0,,,2437.0,2462.0,,,,,,,2462.0,2462.0,,,,,,5500.0,,,,,,,,,,,,,,,,2462.0,,,,,,,
141.5105,,,,,,,,,,-87.0,,-84.0,,,,,,-64.0,,,-67.0,-87.0,,,,-90.0,,,,-83.0,,,-85.0,-90.0,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,2437.0,,,,,,2437.0,,,2437.0,2462.0,,,,2462.0,,,,2462.0,,,2462.0,2412.0,,5500.0,,,,,,,,,,,,,,,,,,,,,,,
145.5209,,-87.0,,,,,,,,,,-84.0,,,,,,-64.0,,,-67.0,,-92.0,,,,-87.0,,-86.0,-84.0,,-87.0,-84.0,,,-82.0,,,,,,,,,,,-83.0,,,,,,,-89.0,,,,,,,5200.0,,,,,,,,,,2437.0,,,,,,2437.0,,,2437.0,,5500.0,,,,2462.0,,2462.0,2462.0,,5500.0,2462.0,,,5500.0,,,,,,,,,,,5500.0,,,,,,,2462.0,,,,,
149.497,,,,,,,,,,,,-87.0,,,,-92.0,,-73.0,,,-60.0,-81.0,-90.0,,,-81.0,-83.0,,-80.0,-83.0,,,-79.0,,,-80.0,,,,,,,,,,,,-88.0,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,2462.0,,2437.0,,,2437.0,2462.0,5500.0,,,2462.0,2462.0,,2462.0,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,2412.0,,,,,,,,,,,
153.5036,,-91.0,,-91.0,,,,,,,-92.0,-86.0,,,,,,-77.0,,,-64.0,-80.0,-84.0,,,-80.0,-80.0,,-73.0,-76.0,,,,,,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,5200.0,,2452.0,,,,,,,2422.0,2437.0,,,,,,2437.0,,,2437.0,2462.0,5500.0,,,2462.0,2462.0,,2462.0,2462.0,,,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,
157.5141,,,,,,,,,,,,,,,,,,-69.0,,,-64.0,-84.0,,,,-84.0,-84.0,,,,,,-83.0,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,2437.0,2462.0,,,,2462.0,2462.0,,,,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,
161.5188,-75.0,-88.0,,,,,,,-89.0,,,,,,,,,-71.0,,,-61.0,-85.0,,,,,,,-80.0,-79.0,,,-86.0,,,-81.0,,-83.0,,,,,,,,-92.0,,,,,,,,,,,,,,2437.0,5200.0,,,,,,,2427.0,,,,,,,,,2437.0,,,2437.0,2462.0,,,,,,,2462.0,2462.0,,,2462.0,,,5500.0,,2412.0,,,,,,,,5500.0,,,,,,,,,,,,,
165.5251,-70.0,-86.0,,,,,,-78.0,,,,-86.0,,,,-85.0,-84.0,-65.0,,,-72.0,-87.0,,,,,,,,,-90.0,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,,,2462.0,,,,2437.0,,,,2462.0,2452.0,2437.0,,,2437.0,2462.0,,,,,,,,,2412.0,,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,
169.5034,,-86.0,,,,,,,-83.0,,,,,,,,,-70.0,,,-68.0,-86.0,,,,-88.0,-88.0,,,,,,,,,-84.0,,,,,,,,,,,,-83.0,,,,-91.0,,,,,,,,,5200.0,,,,,,,2427.0,,,,,,,,,2437.0,,,2437.0,2462.0,,,,2462.0,2462.0,,,,,,,,,5500.0,,,,,,,,,,,,2412.0,,,,2462.0,,,,,,,
