AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:95,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:65,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:95,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:65,wifi_freq_20:23:00:00:03:11
41.5167,-72.0,,,,,,,,,,,,,,-78.0,-72.0,,,,,,,-80.0,,-78.0,-82.0,,,,,2437.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,,2462.0,,2462.0,5500.0,,,,
45.4887,-71.0,-81.0,,,,,,,,,,,,,,-71.0,,,,,,-81.0,-81.0,,-80.0,,,,,,2437.0,5200.0,,,,,,,,,,,,,,2437.0,,,,,,2462.0,2462.0,,2462.0,,,,,
49.5224,-76.0,,,,,,,,,,,,,,-79.0,-68.0,,,,,,-80.0,-79.0,,,-80.0,,,,,2437.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,2462.0,,,5500.0,,,,
53.5043,-71.0,-81.0,,,,,,,,,,,,,-75.0,,,,,,,-81.0,-80.0,,-81.0,,,,,,2437.0,5200.0,,,,,,,,,,,,,2437.0,,,,,,,2462.0,2462.0,,2462.0,,,,,
57.5562,-71.0,,,-82.0,,,,,,,,,,,-79.0,-65.0,,,,,,,,,-81.0,-83.0,,,,,2437.0,,,2452.0,,,,,,,,,,,2437.0,2437.0,,,,,,,,,2462.0,5500.0,,,,
61.0962,-71.0,-83.0,,-82.0,,,,,,,,-84.0,,,-83.0,-72.0,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,,,,,,2462.0,,,2437.0,2437.0,,,,,,,,,,,,,,
65.4913,,,,-83.0,,,,,,,,,,,-74.0,-72.0,,,-84.0,-80.0,,,,,,-78.0,,,,,,,,2452.0,,,,,,,,,,,2437.0,2437.0,,,2462.0,2462.0,,,,,,5500.0,,,,
69.4894,-74.0,,,,,,,,,,,,,,-70.0,-74.0,,,,,,-81.0,,,-82.0,-81.0,,,,,2437.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,,,2462.0,5500.0,,,,
73.5088,-75.0,,,,,,,,,,,,,,-70.0,,,,,,,-79.0,-79.0,,-78.0,-73.0,,,,,2437.0,,,,,,,,,,,,,,2437.0,,,,,,,2462.0,2462.0,,2462.0,5500.0,,,,
77.5256,,,,,,,,,,,,,,,-72.0,-58.0,,,,,,-78.0,-73.0,,-77.0,-73.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,2462.0,,2462.0,5500.0,,,,
81.5371,,,,,,,,,,,,,,,-69.0,-60.0,,,,-76.0,,,-75.0,,-73.0,-73.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,2462.0,,,2462.0,,2462.0,5500.0,,,,
85.5363,,,,,,,,,,,,,,,-65.0,-67.0,,,,-84.0,,,,-87.0,-81.0,-81.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,2462.0,,,,5500.0,2462.0,5500.0,,,,
89.5138,,,,,,,,,,-83.0,,,,,-66.0,-72.0,,,,-84.0,,,,,-84.0,-83.0,,,,,,,,,,,,,,2437.0,,,,,2437.0,2437.0,,,,2462.0,,,,,2462.0,5500.0,,,,
93.5341,-72.0,,,,,,,-86.0,,-79.0,,,,,-63.0,-76.0,,,,,,,,,,-83.0,,,,,2437.0,,,,,,,2427.0,,2437.0,,,,,2437.0,2437.0,,,,,,,,,,5500.0,,,,
97.5234,-70.0,,-79.0,-76.0,,,,,,-76.0,,,,,-59.0,-80.0,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,,,,2437.0,,,,,2437.0,2437.0,,,,,,,,,,,,,,
101.4962,-72.0,-80.0,-74.0,,,,,-78.0,,-66.0,,,,,-54.0,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,,,2427.0,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,
105.5081,-61.0,,,,-77.0,,,-71.0,,-58.0,,-74.0,,,-46.0,,,,,,,,,,,,,,,,2437.0,,,,2462.0,,,2427.0,,2437.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,
109.497,-68.0,,-65.0,,,,,,,-58.0,,-74.0,,-75.0,-45.0,,,,,,,,,,,,,,,,2437.0,,2417.0,,,,,,,2437.0,,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,
113.5025,,-77.0,-65.0,,,,,-77.0,,-59.0,,-78.0,,,-45.0,,,,,,,,,,,,,,,,,5200.0,2417.0,,,,,2427.0,,2437.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,
117.545,,-76.0,-67.0,,-76.0,,,,,-56.0,,-74.0,,,-48.0,,,,,,,,,,,,,,,,,5200.0,2417.0,,2462.0,,,,,2437.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,
121.4971,-71.0,,-64.0,,,,,-76.0,,-59.0,,-78.0,,,-48.0,,,,,,,,,,,,,,,,2437.0,,2417.0,,,,,2427.0,,2437.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,
125.505,-66.0,,,,,-83.0,,,-77.0,-58.0,-86.0,,,,-47.0,,,,,,,,,,,,,,,,2437.0,,,,,2412.0,,,2437.0,2437.0,5220.0,,,,2437.0,,,,,,,,,,,,,,,
129.523,-62.0,-77.0,-66.0,,,,,-78.0,,-60.0,,,,,-48.0,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,,,2427.0,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,
133.5204,,,-76.0,,,,,,,-72.0,,,,,-54.0,,,,,,,-87.0,-87.0,,-87.0,,,,,,,,2417.0,,,,,,,2437.0,,,,,2437.0,,,,,,,2462.0,2462.0,,2462.0,,,,,
137.0292,,,,,,,,,,-76.0,,,,,-57.0,-72.0,,,,,,-83.0,-83.0,,,-83.0,,,,,,,,,,,,,,2437.0,,,,,2437.0,2437.0,,,,,,2462.0,2462.0,,,5500.0,,,,
141.5105,,,,,,,,,,-84.0,,,,,-64.0,-67.0,,,,,,,-83.0,,-85.0,-82.0,,,,,,,,,,,,,,2437.0,,,,,2437.0,2437.0,,,,,,,2462.0,,2462.0,5500.0,,,,
145.5209,,,,,,,,,,-84.0,,,,,-64.0,-67.0,,,,,,,,,-84.0,-82.0,,-83.0,,,,,,,,,,,,2437.0,,,,,2437.0,2437.0,,,,,,,,,2462.0,5500.0,,5500.0,,
149.497,,,,,,,,,,,,,,,-73.0,-60.0,-81.0,,,,,-80.0,,,-79.0,-80.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,2462.0,,,,,2462.0,,,2462.0,5500.0,,,,
153.5036,,,,,,,,,,,,,,,-77.0,-64.0,-80.0,,,,,-73.0,-76.0,,,-76.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,2462.0,,,,,2462.0,2462.0,,,5500.0,,,,
157.5141,,,,,,,,,,,,,,,-69.0,-64.0,-84.0,,-84.0,,,,,,-83.0,-81.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,2462.0,,2462.0,,,,,,2462.0,5500.0,,,,
161.5188,-75.0,,,,,,,,,,,,,,-71.0,-61.0,,,,,,-80.0,-79.0,,,-81.0,,,,,2437.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,2462.0,,,5500.0,,,,
165.5251,-70.0,,,,,,-78.0,,,,,,-85.0,-84.0,-65.0,-72.0,,,,,,,,,,,,,,,2437.0,,,,,,2462.0,,,,,,2462.0,2452.0,2437.0,2437.0,,,,,,,,,,,,,,
169.5034,,,,,,,,-83.0,,,,,,,-70.0,-68.0,-86.0,,,,,,,,,-84.0,,,-83.0,,,,,,,,,2427.0,,,,,,,2437.0,2437.0,2462.0,,,,,,,,,5500.0,,,2412.0,
173.5059,-66.0,-85.0,,-86.0,,,,,,,,,,,-74.0,,,,,,,,,,,-81.0,,,-81.0,,2437.0,5200.0,,2452.0,,,,,,,,,,,2437.0,,,,,,,,,,,5500.0,,,2412.0,
177.523,-68.0,,,,,,,-81.0,,,,,,-81.0,-72.0,-71.0,,,,,,,,,,,,,-84.0,,2437.0,,,,,,,2427.0,,,,,,2452.0,2437.0,2437.0,,,,,,,,,,,,,2412.0,
181.4984,,,,,-83.0,,,-84.0,,,,-83.0,,-82.0,-72.0,-67.0,,,,,,,,,,,,,,,,,,,2462.0,,,2427.0,,,,2462.0,,2452.0,2437.0,2437.0,,,,,,,,,,,,,,
185.5381,-74.0,,,,,,-88.0,,,,,,,,-80.0,-66.0,,,,,,,-85.0,,,-83.0,,,,,2437.0,,,,,,2462.0,,,,,,,,2437.0,2437.0,,,,,,,2462.0,,,5500.0,,,,
189.5072,,,,,,,,,,,,,,,,-64.0,-83.0,,-83.0,-83.0,,,,,-84.0,-81.0,,,,,,,,,,,,,,,,,,,,2437.0,2462.0,,2462.0,2462.0,,,,,2462.0,5500.0,,,,
193.511,-82.0,,,,,,,,,,,,,,,-67.0,-79.0,,-79.0,,,,,,-79.0,-73.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,2462.0,,2462.0,,,,,,2462.0,5500.0,,,,
197.5299,,,,,,,,,,,,,,,-69.0,-65.0,-71.0,,-73.0,-72.0,,,,,,-73.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,2462.0,,2462.0,2462.0,,,,,,5500.0,,,,
201.4884,,,,,,,,,,,,,,,-69.0,-62.0,,,,,,-82.0,,,-83.0,-81.0,,,,-83.0,,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,,,2462.0,5500.0,,,,2462.0
205.5085,,,-86.0,,,,,,,-85.0,,,,,-67.0,-70.0,-85.0,,,,,,,,,-85.0,,,,,,,2417.0,,,,,,,2437.0,,,,,2437.0,2437.0,2462.0,,,,,,,,,5500.0,,,,
209.4876,-78.0,,-80.0,,,,,,,-77.0,,,,,-63.0,-72.0,,,,,,,,,,,,,,-84.0,2437.0,,2417.0,,,,,,,2437.0,,,,,2437.0,2437.0,,,,,,,,,,,,,,2462.0
213.51,,,,,-85.0,,,-83.0,,-69.0,,-85.0,,,-53.0,,-88.0,,,,,,,,,,,,,,,,,,2462.0,,,2427.0,,2437.0,,2462.0,,,2437.0,,2462.0,,,,,,,,,,,,,
217.5642,,-77.0,-68.0,,,,,-71.0,,-61.0,,,,,-49.0,,,,,,,,,,,,,,,-75.0,,5200.0,2417.0,,,,,2427.0,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2462.0
221.518,-68.0,,-64.0,-74.0,,,,,,-56.0,,,,,-43.0,,,,,,,,,,,,,,,-73.0,2437.0,,2417.0,2452.0,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2462.0
225.4991,,-78.0,-63.0,,,,,,,-64.0,,-79.0,,,-44.0,,,,,,,,,,,,,,,-77.0,,5200.0,2417.0,,,,,,,2437.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,2462.0
229.5474,-64.0,,,,,,,-77.0,-75.0,-61.0,,,,,-53.0,,,,,,,,,,,,,,,-74.0,2437.0,,,,,,,2427.0,2437.0,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2462.0
233.5179,-60.0,,-68.0,,,,,-79.0,,-61.0,,,,,-53.0,,,,,,,,,,,,,,,-67.0,2437.0,,2417.0,,,,,2427.0,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2462.0
237.506,-66.0,,-66.0,,,,,-77.0,,-61.0,,,,,-53.0,,,,,,,,,,,,,,,-62.0,2437.0,,2417.0,,,,,2427.0,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2462.0
241.5074,-64.0,-77.0,-68.0,,,,,,,-63.0,,,,,-51.0,,,,,,,,,,,,,,,-59.0,2437.0,5200.0,2417.0,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2462.0
245.5316,-63.0,,-76.0,,-77.0,,,,,-60.0,,,,,-51.0,,,,,,,,,,,,,,,-72.0,2437.0,,2417.0,,2462.0,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2462.0
249.5083,-69.0,,-72.0,,-83.0,,,,,-70.0,,,,,-54.0,,,,,,,,,,,,,,,-80.0,2437.0,,2417.0,,2462.0,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2462.0
253.5009,-72.0,,-76.0,,,,,,,-75.0,,,,,-56.0,-75.0,,,,,,,,,,,,,,-78.0,2437.0,,2417.0,,,,,,,2437.0,,,,,2437.0,2437.0,,,,,,,,,,,,,,2462.0
257.5514,,,,,,,,,,,,,,,-68.0,-69.0,,,,,,-82.0,-83.0,,,-83.0,,,,-82.0,,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,2462.0,,,5500.0,,,,2462.0
261.4939,,,,,,,,,,-86.0,,,,,-72.0,-62.0,,-86.0,,,,-85.0,,,,-86.0,,,,,,,,,,,,,,2437.0,,,,,2437.0,2437.0,,5500.0,,,,2462.0,,,,5500.0,,,,
265.5001,,,,,,,,,,,,,,,-71.0,-70.0,,-83.0,,,,,-80.0,,-81.0,-84.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,5500.0,,,,,2462.0,,2462.0,5500.0,,,,
269.5081,-76.0,,,,,,,,,,,,,,-72.0,-68.0,,-79.0,,-80.0,,,,,,-80.0,,,,,2437.0,,,,,,,,,,,,,,2437.0,2437.0,,5500.0,,2462.0,,,,,,5500.0,,,,
273.492,,,,,,,,,,,,,,,-68.0,-68.0,-84.0,,-85.0,,,,-85.0,,,-82.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,2462.0,,2462.0,,,,2462.0,,,5500.0,,,,
277.5065,-75.0,,,,,,,,,-86.0,,,,,-73.0,-69.0,,,,,,,,,,-82.0,-85.0,,,,2437.0,,,,,,,,,2437.0,,,,,2437.0,2437.0,,,,,,,,,,5500.0,2437.0,,,
281.5282,,,,,,,-76.0,-78.0,,,,-83.0,,-83.0,-67.0,,,,,,,,,,,-83.0,,,,,,,,,,,2462.0,2427.0,,,,2462.0,,2452.0,2437.0,,,,,,,,,,,5500.0,,,,
