AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,Accuracy
2.9249,65096.4691,2.69587,2.91135,12.54322,3
2.9477,65096.4892,-0.93374,2.38462,-1.403,3
2.9623,65096.5091,0.2083,0.9098,13.89355,3
2.9791,65096.5291,2.96402,0.16041,11.73159,3
3,65096.5491,2.22421,3.65834,8.82982,3
3.0195,65096.569,1.4868,5.02543,11.58075,3
3.0391,65096.5891,2.6001,4.90811,11.58075,3
3.0592,65096.6091,5.68384,4.18985,12.44027,3
3.0846,65096.6291,2.45645,2.53067,9.88805,3
3.1002,65096.6491,-0.85712,1.00078,9.75637,3
3.1212,65096.6691,0.76614,1.33357,11.93031,3
3.142,65096.6891,2.28886,2.81558,12.43548,3
3.162,65096.7091,3.40934,3.14359,11.89918,3
3.2105,65096.7291,5.84903,4.67827,13.23275,3
3.2155,65096.7491,5.34625,4.50589,13.61343,3
3.2208,65096.7691,3.04782,3.31836,14.27902,3
3.2432,65096.7891,-1.13485,1.69031,12.28944,3
3.2608,65096.8092,-0.11492,2.49955,11.21923,3
3.2822,65096.8311,6.97192,6.61757,13.05558,3
3.3079,65096.8512,7.48667,8.99502,11.81778,3
3.3291,65096.8711,3.61524,8.15705,-0.72784,3
3.3572,65096.8921,2.71263,5.76284,8.56885,3
3.367,65096.9121,4.96079,4.99191,9.39724,3
3.3859,65096.9321,6.79474,6.05972,8.32943,3
3.4116,65096.9531,8.20972,7.41005,7.41484,3
3.4348,65096.9731,8.48744,6.04536,7.00065,3
3.4465,65096.9931,6.87854,5.29358,5.01346,3
3.466,65097.0131,5.15232,3.85466,3.49793,3
3.4849,65097.033,3.73974,2.82755,2.56898,3
3.509,65097.0531,3.25133,2.10211,2.65517,3
3.536,65097.0731,2.46603,2.06141,3.84269,3
3.5466,65097.0932,-0.66559,0.19872,3.89537,3
3.567,65097.1151,-5.33668,-1.16598,-1.12767,3
3.5879,65097.1351,-6.42364,-0.67516,0.60094,3
3.6102,65097.1551,-5.39174,1.04627,4.8722,3
3.6338,65097.1751,-8.03494,0.18914,4.78122,3
3.6559,65097.1951,-8.94474,-0.05507,7.01262,3
3.6729,65097.2151,-9.58399,0.93134,6.59842,3
3.6894,65097.2362,-11.28387,0.7829,5.86819,3
3.7078,65097.2561,-10.83137,2.88022,7.38132,3
3.7283,65097.2761,-10.55364,3.27527,8.04212,3
3.7484,65097.2962,-12.27747,3.25611,7.48427,3
3.7708,65097.3161,-11.75074,3.29921,9.52892,3
3.7885,65097.3361,-9.87608,5.30555,16.00763,3
3.809,65097.3562,-7.77637,6.28478,17.06826,3
3.8377,65097.3761,-6.73968,6.42125,16.08904,3
3.8491,65097.3961,-3.17711,7.53455,16.06988,3
3.8675,65097.4162,-0.94092,8.73644,16.34043,3
3.8897,65097.4361,-2.00874,7.69975,16.57506,3
3.9085,65097.4571,-1.08697,7.28556,16.03876,3
3.9284,65097.4771,1.71904,8.339,12.52886,3
3.9486,65097.4971,0.58658,8.05888,8.1762,3
3.9667,65097.5171,1.79086,8.45393,7.44836,3
3.988,65097.5371,0.41899,6.4021,9.10275,3
4.0076,65097.5571,-1.49877,4.10606,9.43794,3
4.0281,65097.5771,-2.86107,2.79164,7.92241,3
4.05,65097.5971,-2.66953,1.4437,2.73418,3
4.0696,65097.6171,-0.05746,0.92416,1.98719,3
4.0907,65097.6381,1.10852,0.46687,2.09971,3
4.116,65097.6591,1.75256,-0.68474,2.02549,3
4.1348,65097.6792,4.707,-0.2897,2.71502,3
4.1559,65097.6991,6.34942,1.35272,3.29203,3
4.1755,65097.7201,4.71179,0.95529,0.73023,3
4.1968,65097.7411,2.70545,-2.19548,-0.00239,3
4.212,65097.7611,5.00867,-2.62883,0.54588,3
4.2327,65097.7819,10.17536,0.57461,0.43814,3
4.2527,65097.8021,11.32218,1.41258,2.37265,3
4.2728,65097.8222,13.13938,2.2697,3.9648,3
4.2963,65097.8421,16.38831,5.78439,4.0462,3
4.318,65097.8621,16.40268,6.47392,5.19781,3
4.3365,65097.8831,14.57829,5.81073,6.47871,3
4.3579,65097.9041,14.58787,6.74686,4.82432,3
4.3792,65097.9251,15.62935,8.35337,3.93607,3
4.4006,65097.9451,15.18403,8.62391,7.41245,3
4.421,65097.9651,13.6254,8.60237,11.30542,3
4.4375,65097.9851,14.2862,10.18493,11.24796,3
4.4586,65098.0051,15.35402,11.41077,9.44034,3
4.4808,65098.0251,14.03481,10.50815,10.86728,3
4.4961,65098.0462,11.37246,8.27436,12.27268,3
4.517,65098.0661,9.50977,7.15148,9.25838,3
4.5382,65098.0861,7.98945,5.94001,8.20493,3
4.5582,65098.1062,5.3678,3.60088,7.73806,3
4.5769,65098.1261,2.35589,1.60172,5.16669,3
4.6077,65098.1461,0.4142,0.6201,4.16831,3
4.624,65098.1662,-0.87867,0.2059,4.72855,3
4.6393,65098.1861,-0.81882,0.68235,5.95438,3
4.6571,65098.2061,-1.72383,0.96007,7.35978,3
4.679,65098.226,-4.13957,0.3304,4.80037,3
4.6985,65098.2471,-6.18183,0.56982,1.97043,3
4.7234,65098.2681,-5.68623,2.01831,1.41258,3
4.742,65098.2881,-4.94642,3.63679,1.68552,3
4.7616,65098.3081,-5.30555,4.35984,0.46926,3
4.7806,65098.3281,-7.49146,3.99353,0.73263,3
4.8031,65098.3482,-6.30872,3.99353,3.34709,3
4.8278,65098.3692,-6.30154,5.71975,4.81474,3
4.8408,65098.3891,-9.05248,4.63757,2.63841,3
4.8732,65098.4091,-10.16339,4.45561,2.73178,3
4.8815,65098.4292,-10.0748,5.7796,5.284,3
4.9104,65098.4491,-11.41077,5.08768,9.25359,3
4.9485,65098.4691,-10.44111,4.16352,13.58709,3
4.9511,65098.4892,-4.99909,6.73728,21.0163,3
4.968,65098.5091,-1.72383,9.86411,27.17179,3
4.9807,65098.5291,1.13006,12.50492,19.57978,3
5.002,65098.5491,2.33914,15.95017,10.8194,3
5.0194,65098.5691,-0.22745,15.94538,6.90727,3
5.039,65098.5891,-1.4868,15.37796,5.58567,3
5.0619,65098.6091,2.90656,14.3676,12.0572,3
5.092,65098.6291,2.9329,11.19529,18.67956,3
5.1013,65098.6491,0.60573,6.13873,16.05312,3
5.1284,65098.6691,-1.09176,2.08056,11.42752,3
5.1401,65098.6891,-0.21787,0.42138,6.33745,3
5.1599,65098.7091,4.35745,1.27611,1.88663,3
5.1816,65098.7291,6.11719,2.79403,2.40138,3
5.2119,65098.7491,5.26485,1.61848,1.01035,3
5.2262,65098.7691,4.53222,1.11091,0.16759,3
5.2493,65098.7891,5.84903,1.61609,-0.03831,3
5.264,65098.8091,8.05409,2.91853,-0.40941,3
5.2874,65098.8291,8.74602,3.93128,0.15323,3
5.2996,65098.8491,8.51618,4.40533,-1.41018,3
5.3204,65098.8691,7.74045,4.80516,-1.62806,3
5.3396,65098.8891,8.7556,5.99029,-1.50835,3
5.3619,65098.9091,10.22085,7.9272,-0.0431,3
5.3825,65098.9291,8.45632,8.51618,0.98162,3
5.4001,65098.9491,7.35259,9.00459,-1.69988,3
5.42,65098.9691,7.02459,9.7875,-2.12126,3
5.4468,65098.9891,7.20176,12.37802,3.34709,3
5.4654,65099.0091,7.32626,15.33247,4.81713,3
5.4803,65099.0291,6.77559,15.55513,3.76608,3
5.5029,65099.0491,5.04698,14.41309,7.51779,3
5.5252,65099.0701,0.44293,13.1298,13.74272,3
5.5476,65099.0901,-1.6927,12.89278,14.72913,3
5.5617,65099.1101,-4.2952,12.31338,12.69885,3
5.5875,65099.1301,-6.26802,11.88482,10.92714,3
5.6039,65099.1501,-6.99107,12.38042,8.49942,3
5.6267,65099.1701,-6.42604,12.48337,9.23444,3
5.6449,65099.1901,-5.73651,11.78426,9.14824,3
5.6612,65099.2101,-6.40449,11.26472,8.20493,3
5.6815,65099.2301,-6.05494,10.79546,6.67982,3
5.7032,65099.2499,-4.61841,10.30704,4.72855,3
5.7215,65099.2701,-3.50272,9.73004,3.38061,3
5.7458,65099.2911,-0.249,8.58561,7.79313,3
5.7721,65099.3111,3.9241,8.32703,11.2312,3
5.7838,65099.3311,3.70383,5.93762,6.59363,3
5.802,65099.3511,3.64637,5.35583,1.98,3
5.8229,65099.3711,7.33823,7.35259,-1.45567,3
5.8452,65099.3911,9.75158,8.87291,-3.56736,3
5.8661,65099.4121,8.12353,6.86418,-2.63602,3
5.8879,65099.4331,7.23528,6.1124,-3.15795,3
5.9076,65099.4541,7.7644,6.44519,-2.07577,3
5.9274,65099.4741,7.15387,5.88495,-1.67834,3
5.949,65099.4941,6.58884,5.7389,-2.74854,3
5.9688,65099.5141,5.37019,5.33907,-5.37019,3
5.9844,65099.5341,3.3016,4.30477,-3.21541,3
6.0046,65099.5541,1.84114,3.97198,-1.09415,3
6.0272,65099.5741,0.93374,5.04219,-0.19872,3
6.0441,65099.5941,-0.30885,5.40132,-0.29449,3
6.0657,65099.6141,-2.56898,6.48589,0.98402,3
6.0888,65099.6341,-4.72855,7.31668,4.50349,3
6.1055,65099.6541,-3.3016,5.782,4.41251,3
6.126,65099.6741,-1.96564,10.1586,10.13466,3
6.1489,65099.6941,-0.91698,10.35013,7.94636,3
6.1675,65099.7141,-1.00796,10.20409,12.13381,3
6.1868,65099.7341,-2.09732,8.10198,15.46175,3
6.2058,65099.7541,0.38068,9.51216,9.77553,3
6.2285,65099.7741,3.06218,10.63504,4.83629,3
6.2522,65099.7951,3.32076,9.54089,3.07655,3
6.2685,65099.8151,7.46512,12.02368,3.86424,3
6.2941,65099.8361,8.94474,12.70124,5.46357,3
6.3178,65099.8561,3.632,9.6223,3.82115,3
6.3341,65099.8761,2.11408,9.67257,3.48117,3
6.3492,65099.8961,2.27449,10.21366,4.84347,3
6.3697,65099.9161,-0.2897,8.63349,3.58891,3
6.39,65099.9361,-2.54264,6.79714,2.11408,3
6.4156,65099.9561,-6.13634,5.66229,0.91698,3
6.4406,65099.9771,-6.29436,6.38294,3.90255,3
6.4487,65099.9971,-3.00233,9.2081,3.07416,3
6.4703,65100.0171,-2.91374,9.50498,2.14281,3
6.4903,65100.0371,-2.78685,10.01495,0.249,3
6.5133,65100.0571,-4.20901,8.73165,-0.9074,3
6.5303,65100.0781,-7.21612,7.3071,-0.38547,3
6.5534,65100.0981,-9.36612,7.3909,-0.9912,3
6.5741,65100.1181,-9.21049,7.17303,1.7334,3
6.589,65100.1381,-6.74207,7.41245,2.82037,3
6.6183,65100.1581,-2.78685,7.52258,2.30801,3
6.6344,65100.1791,-0.00479,7.41724,8.67419,3
6.6513,65100.2001,2.03747,8.91361,14.03242,3
6.6753,65100.2201,3.88579,7.8458,16.18959,3
6.6955,65100.2401,4.03662,6.13394,14.74349,3
6.7129,65100.2601,5.91847,6.38294,14.17846,3
6.7354,65100.2811,11.32697,9.10754,11.74117,3
6.7604,65100.3011,10.64701,11.32936,4.70221,3
6.7716,65100.3211,4.29999,9.69412,-0.43335,3
6.7948,65100.3411,-2.54504,6.84263,-1.39821,3
6.8187,65100.3611,-5.62398,2.92571,-0.80685,3
6.8364,65100.3811,-4.28802,4.28323,6.85939,3
6.8557,65100.4011,-4.14436,4.32632,4.71897,3
6.875,65100.4211,-2.12845,6.8115,-0.61531,3
6.9007,65100.4411,0.98881,11.1091,0.63686,3
6.9159,65100.4609,2.61686,13.84567,3.77326,3
6.9334,65100.4811,0.88585,14.26705,2.81558,3
6.9537,65100.5011,-6.2752,13.19205,2.01113,3
6.9717,65100.5211,-11.55202,10.9846,1.6089,3
6.991,65100.5411,-9.47146,11.09713,0.77812,3
7.011,65100.5611,-6.46674,9.38527,4.75488,3
7.0365,65100.5811,-5.94959,6.22492,7.07008,3
7.0668,65100.6021,-6.44759,1.1995,3.4261,3
7.0774,65100.6221,-2.30801,-1.81241,-0.02394,3
7.0943,65100.6421,3.3447,-2.19548,-0.18914,3
7.1141,65100.6621,4.0893,-5.69341,-0.72305,3
7.1409,65100.6831,7.79552,-7.47949,-1.36469,3
7.1554,65100.7031,13.8313,-4.96318,-0.16759,3
7.1747,65100.7231,16.30691,-3.3854,-2.81558,3
7.195,65100.7431,15.00686,-3.24654,-8.26957,3
7.2195,65100.7631,12.25113,-3.85227,-3.81875,3
7.2394,65100.7831,6.17943,-10.39802,4.15155,3
7.2542,65100.8031,1.33836,-15.27022,8.68377,3
7.2746,65100.8231,4.93206,-14.77462,5.94241,3
7.2956,65100.8441,9.84496,-10.24718,4.7884,3
7.3177,65100.8641,9.9503,-9.56244,2.45885,3
7.3432,65100.8851,7.99424,-9.26317,1.30005,3
7.3657,65100.9061,10.66138,-8.44674,5.08528,3
7.3811,65100.9261,13.24712,-9.32302,5.10444,3
7.3989,65100.9461,14.81293,-9.39006,2.77009,3
7.418,65100.9661,17.65484,-7.77876,0.24181,3
7.4479,65100.9861,19.82638,-7.26401,-1.56341,3
7.4599,65101.0071,19.93412,-8.22169,-0.81642,3
7.4779,65101.0271,17.32684,-11.69089,-0.15323,3
7.4982,65101.0471,15.18163,-13.81694,0.84036,3
7.52,65101.0671,13.80976,-14.79856,1.90578,3
7.5421,65101.0871,14.42746,-13.68286,1.56102,3
7.5597,65101.1071,17.09699,-11.95185,0.64883,3
7.5796,65101.1271,16.81208,-14.14494,3.07416,3
7.6131,65101.1471,14.10424,-14.54717,3.75411,3
7.6257,65101.1671,15.1146,-11.42274,3.03585,3
7.6459,65101.1881,15.13614,-8.83939,3.49793,3
7.6613,65101.2081,14.50407,-7.67581,4.1707,3
7.6803,65101.2281,12.3038,-8.74362,5.86101,3
7.7081,65101.2481,8.37731,-8.91601,4.67827,3
7.7281,65101.2691,6.90009,-4.61602,-1.42694,3
7.7403,65101.2891,5.25767,-2.71263,-3.64876,3
7.7611,65101.3101,3.25133,-2.10929,-1.49638,3
7.782,65101.3301,2.63841,-2.78685,2.08296,3
7.803,65101.3501,1.35751,-2.1883,2.16675,3
7.8233,65101.3701,0.55545,0.54109,-4.76686,3
7.8416,65101.3901,-2.4373,-0.9505,-6.99346,3
7.8672,65101.4101,-11.3533,-1.79565,0.38307,3
7.8897,65101.4301,-17.82244,0.99838,6.45716,3
7.9059,65101.4501,-17.59738,6.38773,6.4835,3
7.9269,65101.4701,-13.22557,9.52413,3.73017,3
7.9475,65101.4911,-11.98059,11.15219,2.57377,3
7.9628,65101.5111,-10.44111,9.75158,3.16992,3
7.9825,65101.5311,-7.06529,10.42435,5.08289,3
8.0013,65101.5511,-6.53378,8.99741,5.25527,3
8.0263,65101.5711,-4.19704,8.28154,7.17063,3
8.0601,65101.5921,-4.12282,7.42921,6.82108,3
8.0661,65101.6131,-4.17788,6.27281,4.17788,3
8.0876,65101.6331,-3.49314,5.76045,1.31921,3
8.1055,65101.6531,-5.41568,4.2138,1.24738,3
8.1274,65101.6731,-8.29351,1.43173,3.38301,3
8.1595,65101.6931,-9.30147,0.23463,4.76446,3
8.1672,65101.7131,-7.74285,1.87705,4.81474,3
8.1916,65101.7331,-6.26563,2.73418,0.64404,3
8.2081,65101.7531,-6.13155,4.71897,-2.87304,3
8.2292,65101.7731,-5.35104,5.96874,-2.45885,3
8.2433,65101.7931,-5.17387,6.85221,1.18513,3
8.2661,65101.8131,-7.29513,6.24647,3.52187,3
8.2879,65101.8331,-7.8865,5.4899,4.02705,3
8.3064,65101.8531,-5.63834,7.58483,4.33351,3
8.3248,65101.8731,-2.8084,11.43231,2.9329,3
8.3499,65101.8931,0.42856,12.92869,1.48441,3
8.3688,65101.9141,-0.31125,11.80102,0.06943,3
8.392,65101.9341,-4.38618,10.10593,3.05021,3
8.411,65101.9551,-2.12845,11.61906,6.95994,3
8.4275,65101.9751,-2.63602,12.28704,5.98072,3
8.4485,65101.9951,-1.30245,14.11621,5.11641,3
8.468,65102.0151,-1.93212,14.58308,3.16992,3
8.4898,65102.035,-3.06937,14.14494,2.26252,3
8.5118,65102.0551,-4.75728,13.39316,-1.61369,3
8.5277,65102.0751,-5.55934,11.14501,-0.70868,3
8.5473,65102.095,-4.91051,8.22887,1.46046,3
8.5683,65102.1161,-1.79565,8.47069,3.90494,3
8.5899,65102.1361,0.85952,7.50582,1.98479,3
8.6142,65102.1571,2.48518,6.41885,2.24816,3
8.6319,65102.1771,5.18345,7.6399,0.80924,3
8.6516,65102.1971,6.86896,6.64152,-1.35272,3
8.6749,65102.2171,8.7532,6.50026,3.72298,3
8.6925,65102.2381,11.46583,9.07402,3.40934,3
8.7081,65102.2581,10.81461,7.85298,1.75495,3
8.7286,65102.2781,8.65983,4.57053,1.76213,3
8.75,65102.2981,8.05409,2.50673,4.65193,3
8.7681,65102.3181,8.89685,4.2928,10.87686,3
8.792,65102.3381,6.98628,4.81474,10.39323,3
8.811,65102.3581,4.22577,4.64715,5.12599,3
8.8348,65102.3781,3.95522,5.64074,-0.31125,3
8.8559,65102.3981,4.96557,8.22648,-0.92177,3
8.8732,65102.4181,4.14676,7.8865,8.37492,3
8.89,65102.4381,-2.14999,5.54737,9.55047,3
8.9391,65102.4581,-5.49948,5.20021,3.74932,3
8.9463,65102.4781,-2.08535,8.70053,0.79966,3
8.949,65102.4981,-1.86269,8.3007,4.09169,3
8.9698,65102.5181,2.58574,8.6718,4.24492,3
8.9899,65102.5381,6.47392,10.22803,5.54258,3
9.0083,65102.5578,5.25527,9.05487,4.34787,3
9.0285,65102.5789,2.80122,8.43477,2.03028,3
9.054,65102.599,-0.5794,7.46273,-0.03352,3
9.0734,65102.619,-0.18914,7.01741,0.06464,3
9.0983,65102.639,2.41575,6.64152,0.24181,3
9.1119,65102.659,9.59357,6.24647,-0.76136,3
9.1303,65102.679,6.43083,5.63356,3.39019,3
9.1546,65102.6988,4.10127,3.35188,5.41568,3
9.1719,65102.719,6.97431,2.05662,6.98389,3
9.1913,65102.739,14.66688,7.05092,8.62391,3
9.2099,65102.759,17.73864,11.42752,5.21697,3
9.2298,65102.779,14.3293,11.71004,8.68616,3
9.2504,65102.799,9.47625,7.8434,9.32542,3
9.2838,65102.819,7.59441,8.15944,5.54976,3
9.2973,65102.84,9.72525,10.3238,6.53856,3
9.3157,65102.86,9.7037,8.10437,6.64391,3
9.3313,65102.88,4.01986,7.18979,4.69024,3
9.3513,65102.9,-1.36469,6.32069,-3.20105,3
9.3717,65102.92,-2.68629,5.37019,-1.95846,3
9.3941,65102.94,-2.84192,5.50188,2.67911,3
9.4153,65102.961,-3.11725,4.55138,5.284,3
9.435,65102.981,-3.91213,4.23774,6.96234,3
9.4618,65103.001,-1.3216,5.284,8.00861,3
9.4765,65103.021,-0.80685,5.284,9.05008,3
9.4934,65103.042,-3.03585,3.96959,8.60955,3
9.5217,65103.062,-3.78763,4.60884,9.48822,3
9.5409,65103.082,-2.20267,4.8722,9.56244,3
9.5596,65103.102,-1.6113,5.46596,10.7787,3
9.5752,65103.122,-4.05099,4.9967,8.62631,3
9.5931,65103.142,-5.23612,4.86981,8.25281,3
9.6126,65103.162,-4.01268,5.03022,10.34774,3
9.6355,65103.182,-1.84832,5.79397,12.72758,3
9.6552,65103.202,-2.65038,6.16746,11.01812,3
9.676,65103.222,-3.77087,6.17465,10.26873,3
9.6954,65103.242,0.27054,7.2688,9.81623,3
9.718,65103.262,1.8579,7.48906,12.24634,3
9.7342,65103.282,-0.50278,7.10599,7.97748,3
9.7532,65103.302,-0.65841,7.82665,7.32626,3
9.7764,65103.322,-2.2697,7.08684,6.7708,3
9.7961,65103.342,-3.46441,5.91128,6.50744,3
9.8139,65103.363,3.68468,8.35576,9.76834,3
