SensorTimestamp(s),gyro_x,gyro_y,gyro_z
65094.7441,0.04826,0.78435,0.70188
65094.7541,0.02016,0.75442,0.76419
65094.7641,0.01527,0.76236,0.80207
65094.774,0.03176,0.79351,0.80695
65094.7841,0.03848,0.83322,0.78679
65094.7951,0.00367,0.89553,0.75808
65094.805,-0.04215,0.91752,0.7477
65094.8151,-0.10507,0.92302,0.7813
65094.8251,-0.17471,0.86621,0.83322
65094.8351,-0.25717,0.70921,0.90347
65094.8461,-0.28222,0.59071,0.96883
65094.8561,-0.28039,0.47953,1.0061
65094.8661,-0.24618,0.38301,0.98349
65094.8761,-0.18021,0.30543,0.91141
65094.886,-0.12401,0.28039,0.83139
65094.8961,-0.03726,0.41294,0.74648
65094.9071,-0.01772,0.59376,0.65607
65094.917,-0.06353,0.68906,0.5681
65094.9271,-0.16249,0.64996,0.5455
65094.9371,-0.33109,0.51862,0.562
65094.9471,-0.48442,0.41783,0.58887
65094.9571,-0.62186,0.38118,0.59926
65094.967,-0.6805,0.3769,0.59987
65094.977,-0.67256,0.36713,0.59376
65094.9871,-0.61331,0.37385,0.56261
65094.9971,-0.54123,0.34941,0.50885
65095.0081,-0.50457,0.2474,0.46609
65095.0181,-0.50457,0.04704,0.43555
65095.029,-0.52962,-0.10446,0.38423
65095.0391,-0.57666,-0.21869,0.27794
65095.0491,-0.59987,-0.26206,0.16554
65095.0591,-0.6298,-0.30849,0.00305
65095.0691,-0.64691,-0.37996,-0.08919
65095.0791,-0.65179,-0.50702,-0.14416
65095.089,-0.61025,-0.5229,-0.14539
65095.0991,-0.551,-0.47831,-0.13928
65095.1091,-0.51007,-0.45998,-0.13378
65095.1191,-0.46914,-0.51129,-0.15516
65095.1301,-0.45204,-0.60659,-0.22052
65095.1401,-0.40928,-0.77397,-0.32437
65095.1498,-0.35308,-0.86315,-0.44715
65095.1601,-0.26939,-0.91752,-0.5962
65095.1701,-0.20342,-1.01892,-0.72998
65095.18,-0.16249,-1.12094,-0.82772
65095.1901,-0.11362,-1.13438,-0.88514
65095.2001,-0.05559,-1.1301,-0.91996
65095.2111,0.02871,-1.14965,-0.92729
65095.2211,0.17165,-1.14659,-0.92852
65095.2311,0.35003,-1.10933,-0.92607
65095.2411,0.58826,-1.08795,-0.9499
65095.2511,0.78313,-1.11483,-0.99205
65095.261,0.94745,-1.1753,-1.05374
65095.271,1.07085,-1.20829,-1.12094
65095.2811,1.13987,-1.24311,-1.17836
65095.2911,1.16614,-1.31336,-1.20768
65095.3011,1.18508,-1.36712,-1.22295
65095.311,1.19668,-1.42454,-1.22845
65095.3211,1.24494,-1.52961,-1.22601
65095.331,1.28221,-1.59008,-1.21623
65095.3411,1.32558,-1.67011,-1.19058
65095.3511,1.34696,-1.70798,-1.16797
65095.3611,1.38422,-1.70187,-1.15759
65095.3711,1.41415,-1.64262,-1.22173
65095.3809,1.37261,-1.48624,-1.53083
65095.391,1.34879,-1.46852,-1.58214
65095.4011,1.22662,-1.38117,-1.78617
65095.4111,1.09895,-1.32069,-1.9004
65095.4211,0.94684,-1.26693,-1.94316
65095.4311,0.83444,-1.20646,-1.92056
65095.4411,0.76541,-1.15637,-1.86742
65095.4509,0.75625,-1.07512,-1.79289
65095.4609,0.76236,-1.07268,-1.79167
65095.4711,0.76541,-1.04702,-1.76112
65095.4811,0.77458,-0.99632,-1.7147
65095.4911,0.7703,-0.97005,-1.67988
65095.5011,0.75136,-1.0006,-1.64934
65095.5111,0.71654,-1.05435,-1.66033
65095.521,0.61881,-1.10506,-1.71287
65095.5311,0.50702,-1.10933,-1.76479
65095.5411,0.30116,-1.10567,-1.8326
65095.5511,0.05681,-1.09223,-1.89857
65095.5611,-0.27917,-1.04091,-1.93889
65095.5711,-0.49236,-1.04947,-1.92667
65095.581,-0.67501,-1.14476,-1.87963
65095.5911,-0.77946,-1.2034,-1.80633
65095.6011,-0.80207,-1.22356,-1.72936
65095.6111,-0.78069,-1.21379,-1.67683
65095.6211,-0.77336,-1.08551,-1.65606
65095.6321,-0.78802,-0.85765,-1.664
65095.6421,-0.85094,-0.65424,-1.70065
65095.6521,-0.91324,-0.57544,-1.73913
65095.662,-0.97372,-0.48625,-1.75318
65095.672,-1.00243,-0.50763,-1.71103
65095.6821,-0.97433,-0.54367,-1.58703
65095.6921,-0.91385,-0.48381,-1.40804
65095.7021,-0.90347,-0.30849,-1.1863
65095.7121,-0.96028,-0.01894,-1.04214
65095.722,-1.11055,0.21014,-0.88942
65095.732,-1.28221,0.31337,-0.74403
65095.7421,-1.44653,0.49724,-0.54428
65095.7521,-1.5235,0.61758,-0.39095
65095.7621,-1.60352,0.75808,-0.20281
65095.7721,-1.65606,0.91874,-0.10629
65095.7821,-1.82343,1.17225,0.00794
65095.792,-2.00669,1.29992,0.13134
65095.8021,-2.23943,1.31397,0.33842
65095.8121,-2.36283,1.11177,0.54795
65095.8221,-2.30785,0.69761,0.77641
65095.8321,-2.09099,0.39095,0.90408
65095.8431,-1.72569,0.07086,0.98655
65095.8531,-1.41415,0.01955,1.0287
65095.8631,-1.13377,0.14661,1.15331
65095.873,-0.97738,0.3091,1.28831
65095.8831,-0.83627,0.50519,1.46424
65095.893,-0.71349,0.64874,1.58336
65095.9031,-0.52534,0.84727,1.68782
65095.9131,-0.3146,1.02014,1.70798
65095.923,-0.11057,1.06168,1.64384
65095.9341,-0.08186,1.04947,1.54977
65095.9441,-0.1686,1.10994,1.43065
65095.9541,-0.34697,1.03175,1.21684
65095.964,-0.72815,0.69761,1.11239
65095.9741,-1.10444,0.58032,1.21623
65095.9841,-1.43126,0.70127,1.32191
65095.9941,-1.61757,0.81428,1.38239
65096.0041,-1.68843,0.79962,1.41476
65096.0141,-1.6921,0.78863,1.41721
65096.024,-1.60719,0.82711,1.49112
65096.0341,-1.4111,0.86071,1.62368
65096.0441,-1.14659,0.8546,1.79167
65096.055,-0.82467,0.81245,1.8949
65096.0651,-0.58338,0.79779,2.03296
65096.076,-0.50519,0.99754,2.25898
65096.0861,-0.47403,1.56931,2.40375
65096.0961,-0.39462,1.93095,2.46973
65096.1061,-0.16799,1.69271,2.46301
65096.1171,0.03482,1.20524,2.39765
65096.1271,0.27306,0.69822,2.26326
65096.1371,0.416,0.58643,2.13253
65096.1471,0.48442,1.22173,1.97859
65096.1571,0.36835,1.86008,1.85031
65096.167,0.04826,2.48195,1.72875
65096.1771,-0.28222,2.63833,1.59008
65096.1871,-0.60842,2.71224,1.46058
65096.1971,-0.92118,2.75683,1.31703
65096.207,-1.24983,2.74095,1.13499
65096.2171,-1.63529,2.76722,0.91935
65096.227,-2.15391,2.82525,0.6915
65096.2371,-2.68659,2.81914,0.54123
65096.2471,-3.34449,2.73057,0.39951
65096.2569,-3.84845,2.47278,0.32987
65096.2671,-4.40373,1.90346,0.32193
65096.2771,-4.7788,1.30359,0.38362
65096.2881,-5.05369,0.55039,0.60781
65096.2981,-5.12394,0.02993,0.89553
65096.3081,-5.05858,-0.08858,1.35551
65096.318,-4.88142,0.2248,1.6921
65096.3281,-4.62608,0.7648,1.88757
65096.3381,-4.4019,1.18141,1.89368
65096.3481,-4.01644,1.62307,1.70676
65096.3581,-3.64259,1.76174,1.49418
65096.3681,-3.00118,1.79472,1.19607
65096.378,-2.3445,1.75013,0.98594
65096.3881,-1.17714,1.49967,0.73548
65096.3981,-0.2022,1.04702,0.54306
65096.4081,1.14476,-0.02871,0.18998
65096.4181,2.30724,-1.07696,-0.22846
65096.4281,3.32555,-2.06595,-0.65179
65096.438,4.16182,-2.56197,-0.95784
65096.4481,4.85577,-3.12519,-1.23456
65096.4581,5.19052,-3.66825,-1.54854
65096.4681,4.80995,-3.0812,-2.36649
65096.4781,4.30782,-3.28645,-2.58701
65096.4881,1.82221,-5.94066,-1.50578
65096.498,0.67867,-6.13431,-0.50457
65096.508,0.27428,-4.09829,0.07941
65096.5181,-0.59987,-0.50091,-0.0055
65096.528,-0.97983,1.92178,0.10324
65096.5381,-1.24555,2.96697,0.29871
65096.5481,-1.49112,2.58824,0.4105
65096.5581,-1.38178,1.15759,0.37935
65096.568,-0.85277,-0.86132,0.16249
65096.578,-0.39951,-2.12398,-0.0898
65096.588,-0.16799,-2.65665,-0.32376
65096.5981,-0.19059,-2.6145,-0.62492
65096.6081,-0.36224,-2.23638,-0.92302
65096.6181,-0.49602,-2.21744,-0.99632
65096.628,-0.36163,-3.16123,-0.84483
65096.638,-0.10324,-4.06714,-0.65363
65096.648,0.16677,-4.44832,-0.41844
65096.658,0.2248,-3.98528,-0.29444
65096.6681,0.11484,-2.86313,-0.24129
65096.6781,-0.03787,-2.01036,-0.26023
65096.688,-0.23763,-1.45447,-0.23946
65096.698,-0.38057,-1.23822,-0.12156
65096.708,-0.48991,-1.29137,0.01772
65096.718,-0.4496,-1.59253,-0.02382
65096.728,-0.17654,-1.72875,-0.17959
65096.7381,0.21441,-1.73608,-0.30238
65096.748,0.75564,-1.78556,-0.47586
65096.758,1.1637,-1.85642,-0.67806
65096.768,1.45508,-1.90407,-0.90347
65096.778,1.54366,-2.40864,-1.0513
65096.7881,1.64262,-3.48865,-1.19668
65096.7981,1.95477,-3.92298,-1.10506
65096.8081,2.52043,-4.33165,-0.81856
65096.8191,3.05799,-4.33775,-0.56077
65096.83,3.71101,-4.17649,-0.51435
65096.8401,4.2223,-3.95413,-0.821
65096.8501,4.62181,-3.61388,-1.2761
65096.86,4.64135,-3.55279,-1.42148
65096.87,2.20889,-2.56869,-1.56809
65096.8811,0.3824,-1.92239,-1.45203
65096.891,-0.29505,-0.55955,-1.05802
65096.901,-0.53634,0.6524,-0.85765
65096.911,-0.57421,1.22845,-0.77641
65096.9211,-0.46853,1.34513,-0.84422
65096.9311,-0.24801,1.49906,-0.98227
65096.942,-0.08002,1.46302,-1.20585
65096.9521,0.20708,1.3268,-1.45814
65096.9621,0.48258,1.24067,-1.73852
65096.972,0.75564,1.06046,-2.12642
65096.982,0.91447,0.8772,-2.43796
65096.992,1.06657,0.35552,-2.86374
65097.002,1.16797,-0.11362,-3.26324
65097.0121,1.2144,-0.40012,-3.60044
65097.0221,1.1753,-0.54978,-3.75621
65097.0319,1.02014,-0.66645,-3.85456
65097.042,0.8436,-0.70066,-3.97673
65097.052,0.64813,-0.53695,-4.11418
65097.062,0.50213,-0.46731,-4.21925
65097.0721,0.3769,-0.416,-4.36952
65097.0821,0.3598,-0.24679,-4.44404
65097.0921,0.35613,0.13989,-4.39151
65097.1031,0.23335,0.57116,-4.27422
65097.114,-0.13073,0.54184,-4.07814
65097.1241,-0.50702,-0.04398,-3.69635
65097.1341,-0.81612,-0.66584,-3.2608
65097.1441,-0.89797,-0.97066,-3.08059
65097.154,-0.86621,-0.99693,-2.97308
65097.164,-0.86499,-0.73304,-2.85946
65097.174,-1.0403,-0.38423,-2.61573
65097.1841,-1.29992,-0.13134,-2.27914
65097.1941,-1.64078,0.81245,-1.82465
65097.2041,-1.97798,1.70492,-1.53938
65097.214,-2.27425,2.06228,-1.29381
65097.2251,-2.30296,2.23577,-1.02442
65097.2351,-2.30052,2.26692,-0.65912
65097.245,-2.37321,1.94072,-0.38607
65097.255,-2.39154,1.79961,-0.22113
65097.265,-2.34389,1.77212,-0.11423
65097.2751,-2.2547,1.49967,0.01161
65097.285,-2.15025,1.22173,0.146
65097.2951,-2.07939,0.77824,0.39218
65097.305,-2.11665,0.35125,0.71288
65097.315,-2.16002,0.01344,1.09589
65097.325,-2.17346,-0.05742,1.4337
65097.3351,-2.04518,0.48564,1.72447
65097.3451,-1.84603,0.67745,1.94377
65097.3551,-1.54915,0.8601,2.17285
65097.365,-1.29015,0.90591,2.34267
65097.375,-0.94379,0.67989,2.59068
65097.385,-0.61514,0.33903,2.74645
65097.395,-0.20036,0.01527,2.81731
65097.4051,0.11362,-0.13439,2.75073
65097.4151,0.43555,-0.10812,2.5583
65097.425,0.64752,0.08308,2.39948
65097.435,0.88759,0.31215,2.39887
65097.4461,1.16675,0.48014,2.50882
65097.456,1.55343,0.68417,2.62794
65097.466,1.83809,0.81856,2.61817
65097.476,1.9957,0.978,2.4624
65097.486,2.00914,1.06474,2.30418
65097.496,1.89857,1.11911,2.14047
65097.506,1.75074,0.91813,2.05923
65097.516,1.56809,0.58582,1.82832
65097.526,1.46241,0.63225,1.60474
65097.5359,1.42026,0.75931,1.47096
65097.546,1.40743,0.92546,1.47707
65097.556,1.49173,1.08551,1.62368
65097.566,1.62185,1.17714,1.78189
65097.576,1.79533,1.26022,2.05678
65097.586,1.91567,1.26755,2.28769
65097.5959,1.86986,0.99266,2.57663
65097.606,1.73608,0.31521,2.78799
65097.616,1.57542,0.01405,2.91933
65097.626,1.41232,0.13317,2.98408
65097.637,1.24678,0.11729,3.11602
65097.648,1.17714,0.13011,3.27485
65097.658,1.05008,0.36224,3.4746
65097.668,0.84177,0.58093,3.61693
65097.678,0.51679,0.94562,3.6939
65097.688,0.3036,1.24678,3.61144
65097.698,0.20708,1.38178,3.41413
65097.708,0.24496,1.19302,3.19666
65097.719,0.30788,0.5455,3.04944
65097.73,0.25717,-0.04765,3.10381
65097.74,0.04276,-0.49419,3.4575
65097.75,-0.17043,-0.48869,3.88266
65097.76,-0.45693,-0.33659,4.33653
65097.77,-0.72754,-0.22235,4.46543
65097.7808,-1.05496,-0.09102,4.30782
65097.791,-1.32924,-0.03848,4.0421
65097.801,-1.51556,-0.02871,3.76782
65097.811,-1.55832,-0.05437,3.57051
65097.821,-1.53205,-0.10263,3.33655
65097.831,-1.46608,-0.13011,2.94865
65097.841,-1.39461,-0.21136,2.34817
65097.851,-1.35918,-0.46853,1.73669
65097.861,-1.22906,-0.85949,1.10444
65097.872,-0.97128,-1.15698,0.67134
65097.882,-0.68111,-1.32558,0.32498
65097.893,-0.60353,-1.24372,0.11179
65097.903,-0.78985,-0.89186,-0.06781
65097.913,-1.18141,-0.48503,-0.26634
65097.924,-1.76662,-0.17471,-0.62736
65097.934,-2.04457,-0.22969,-0.96028
65097.944,-2.08061,-0.60781,-1.37994
65097.954,-1.77884,-1.14354,-1.66216
65097.964,-1.18325,-1.8045,-1.84665
65097.974,-0.69883,-2.18507,-1.97615
65097.984,-0.26756,-2.41903,-2.15758
65097.994,-0.1576,-2.39704,-2.34511
65098.004,-0.29199,-2.16735,-2.67192
65098.014,-0.51129,-2.00669,-3.0189
65098.024,-0.60048,-1.94438,-3.3567
65098.034,-0.42822,-1.92361,-3.63709
65098.045,0.03543,-1.98837,-3.89671
65098.055,0.36896,-2.11604,-4.05248
65098.065,0.68417,-2.38787,-4.28644
65098.075,0.79596,-2.59923,-4.45871
65098.085,0.90347,-2.84175,-4.67801
65098.095,0.96944,-2.87412,-4.85455
65098.105,1.00426,-2.70186,-4.96206
65098.115,0.95173,-2.48805,-4.9419
65098.125,0.73915,-2.16185,-4.8295
65098.135,0.44227,-1.89429,-4.6835
65098.145,0.08613,-1.57176,-4.4752
65098.155,-0.13744,-1.28587,-4.27728
65098.165,-0.33048,-0.98105,-4.03171
65098.175,-0.40684,-0.77885,-3.85395
65098.185,-0.40561,-0.70983,-3.7385
65098.195,-0.32132,-0.63958,-3.69879
65098.205,-0.10996,-0.40745,-3.62365
65098.215,0.0843,-0.12584,-3.4746
65098.2248,0.14783,0.11484,-3.19788
65098.236,0.03787,0.40684,-2.87901
65098.246,-0.22541,0.77946,-2.46606
65098.257,-0.53023,1.11849,-2.05006
65098.267,-0.75747,1.26877,-1.72264
65098.277,-0.90775,1.3549,-1.55648
65098.287,-0.97922,1.4282,-1.43065
65098.297,-1.01281,1.35673,-1.37933
65098.307,-1.07634,1.06535,-1.33413
65098.317,-1.1527,0.68173,-1.28282
65098.327,-1.23334,0.14905,-1.10994
65098.337,-1.24067,-0.32742,-0.88453
65098.347,-1.15637,-0.81673,-0.71227
65098.358,-1.05924,-0.91996,-0.68173
65098.368,-1.03542,-0.7025,-0.68478
65098.378,-1.15698,-0.33475,-0.62064
65098.388,-1.46485,-0.04398,-0.40623
65098.398,-1.76601,0.01588,-0.12339
65098.408,-2.10932,-0.08919,0.25168
65098.418,-2.38054,-0.13683,0.49175
65098.428,-2.67864,-0.04154,0.64752
65098.438,-2.89061,0.07941,0.77885
65098.448,-3.07693,0.20525,1.04336
65098.458,-3.15451,0.3317,1.38361
65098.468,-3.08731,0.44043,1.8045
65098.478,-2.89794,0.45876,2.06472
65098.488,-2.44529,0.55405,2.21866
65098.498,-1.61757,1.23456,2.26998
65098.508,-0.42761,2.24615,2.4062
65098.518,0.50091,2.95659,2.61511
65098.5279,1.09223,3.39397,2.79898
65098.538,1.30908,3.40374,2.78127
65098.548,1.28954,2.98347,2.58457
65098.558,1.17592,2.52471,2.41047
65098.568,1.00976,1.98409,2.29074
65098.578,0.86315,1.41843,2.2376
65098.5879,0.69455,0.58887,2.16552
65098.598,0.62369,-0.19426,2.02135
65098.608,0.80268,-1.14232,1.5852
65098.618,1.23089,-1.507,1.20707
65098.628,1.94499,-1.30175,0.83689
65098.638,2.44713,-0.59254,0.6689
65098.648,2.71652,0.4215,0.68539
65098.6579,2.76844,1.16187,0.86743
65098.668,2.75745,1.9621,1.19546
65098.678,2.70125,2.44529,1.57359
65098.688,2.58824,2.63955,1.92239
65098.698,2.43613,2.54181,2.10993
65098.708,2.2266,2.16735,2.11604
65098.718,2.06534,1.70065,1.92423
65098.728,1.96271,1.51861,1.61085
65098.738,1.78739,1.7037,1.39522
65098.748,1.40866,2.03846,1.32008
65098.758,1.03236,2.34633,1.34085
65098.768,0.63225,2.49233,1.41232
65098.778,0.42883,2.43735,1.44775
65098.788,0.3207,2.23943,1.42393
65098.798,0.29077,1.97371,1.3549
65098.808,0.2981,1.4563,1.2144
65098.818,0.35919,1.00121,1.02259
65098.828,0.43127,0.7929,0.7929
65098.8379,0.41417,0.77458,0.70005
65098.848,0.25901,0.72998,0.58521
65098.858,0.03726,0.63835,0.54245
65098.868,-0.18143,0.55344,0.56077
65098.878,-0.31948,0.38301,0.56872
65098.888,-0.39218,0.03421,0.51496
65098.898,-0.41783,-0.44715,0.37813
65098.908,-0.40256,-0.90469,0.11423
65098.918,-0.34575,-1.14476,-0.11912
65098.928,-0.2645,-1.2144,-0.28955
65098.938,-0.31521,-1.17469,-0.35919
65098.948,-0.60048,-1.19668,-0.39279
65098.958,-0.9841,-1.31519,-0.42089
65098.968,-1.43187,-1.59008,-0.4612
65098.978,-1.63834,-1.90223,-0.52229
65098.988,-1.58703,-2.3671,-0.63225
65098.998,-1.32375,-2.76844,-0.75136
65099.008,-1.04641,-3.06471,-0.92974
65099.018,-1.06168,-3.15084,-1.07696
65099.028,-1.35734,-3.17528,-1.31336
65099.038,-1.6866,-3.11175,-1.46974
65099.048,-1.90956,-3.08487,-1.62246
65099.058,-1.85764,-3.10258,-1.70859
65099.069,-1.529,-3.01829,-1.69088
65099.0788,-1.08673,-2.80937,-1.59191
65099.089,-0.56139,-2.65299,-1.48074
65099.0989,-0.16616,-2.59496,-1.41782
65099.109,0.28344,-2.59557,-1.29381
65099.119,0.5791,-2.61573,-1.15576
65099.129,0.81856,-2.58335,-0.96089
65099.139,1.01159,-2.49905,-0.74403
65099.149,1.13193,-2.39704,-0.54856
65099.159,1.12277,-2.37443,-0.44899
65099.169,1.15881,-2.18445,-0.34697
65099.179,1.26755,-1.8668,-0.26328
65099.189,1.33902,-1.45569,-0.21625
65099.1988,1.36101,-1.12399,-0.16554
65099.209,1.39705,-0.79107,-0.07025
65099.219,1.4282,-0.60659,-0.01038
65099.229,1.42332,-0.42944,0.04398
65099.239,1.35368,-0.25168,0.07636
65099.2488,1.16064,0.00611,0.07391
65099.259,0.94073,0.24129,0.05315
65099.269,0.67501,0.34331,0.00733
65099.28,0.50152,0.19364,-0.01527
65099.29,0.58887,0.01894,-0.06903
65099.3,0.90225,0.08125,-0.23396
65099.31,1.36651,0.62919,-0.51435
65099.3199,1.59741,1.28709,-0.66279
65099.33,1.60841,2.13742,-0.67745
65099.34,1.4563,2.68597,-0.53512
65099.35,1.31458,2.90589,-0.27428
65099.36,1.25777,2.55097,-0.11606
65099.37,1.24678,1.97371,-0.14905
65099.38,1.23089,1.54732,-0.31826
65099.39,1.11361,1.05008,-0.64935
65099.4,0.91813,0.75198,-0.89614
65099.411,0.63163,0.79718,-1.02992
65099.422,0.26328,1.12338,-1.03236
65099.432,-0.09285,1.21257,-1.00854
65099.443,-0.29932,1.20951,-1.01098
65099.453,-0.42883,1.29809,-1.07024
65099.463,-0.51679,1.31214,-1.16309
65099.473,-0.56077,1.17225,-1.22112
65099.483,-0.5565,1.02198,-1.25472
65099.493,-0.5901,0.84238,-1.3268
65099.503,-0.73426,0.46181,-1.41843
65099.513,-0.97311,-0.04887,-1.50273
65099.523,-1.15942,-0.35491,-1.54121
65099.533,-1.32375,-0.67745,-1.49418
65099.543,-1.45814,-0.86865,-1.38239
65099.553,-1.5968,-0.89858,-1.27243
65099.563,-1.69026,-0.87965,-1.24311
65099.573,-1.70431,-0.98838,-1.2761
65099.583,-1.67316,-1.4563,-1.34451
65099.593,-1.56504,-2.25165,-1.41843
65099.603,-1.4001,-2.91261,-1.43553
65099.613,-1.20524,-3.72139,-1.47952
65099.623,-1.10322,-4.41717,-1.47646
65099.633,-1.10322,-5.10744,-1.31947
65099.643,-1.01831,-5.17342,-1.08551
65099.653,-1.16797,-4.98283,-0.66645
65099.663,-1.46791,-4.23818,-0.40928
65099.673,-1.73608,-2.51676,-0.43677
65099.683,-1.85886,-2.18995,-0.52046
65099.693,-1.71592,-2.47523,-0.74464
65099.703,-1.37872,-3.48682,-1.04763
65099.713,-0.58399,-5.11294,-1.46424
65099.723,0.41783,-6.33162,-1.71653
65099.733,1.74524,-7.34688,-1.77029
65099.743,2.496,-7.82579,-1.70248
65099.753,2.98286,-8.38962,-1.69882
65099.763,3.18994,-9.10189,-1.84298
65099.773,3.29867,-9.9736,-2.06228
65099.783,3.33594,-10.58263,-2.12398
65099.794,3.25286,-11.10492,-1.97737
65099.804,3.07204,-11.31445,-1.89185
65099.814,2.64505,-11.03162,-1.93217
65099.825,2.2376,-10.43602,-2.23943
65099.835,1.86864,-9.75979,-2.68292
65099.845,1.73974,-9.06891,-2.9517
65099.855,1.84603,-8.90153,-3.06838
65099.865,1.9847,-9.21796,-3.01279
65099.875,2.13742,-9.81966,-2.99019
65099.885,2.43247,-10.36516,-3.11419
65099.895,2.88451,-11.01879,-3.34265
65099.905,3.17711,-11.31139,-3.52836
