SensorTimestamp(s),acc_x,acc_y,acc_z
65094.6532,0.00239,5.84903,5.09247
65094.6751,0.39265,5.35822,5.37738
65094.6951,0.13647,5.24809,5.71496
65094.7151,0.7015,5.3271,5.68144
65094.7351,1.07739,5.29837,5.78918
65094.7551,1.02951,5.17866,5.60004
65094.775,1.94888,5.67905,6.02621
65094.7962,2.30322,5.75087,5.77003
65094.8161,2.01592,5.17866,5.36541
65094.8361,1.94649,5.60483,4.95121
65094.8571,2.50433,6.04296,5.61201
65094.8772,3.67031,6.28957,6.37576
65094.8971,4.12282,6.17225,6.89051
65094.9181,3.45962,5.58088,5.24091
65094.9381,2.9305,5.32231,4.23534
65094.9581,3.39498,5.30795,5.15472
65094.9781,3.93367,5.62398,6.21774
65094.9981,4.20661,6.37576,6.19859
65095.0191,4.57293,6.8977,5.45639
65095.0401,5.55694,7.45794,5.96396
65095.0601,5.79157,7.40766,6.47871
65095.0802,4.78601,7.36217,7.24007
65095.1001,4.31675,7.78116,8.22887
65095.1201,4.4604,8.76278,8.31267
65095.1411,4.92727,9.80665,8.90882
65095.1612,4.58011,10.54406,9.52174
65095.1811,3.85227,10.64941,9.75637
65095.2011,3.26569,10.19691,10.41238
65095.2221,3.17471,10.01255,11.37246
65095.2421,3.36625,10.12029,11.48499
65095.2621,3.62722,9.90002,10.43154
65095.2821,3.3854,9.13148,8.83939
65095.3021,2.80122,8.24802,7.80749
65095.3222,2.38223,7.58962,7.3095
65095.3421,2.16196,7.15148,7.19218
65095.3621,2.61926,7.08444,7.41724
65095.382,3.49075,7.12993,6.50744
65095.4021,2.88501,6.53378,5.54018
65095.4221,1.50595,5.60004,4.8722
65095.4422,0.69671,4.97276,5.10204
65095.4519,0.4956,4.35745,4.96557
65095.4619,0.44293,4.31435,4.91051
65095.4821,0.00239,4.2521,4.48673
65095.5022,-0.18675,4.2928,3.35907
65095.5221,-0.15323,4.2521,2.36787
65095.5421,-0.7422,3.87142,1.29047
65095.5622,-2.09493,3.66552,0.88825
65095.5821,-3.36385,3.26569,1.79086
65095.6021,-3.95522,3.27048,3.28006
65095.6221,-4.1276,3.76368,4.22816
65095.6431,-4.30238,4.74531,4.27365
65095.6631,-5.27443,4.96079,4.72137
65095.6831,-6.80672,4.24253,5.95677
65095.7031,-7.8458,3.77805,6.69179
65095.7231,-9.32542,4.89614,5.68144
65095.7431,-10.00297,5.3678,6.25844
65095.7631,-8.82742,5.62159,7.33105
65095.7832,-8.05409,7.05092,6.68701
65095.8031,-8.25281,9.27993,5.6168
65095.8231,-8.14986,10.95826,7.93438
65095.8441,-6.79235,11.79863,11.49935
65095.8642,-6.55532,12.21043,13.10347
65095.8841,-5.16908,11.74356,13.27345
65095.9041,-2.67432,11.61906,14.15213
65095.9241,0.46448,11.90637,11.46104
65095.9451,0.73502,11.48738,9.04051
65095.9651,-1.30005,8.91361,6.39491
65095.9851,-2.57856,9.55287,8.56167
65096.0051,-1.84832,6.62954,8.99502
65096.025,-2.42772,4.30717,10.25915
65096.0451,-1.64242,2.9712,9.16261
65096.0661,0.25857,1.64482,7.11796
65096.0871,0.2466,1.62806,7.64469
65096.1071,-0.6201,2.41096,6.7301
65096.1281,-1.46046,2.16915,6.21535
65096.1481,-1.9417,1.31681,9.38288
65096.168,0.577,0.56264,5.782
65096.1881,0.63446,2.0662,3.1364
65096.2081,0.83318,2.95684,2.6025
65096.2281,0.34477,2.62644,2.52109
65096.2481,-0.52433,2.27689,1.89381
65096.2681,-1.38385,1.24738,1.6927
65096.2891,-0.84515,0.68474,4.82192
65096.3092,-0.9505,0.90022,8.22169
65096.3291,0.52672,1.01993,10.13705
65096.3491,1.37188,0.23463,11.46583
65096.3692,1.35512,0.12689,13.56315
65096.3891,0.33519,0.82361,15.28937
65096.4091,-0.09098,1.71664,14.65012
65096.4292,0.64643,1.28808,13.98453
65096.4491,0.04549,0.86191,12.5097
65096.4691,2.69587,2.91135,12.54322
65096.4892,-0.93374,2.38462,-1.403
65096.5091,0.2083,0.9098,13.89355
65096.5291,2.96402,0.16041,11.73159
65096.5491,2.22421,3.65834,8.82982
65096.569,1.4868,5.02543,11.58075
65096.5891,2.6001,4.90811,11.58075
65096.6091,5.68384,4.18985,12.44027
65096.6291,2.45645,2.53067,9.88805
65096.6491,-0.85712,1.00078,9.75637
65096.6691,0.76614,1.33357,11.93031
65096.6891,2.28886,2.81558,12.43548
65096.7091,3.40934,3.14359,11.89918
65096.7291,5.84903,4.67827,13.23275
65096.7491,5.34625,4.50589,13.61343
65096.7691,3.04782,3.31836,14.27902
65096.7891,-1.13485,1.69031,12.28944
65096.8092,-0.11492,2.49955,11.21923
65096.8311,6.97192,6.61757,13.05558
65096.8512,7.48667,8.99502,11.81778
65096.8711,3.61524,8.15705,-0.72784
65096.8921,2.71263,5.76284,8.56885
65096.9121,4.96079,4.99191,9.39724
65096.9321,6.79474,6.05972,8.32943
65096.9531,8.20972,7.41005,7.41484
65096.9731,8.48744,6.04536,7.00065
65096.9931,6.87854,5.29358,5.01346
65097.0131,5.15232,3.85466,3.49793
65097.033,3.73974,2.82755,2.56898
65097.0531,3.25133,2.10211,2.65517
65097.0731,2.46603,2.06141,3.84269
65097.0932,-0.66559,0.19872,3.89537
65097.1151,-5.33668,-1.16598,-1.12767
65097.1351,-6.42364,-0.67516,0.60094
65097.1551,-5.39174,1.04627,4.8722
65097.1751,-8.03494,0.18914,4.78122
65097.1951,-8.94474,-0.05507,7.01262
65097.2151,-9.58399,0.93134,6.59842
65097.2362,-11.28387,0.7829,5.86819
65097.2561,-10.83137,2.88022,7.38132
65097.2761,-10.55364,3.27527,8.04212
65097.2962,-12.27747,3.25611,7.48427
65097.3161,-11.75074,3.29921,9.52892
65097.3361,-9.87608,5.30555,16.00763
65097.3562,-7.77637,6.28478,17.06826
65097.3761,-6.73968,6.42125,16.08904
65097.3961,-3.17711,7.53455,16.06988
65097.4162,-0.94092,8.73644,16.34043
65097.4361,-2.00874,7.69975,16.57506
65097.4571,-1.08697,7.28556,16.03876
65097.4771,1.71904,8.339,12.52886
65097.4971,0.58658,8.05888,8.1762
65097.5171,1.79086,8.45393,7.44836
65097.5371,0.41899,6.4021,9.10275
65097.5571,-1.49877,4.10606,9.43794
65097.5771,-2.86107,2.79164,7.92241
65097.5971,-2.66953,1.4437,2.73418
65097.6171,-0.05746,0.92416,1.98719
65097.6381,1.10852,0.46687,2.09971
65097.6591,1.75256,-0.68474,2.02549
65097.6792,4.707,-0.2897,2.71502
65097.6991,6.34942,1.35272,3.29203
65097.7201,4.71179,0.95529,0.73023
65097.7411,2.70545,-2.19548,-0.00239
65097.7611,5.00867,-2.62883,0.54588
65097.7819,10.17536,0.57461,0.43814
65097.8021,11.32218,1.41258,2.37265
65097.8222,13.13938,2.2697,3.9648
65097.8421,16.38831,5.78439,4.0462
65097.8621,16.40268,6.47392,5.19781
65097.8831,14.57829,5.81073,6.47871
65097.9041,14.58787,6.74686,4.82432
65097.9251,15.62935,8.35337,3.93607
65097.9451,15.18403,8.62391,7.41245
65097.9651,13.6254,8.60237,11.30542
65097.9851,14.2862,10.18493,11.24796
65098.0051,15.35402,11.41077,9.44034
65098.0251,14.03481,10.50815,10.86728
65098.0462,11.37246,8.27436,12.27268
65098.0661,9.50977,7.15148,9.25838
65098.0861,7.98945,5.94001,8.20493
65098.1062,5.3678,3.60088,7.73806
65098.1261,2.35589,1.60172,5.16669
65098.1461,0.4142,0.6201,4.16831
65098.1662,-0.87867,0.2059,4.72855
65098.1861,-0.81882,0.68235,5.95438
65098.2061,-1.72383,0.96007,7.35978
65098.226,-4.13957,0.3304,4.80037
65098.2471,-6.18183,0.56982,1.97043
65098.2681,-5.68623,2.01831,1.41258
65098.2881,-4.94642,3.63679,1.68552
65098.3081,-5.30555,4.35984,0.46926
65098.3281,-7.49146,3.99353,0.73263
65098.3482,-6.30872,3.99353,3.34709
65098.3692,-6.30154,5.71975,4.81474
65098.3891,-9.05248,4.63757,2.63841
65098.4091,-10.16339,4.45561,2.73178
65098.4292,-10.0748,5.7796,5.284
65098.4491,-11.41077,5.08768,9.25359
65098.4691,-10.44111,4.16352,13.58709
65098.4892,-4.99909,6.73728,21.0163
65098.5091,-1.72383,9.86411,27.17179
65098.5291,1.13006,12.50492,19.57978
65098.5491,2.33914,15.95017,10.8194
65098.5691,-0.22745,15.94538,6.90727
65098.5891,-1.4868,15.37796,5.58567
65098.6091,2.90656,14.3676,12.0572
65098.6291,2.9329,11.19529,18.67956
65098.6491,0.60573,6.13873,16.05312
65098.6691,-1.09176,2.08056,11.42752
65098.6891,-0.21787,0.42138,6.33745
65098.7091,4.35745,1.27611,1.88663
65098.7291,6.11719,2.79403,2.40138
65098.7491,5.26485,1.61848,1.01035
65098.7691,4.53222,1.11091,0.16759
65098.7891,5.84903,1.61609,-0.03831
65098.8091,8.05409,2.91853,-0.40941
65098.8291,8.74602,3.93128,0.15323
65098.8491,8.51618,4.40533,-1.41018
65098.8691,7.74045,4.80516,-1.62806
65098.8891,8.7556,5.99029,-1.50835
65098.9091,10.22085,7.9272,-0.0431
65098.9291,8.45632,8.51618,0.98162
65098.9491,7.35259,9.00459,-1.69988
65098.9691,7.02459,9.7875,-2.12126
65098.9891,7.20176,12.37802,3.34709
65099.0091,7.32626,15.33247,4.81713
65099.0291,6.77559,15.55513,3.76608
65099.0491,5.04698,14.41309,7.51779
65099.0701,0.44293,13.1298,13.74272
65099.0901,-1.6927,12.89278,14.72913
65099.1101,-4.2952,12.31338,12.69885
65099.1301,-6.26802,11.88482,10.92714
65099.1501,-6.99107,12.38042,8.49942
65099.1701,-6.42604,12.48337,9.23444
65099.1901,-5.73651,11.78426,9.14824
65099.2101,-6.40449,11.26472,8.20493
65099.2301,-6.05494,10.79546,6.67982
65099.2499,-4.61841,10.30704,4.72855
65099.2701,-3.50272,9.73004,3.38061
65099.2911,-0.249,8.58561,7.79313
65099.3111,3.9241,8.32703,11.2312
65099.3311,3.70383,5.93762,6.59363
65099.3511,3.64637,5.35583,1.98
65099.3711,7.33823,7.35259,-1.45567
65099.3911,9.75158,8.87291,-3.56736
65099.4121,8.12353,6.86418,-2.63602
65099.4331,7.23528,6.1124,-3.15795
65099.4541,7.7644,6.44519,-2.07577
65099.4741,7.15387,5.88495,-1.67834
65099.4941,6.58884,5.7389,-2.74854
65099.5141,5.37019,5.33907,-5.37019
65099.5341,3.3016,4.30477,-3.21541
65099.5541,1.84114,3.97198,-1.09415
65099.5741,0.93374,5.04219,-0.19872
65099.5941,-0.30885,5.40132,-0.29449
65099.6141,-2.56898,6.48589,0.98402
65099.6341,-4.72855,7.31668,4.50349
65099.6541,-3.3016,5.782,4.41251
65099.6741,-1.96564,10.1586,10.13466
65099.6941,-0.91698,10.35013,7.94636
65099.7141,-1.00796,10.20409,12.13381
65099.7341,-2.09732,8.10198,15.46175
65099.7541,0.38068,9.51216,9.77553
65099.7741,3.06218,10.63504,4.83629
65099.7951,3.32076,9.54089,3.07655
65099.8151,7.46512,12.02368,3.86424
65099.8361,8.94474,12.70124,5.46357
65099.8561,3.632,9.6223,3.82115
65099.8761,2.11408,9.67257,3.48117
65099.8961,2.27449,10.21366,4.84347
65099.9161,-0.2897,8.63349,3.58891
65099.9361,-2.54264,6.79714,2.11408
65099.9561,-6.13634,5.66229,0.91698
65099.9771,-6.29436,6.38294,3.90255
65099.9971,-3.00233,9.2081,3.07416
65100.0171,-2.91374,9.50498,2.14281
65100.0371,-2.78685,10.01495,0.249
65100.0571,-4.20901,8.73165,-0.9074
65100.0781,-7.21612,7.3071,-0.38547
65100.0981,-9.36612,7.3909,-0.9912
65100.1181,-9.21049,7.17303,1.7334
65100.1381,-6.74207,7.41245,2.82037
65100.1581,-2.78685,7.52258,2.30801
65100.1791,-0.00479,7.41724,8.67419
65100.2001,2.03747,8.91361,14.03242
65100.2201,3.88579,7.8458,16.18959
65100.2401,4.03662,6.13394,14.74349
65100.2601,5.91847,6.38294,14.17846
65100.2811,11.32697,9.10754,11.74117
65100.3011,10.64701,11.32936,4.70221
65100.3211,4.29999,9.69412,-0.43335
65100.3411,-2.54504,6.84263,-1.39821
65100.3611,-5.62398,2.92571,-0.80685
65100.3811,-4.28802,4.28323,6.85939
65100.4011,-4.14436,4.32632,4.71897
65100.4211,-2.12845,6.8115,-0.61531
65100.4411,0.98881,11.1091,0.63686
65100.4609,2.61686,13.84567,3.77326
65100.4811,0.88585,14.26705,2.81558
65100.5011,-6.2752,13.19205,2.01113
65100.5211,-11.55202,10.9846,1.6089
65100.5411,-9.47146,11.09713,0.77812
65100.5611,-6.46674,9.38527,4.75488
65100.5811,-5.94959,6.22492,7.07008
65100.6021,-6.44759,1.1995,3.4261
65100.6221,-2.30801,-1.81241,-0.02394
65100.6421,3.3447,-2.19548,-0.18914
65100.6621,4.0893,-5.69341,-0.72305
65100.6831,7.79552,-7.47949,-1.36469
65100.7031,13.8313,-4.96318,-0.16759
65100.7231,16.30691,-3.3854,-2.81558
65100.7431,15.00686,-3.24654,-8.26957
65100.7631,12.25113,-3.85227,-3.81875
65100.7831,6.17943,-10.39802,4.15155
65100.8031,1.33836,-15.27022,8.68377
65100.8231,4.93206,-14.77462,5.94241
65100.8441,9.84496,-10.24718,4.7884
65100.8641,9.9503,-9.56244,2.45885
65100.8851,7.99424,-9.26317,1.30005
65100.9061,10.66138,-8.44674,5.08528
65100.9261,13.24712,-9.32302,5.10444
65100.9461,14.81293,-9.39006,2.77009
65100.9661,17.65484,-7.77876,0.24181
65100.9861,19.82638,-7.26401,-1.56341
65101.0071,19.93412,-8.22169,-0.81642
65101.0271,17.32684,-11.69089,-0.15323
65101.0471,15.18163,-13.81694,0.84036
65101.0671,13.80976,-14.79856,1.90578
65101.0871,14.42746,-13.68286,1.56102
65101.1071,17.09699,-11.95185,0.64883
65101.1271,16.81208,-14.14494,3.07416
65101.1471,14.10424,-14.54717,3.75411
65101.1671,15.1146,-11.42274,3.03585
65101.1881,15.13614,-8.83939,3.49793
65101.2081,14.50407,-7.67581,4.1707
65101.2281,12.3038,-8.74362,5.86101
65101.2481,8.37731,-8.91601,4.67827
65101.2691,6.90009,-4.61602,-1.42694
65101.2891,5.25767,-2.71263,-3.64876
65101.3101,3.25133,-2.10929,-1.49638
65101.3301,2.63841,-2.78685,2.08296
65101.3501,1.35751,-2.1883,2.16675
65101.3701,0.55545,0.54109,-4.76686
65101.3901,-2.4373,-0.9505,-6.99346
65101.4101,-11.3533,-1.79565,0.38307
65101.4301,-17.82244,0.99838,6.45716
65101.4501,-17.59738,6.38773,6.4835
65101.4701,-13.22557,9.52413,3.73017
65101.4911,-11.98059,11.15219,2.57377
65101.5111,-10.44111,9.75158,3.16992
65101.5311,-7.06529,10.42435,5.08289
65101.5511,-6.53378,8.99741,5.25527
65101.5711,-4.19704,8.28154,7.17063
65101.5921,-4.12282,7.42921,6.82108
65101.6131,-4.17788,6.27281,4.17788
65101.6331,-3.49314,5.76045,1.31921
65101.6531,-5.41568,4.2138,1.24738
65101.6731,-8.29351,1.43173,3.38301
65101.6931,-9.30147,0.23463,4.76446
65101.7131,-7.74285,1.87705,4.81474
65101.7331,-6.26563,2.73418,0.64404
65101.7531,-6.13155,4.71897,-2.87304
65101.7731,-5.35104,5.96874,-2.45885
65101.7931,-5.17387,6.85221,1.18513
65101.8131,-7.29513,6.24647,3.52187
65101.8331,-7.8865,5.4899,4.02705
65101.8531,-5.63834,7.58483,4.33351
65101.8731,-2.8084,11.43231,2.9329
65101.8931,0.42856,12.92869,1.48441
65101.9141,-0.31125,11.80102,0.06943
65101.9341,-4.38618,10.10593,3.05021
65101.9551,-2.12845,11.61906,6.95994
65101.9751,-2.63602,12.28704,5.98072
65101.9951,-1.30245,14.11621,5.11641
65102.0151,-1.93212,14.58308,3.16992
65102.035,-3.06937,14.14494,2.26252
65102.0551,-4.75728,13.39316,-1.61369
65102.0751,-5.55934,11.14501,-0.70868
65102.095,-4.91051,8.22887,1.46046
65102.1161,-1.79565,8.47069,3.90494
65102.1361,0.85952,7.50582,1.98479
65102.1571,2.48518,6.41885,2.24816
65102.1771,5.18345,7.6399,0.80924
65102.1971,6.86896,6.64152,-1.35272
65102.2171,8.7532,6.50026,3.72298
65102.2381,11.46583,9.07402,3.40934
65102.2581,10.81461,7.85298,1.75495
65102.2781,8.65983,4.57053,1.76213
65102.2981,8.05409,2.50673,4.65193
65102.3181,8.89685,4.2928,10.87686
65102.3381,6.98628,4.81474,10.39323
65102.3581,4.22577,4.64715,5.12599
65102.3781,3.95522,5.64074,-0.31125
65102.3981,4.96557,8.22648,-0.92177
65102.4181,4.14676,7.8865,8.37492
65102.4381,-2.14999,5.54737,9.55047
65102.4581,-5.49948,5.20021,3.74932
65102.4781,-2.08535,8.70053,0.79966
65102.4981,-1.86269,8.3007,4.09169
65102.5181,2.58574,8.6718,4.24492
65102.5381,6.47392,10.22803,5.54258
65102.5578,5.25527,9.05487,4.34787
65102.5789,2.80122,8.43477,2.03028
65102.599,-0.5794,7.46273,-0.03352
65102.619,-0.18914,7.01741,0.06464
65102.639,2.41575,6.64152,0.24181
65102.659,9.59357,6.24647,-0.76136
65102.679,6.43083,5.63356,3.39019
65102.6988,4.10127,3.35188,5.41568
65102.719,6.97431,2.05662,6.98389
65102.739,14.66688,7.05092,8.62391
65102.759,17.73864,11.42752,5.21697
65102.779,14.3293,11.71004,8.68616
65102.799,9.47625,7.8434,9.32542
65102.819,7.59441,8.15944,5.54976
65102.84,9.72525,10.3238,6.53856
65102.86,9.7037,8.10437,6.64391
65102.88,4.01986,7.18979,4.69024
65102.9,-1.36469,6.32069,-3.20105
65102.92,-2.68629,5.37019,-1.95846
65102.94,-2.84192,5.50188,2.67911
65102.961,-3.11725,4.55138,5.284
65102.981,-3.91213,4.23774,6.96234
65103.001,-1.3216,5.284,8.00861
65103.021,-0.80685,5.284,9.05008
65103.042,-3.03585,3.96959,8.60955
65103.062,-3.78763,4.60884,9.48822
65103.082,-2.20267,4.8722,9.56244
65103.102,-1.6113,5.46596,10.7787
65103.122,-4.05099,4.9967,8.62631
65103.142,-5.23612,4.86981,8.25281
65103.162,-4.01268,5.03022,10.34774
65103.182,-1.84832,5.79397,12.72758
65103.202,-2.65038,6.16746,11.01812
65103.222,-3.77087,6.17465,10.26873
65103.242,0.27054,7.2688,9.81623
65103.262,1.8579,7.48906,12.24634
65103.282,-0.50278,7.10599,7.97748
65103.302,-0.65841,7.82665,7.32626
65103.322,-2.2697,7.08684,6.7708
65103.342,-3.46441,5.91128,6.50744
65103.363,3.68468,8.35576,9.76834
65103.383,2.28167,7.93917,8.47308
65103.403,-0.4525,7.3909,5.74608
65103.423,-2.90656,7.27598,5.17866
65103.443,-4.06296,5.45878,3.09091
65103.463,-1.49398,5.26724,2.54982
65103.484,2.13084,6.03099,3.61524
65103.504,3.03345,4.13718,4.57532
65103.524,1.43173,1.78607,4.39575
65103.544,1.89381,-0.26815,0.07183
65103.564,5.37738,-0.00239,-1.80044
65103.584,6.44759,-0.49081,-2.34153
65103.604,5.35104,-4.28802,-1.34075
65103.624,7.05092,-6.02142,-3.10528
65103.644,12.04044,-0.81403,-9.01896
65103.664,10.77151,-0.63925,-9.72525
65103.685,8.69335,-3.50511,-7.61596
65103.706,7.09641,-6.06691,-7.43878
65103.726,5.17148,-6.95037,-8.14747
65103.746,6.05972,-6.83305,-8.17859
65103.766,5.88734,-7.08684,-10.25676
65103.786,3.75411,-8.40365,-12.23437
65103.806,2.70305,-10.31901,-12.16733
65103.826,2.727,-10.66377,-11.17613
65103.846,4.44124,-8.84418,-12.27747
65103.866,4.63757,-6.63433,-12.50492
65103.886,1.03669,-7.52258,-14.82969
65103.906,-2.50433,-10.93432,-17.14488
65103.926,-1.62327,-11.53287,-12.7994
65103.946,-0.08619,-9.90481,-6.91924
65103.966,-1.10612,-8.31985,-8.26718
65103.986,-2.74854,-6.65588,-11.1881
65104.008,-3.15077,-5.84664,-14.38676
65104.029,-4.27365,-9.991,-11.54005
65104.049,-4.89375,-10.98939,-5.34386
65104.069,-2.5618,-6.63433,-3.73735
65104.089,-1.00317,-3.99353,-8.36773
65104.109,-0.73263,-3.11007,-9.86651
65104.129,-1.46286,-4.86741,-9.78271
65104.149,-3.73017,-6.55532,-7.38611
65104.169,-4.19464,-5.60004,-7.23288
65104.189,-4.67827,-4.80516,-9.04529
65104.209,-3.21781,-4.06775,-8.57124
65104.23,-1.92733,-3.31597,-5.74608
65104.25,-3.24175,-2.70066,-4.55856
65104.27,-7.85538,-2.3966,-1.08936
65104.29,-9.89763,-1.47962,-1.57778
65104.31,-8.61194,0.42856,-5.31273
65104.33,-8.56406,0.02873,-3.71341
65104.35,-8.82503,-0.11492,-2.7677
65104.37,-8.48984,0.85952,-3.48117
65104.39,-9.48822,0.20351,-2.99993
65104.41,-9.1267,-0.41899,-0.53391
65104.43,-9.10275,0.87388,2.01592
65104.45,-9.46189,1.41976,1.29287
65104.47,-8.40125,1.92254,-0.06943
65104.49,-9.07163,3.79242,1.22344
65104.51,-9.90721,4.11803,1.91057
65104.53,-8.44914,4.91769,0.66559
65104.55,-5.63595,5.97832,1.04866
65104.57,-4.67348,6.34942,1.97043
65104.59,-3.75411,6.44519,1.60412
65104.61,-2.03986,6.38294,4.62081
65104.6308,0.72305,5.89931,9.13148
65104.651,1.43173,5.20021,10.86968
65104.671,2.49236,6.78038,11.39879
65104.691,2.17633,6.97192,8.64307
65104.711,-0.35913,6.87375,8.60715
65104.732,-6.55532,3.3854,12.05241
65104.752,-7.61596,2.88022,11.5616
65104.7719,-5.00149,3.86185,8.0924
65104.793,-2.48758,5.97114,7.48906
65104.813,-2.90656,5.80833,7.32865
65104.833,-4.8722,4.85784,9.25598
65104.853,-5.83706,4.00789,9.51935
65104.873,-3.68946,4.8722,8.0517
65104.893,-0.22505,6.82347,6.79953
65104.913,-1.96085,6.31112,7.22331
65104.933,-1.94888,5.99748,10.53449
65104.953,-0.89304,6.78038,9.28471
65104.974,-1.93451,6.13155,8.66462
65104.994,-3.84269,5.29358,10.34056
65105.014,-2.41336,6.35421,10.34295
65105.034,-0.7853,7.00304,7.61356
65105.055,-1.45328,6.3159,9.06684
65105.075,-2.84671,5.20499,11.6023
65105.096,-2.97599,5.41808,11.21684
65105.116,0.06943,7.40287,10.21127
65105.136,-0.32082,7.1419,8.19535
65105.156,-2.02071,6.08127,7.33105
65105.176,-2.24097,5.87298,6.82587
65105.196,-1.4461,6.27999,6.33745
65105.216,-1.09415,6.27999,6.1124
65105.237,-0.76375,6.65349,4.66869
65105.257,-0.2897,6.94558,4.70939
65105.277,-0.79966,6.36618,6.30633
65105.297,-2.26013,5.74848,7.73567
65105.317,-3.02627,5.84664,7.55371
65105.3369,-2.20745,6.20338,7.01741
65105.358,-0.79009,6.92164,6.50983
65105.378,-0.88825,7.15627,6.40928
65105.399,-1.1995,7.3095,5.96396
65105.419,-1.53947,7.21612,6.48589
65105.439,-1.92733,6.57208,7.15627
65105.46,-1.20668,6.82587,7.38611
65105.48,-0.98162,7.16345,6.61757
65105.5,-1.80523,6.73728,6.0717
65105.52,-2.20985,6.4428,6.60321
65105.5399,-1.33118,6.90727,7.99663
65105.56,-1.64003,6.91924,7.86735
65105.58,-2.15718,6.44998,6.9767
65105.6,-1.66397,6.96713,6.60321
65105.62,-1.05105,7.31189,6.96473
65105.64,-1.80283,6.82347,7.03895
65105.66,-2.10211,6.56969,7.54174
65105.681,-2.0231,6.56011,7.77637
65105.701,-2.10211,6.51702,6.60081
65105.721,-1.38864,6.88333,6.45237
65105.742,-0.29688,7.66623,6.83305
65105.762,-0.66559,7.3502,6.68461
65105.783,-1.57299,6.80911,6.50265
65105.803,-2.07338,6.43561,6.62476
65105.823,-1.49159,6.7325,6.70855
65105.843,-0.69911,7.04853,7.42681
65105.863,-0.79487,7.03656,6.59363
65105.883,-1.17555,7.00304,5.99029
65105.903,-1.69031,6.53138,7.08923
65105.923,-1.75256,6.53856,7.02938
65105.944,-0.81163,7.1443,7.19458
65105.964,-0.09337,7.48667,6.87375
65105.984,-0.87388,7.3502,6.1531
65106.004,-1.46046,7.12275,5.77003
65106.0239,-0.73502,7.38611,6.18662
65106.044,-0.65362,7.00543,7.51779
65106.065,-1.15161,6.66067,7.49625
65106.087,-1.65679,6.63194,6.48829
65106.107,-1.63524,6.80911,6.39252
65106.127,-0.8691,7.08444,6.90967
65106.147,-0.9481,7.00304,6.26563
65106.167,-0.88585,7.14909,6.11479
65106.187,-0.79248,7.00304,6.36139
65106.207,-1.06303,6.81869,6.55054
65106.227,-1.31442,6.61518,6.98628
65106.247,-1.49638,6.54335,6.87615
65106.267,-1.10373,6.61518,6.55054
65106.287,-0.44532,7.12275,6.73728
65106.307,-0.08619,7.11557,5.73411
65106.327,-0.09816,7.03416,4.83389
65106.347,0.14126,6.26323,3.7589
65106.367,2.1476,7.14909,7.30471
65106.387,1.83156,6.37097,8.47787
65106.407,3.37822,6.61757,7.85059
65106.427,4.16831,7.12275,10.41238
65106.447,1.7334,5.80594,9.64624
65106.467,0.20351,5.66229,7.38611
65106.487,3.31597,7.09641,8.42759
65106.507,4.57771,7.44118,8.97107
65106.5269,2.35829,6.79714,6.71095
65106.547,0.62249,6.26084,7.27358
65106.567,0.48602,5.97114,7.27119
