SensorTimestamp(s),mag_x,mag_y,mag_z
65097.2292,7.68,-31.14,-42.24
65097.2491,7.86,-31.26,-43.14
65097.2692,8.52,-31.5,-43.68
65097.2892,8.94,-31.38,-44.52
65097.3091,8.64,-31.56,-45.54
65097.3292,8.94,-31.26,-46.62
65097.3492,8.28,-31.14,-47.88
65097.3692,8.1,-31.38,-48.78
65097.3892,7.5,-31.5,-49.56
65097.4092,7.02,-32.4,-50.22
65097.4292,6.36,-32.88,-50.64
65097.4502,5.64,-33.6,-50.52
65097.4702,4.68,-33.72,-50.22
65097.4902,3.6,-33.72,-49.32
65097.5102,3.18,-34.14,-48.06
65097.5301,2.46,-34.44,-47.04
65097.5502,1.86,-35.16,-46.26
65097.5702,1.32,-35.34,-45.48
65097.5901,0.96,-35.64,-44.64
65097.6102,0.36,-35.76,-43.62
65097.6312,0.42,-35.46,-42.42
65097.6522,-0.12,-35.34,-40.98
65097.6722,-0.84,-34.92,-39.96
65097.6922,-2.34,-34.38,-39
65097.7132,-3.9,-34.32,-38.52
65097.7342,-5.4,-34.32,-38.64
65097.7542,-7.56,-34.02,-38.7
65097.775,-9.12,-33.18,-38.7
65097.7952,-10.86,-32.58,-38.88
65097.8152,-12.42,-32.04,-38.76
65097.8352,-13.62,-31.26,-39.3
65097.8552,-15.18,-30.3,-40.26
65097.8762,-16.56,-29.04,-41.04
65097.8972,-17.58,-27.36,-41.34
65097.9182,-18.36,-26.52,-41.76
65097.9382,-18.54,-26.22,-41.94
65097.9582,-18.36,-25.98,-42.24
65097.9782,-18.54,-26.64,-43.02
65097.9982,-18.42,-26.76,-43.44
65098.0182,-17.7,-27.36,-43.02
65098.0392,-17.16,-27.96,-42.36
65098.0592,-15.84,-28.02,-41.46
65098.0792,-14.34,-29.16,-40.44
65098.0992,-12.36,-29.76,-39.6
65098.1192,-9.96,-30.54,-38.64
65098.1392,-7.56,-31.68,-37.5
65098.1592,-4.98,-31.92,-36.36
65098.1792,-2.76,-32.1,-35.52
65098.1992,-0.66,-31.98,-34.86
65098.219,1.2,-31.56,-34.5
65098.2402,3.18,-31.2,-34.5
65098.2612,4.44,-30.96,-34.56
65098.2812,5.34,-30.84,-34.56
65098.3012,6,-30.84,-34.56
65098.3212,6,-30.54,-34.44
65098.3412,6.36,-30.54,-34.44
65098.3622,6.54,-30.48,-34.56
65098.3822,6.72,-30.6,-35.1
65098.4022,6.84,-30.84,-36.18
65098.4222,6.72,-30.72,-36.9
65098.4422,6.18,-30.54,-38.34
65098.4622,5.4,-30.78,-39.66
65098.4822,4.86,-31.38,-40.98
65098.5022,4.08,-32.16,-42.66
65098.5221,3.24,-33,-43.86
65098.5422,2.58,-33.12,-44.76
65098.5622,1.62,-33.3,-44.88
65098.5821,0.84,-33.48,-44.76
65098.6022,0.42,-33.6,-44.16
65098.6222,-0.24,-33.96,-43.8
65098.6422,-0.6,-33.78,-43.14
65098.6622,-0.66,-33.96,-42.54
65098.6822,-1.08,-33.96,-41.28
65098.7022,-1.44,-33.78,-39.66
65098.7221,-1.74,-33.42,-37.98
65098.7422,-2.52,-33.06,-36.24
65098.7622,-2.64,-32.94,-35.04
65098.7822,-3.48,-32.46,-34.26
65098.8022,-4.2,-32.46,-33.78
65098.8222,-4.86,-31.8,-33.72
65098.8422,-5.88,-31.2,-33.36
65098.8622,-6.3,-30.9,-32.94
65098.8822,-7.26,-30.54,-32.76
65098.9022,-7.92,-30.3,-32.22
65098.9222,-8.16,-30.12,-32.52
65098.9422,-8.1,-30,-32.64
65098.9622,-7.8,-29.82,-32.94
65098.9822,-7.5,-29.94,-33.78
65099.0022,-7.32,-30.54,-33.96
65099.0222,-7.02,-30.78,-34.5
65099.0422,-6.54,-31.14,-35.04
65099.0632,-6.54,-31.68,-35.34
65099.0832,-5.7,-31.98,-35.76
65099.1032,-4.74,-32.28,-36
65099.1232,-4.08,-32.58,-36.12
65099.1432,-3,-32.64,-35.94
65099.1632,-2.28,-32.1,-35.94
65099.1832,-1.74,-31.68,-35.46
65099.2032,-0.96,-31.32,-34.74
65099.2232,-0.18,-30.9,-34.08
65099.243,0.12,-30.48,-32.94
65099.2632,0.6,-30.12,-32.46
65099.2842,0.96,-30,-31.68
65099.3042,1.2,-29.88,-31.08
65099.3242,1.74,-30,-30.6
65099.3442,2.1,-30.24,-30
65099.3642,2.22,-29.82,-29.28
65099.3842,2.64,-28.98,-28.56
65099.4052,2.58,-28.56,-27.84
65099.4262,2.7,-27.96,-26.58
65099.4472,2.94,-27.66,-25.92
65099.4672,2.82,-27.72,-25.56
65099.4872,2.94,-27.42,-25.2
65099.5072,2.76,-27.18,-25.2
65099.5272,2.76,-27.36,-25.02
65099.5472,3.12,-28.14,-25.02
65099.5672,3.54,-28.62,-25.08
65099.5872,4.08,-29.64,-25.98
65099.6072,4.68,-29.94,-26.58
65099.6272,5.7,-30.18,-27.48
65099.6472,6.72,-30.48,-28.92
65099.6672,7.74,-30.48,-30.18
65099.6872,9,-31.08,-31.98
65099.7072,9.6,-31.26,-33.66
65099.7272,10.2,-31.68,-34.98
65099.7472,11.28,-32.04,-36.24
65099.7672,11.82,-31.5,-37.38
65099.7882,13.62,-30.6,-38.82
65099.8082,15.54,-29.52,-40.5
65099.8292,16.44,-28.26,-42.54
65099.8492,18.24,-27.36,-45.36
65099.8692,18.9,-26.88,-48.36
65099.8892,19.08,-25.98,-51.66
65099.9092,19.08,-25.26,-54.78
65099.9292,18.06,-24.36,-57.78
65099.9492,15.72,-23.82,-60.36
65099.9702,13.08,-23.82,-62.7
65099.9902,11.1,-23.34,-64.74
65100.0102,9.48,-23.64,-65.82
65100.0302,9.72,-23.52,-66
65100.0502,10.32,-22.92,-65.93999
65100.0712,11.16,-22.74,-65.52
65100.0912,12.72,-22.08,-64.74
65100.1112,14.4,-21.36,-63.42
65100.1312,16.5,-21.06,-61.44
65100.1512,18.48,-21.12,-58.86
65100.1722,19.74,-21.3,-55.62
65100.1932,20.46,-22.26,-51.54
65100.2132,20.46,-23.76,-47.34
65100.2332,18.48,-25.86,-43.14
65100.2532,15.96,-28.44,-39.36
65100.2742,12.06,-30.78,-38.16
65100.2942,7.44,-32.4,-36.84
65100.3142,4.32,-33.54,-36.12
65100.3342,1.14,-33.66,-36
65100.3542,-0.66,-33.72,-35.16
65100.3742,-2.28,-33.72,-35.16
65100.3942,-4.08,-33.42,-35.58
65100.4142,-5.46,-33.9,-36.06
65100.4342,-7.38,-33.54,-36.9
65100.454,-8.4,-33.18,-37.2
65100.4742,-9.18,-32.52,-37.5
65100.4942,-9.9,-31.86,-37.2
65100.5142,-11.58,-6.84,14.22
65100.5342,-11.88,-6.66,14.52
65100.5542,-11.82,-6.84,14.88
65100.5742,-11.76,-6.48,14.46
65100.5952,-12.18,-6.42,14.7
65100.6152,-13.08,-5.4,15.24
65100.6352,-14.4,-3.6,16.2
65100.6552,-15.66,-6.36,14.88
65100.6762,-17.1,-5.28,15.3
65100.6962,-18.72,-1.62,16.38
65100.7162,-20.4,2.28,17.1
65100.7362,-21.06,6.18,17.52
65100.7562,-21.18,9.9,17.22
65100.7762,-20.94,13.38,16.56
65100.7962,-19.74,16.74,15.96
65100.8162,-18.72,18.96,16.38
65100.8372,-17.1,20.94,16.38
65100.8572,-15,22.26,16.5
65100.8782,-12.72,22.98,16.56
65100.8992,-10.02,24.3,16.38
65100.9192,-7.14,25.38,16.14
65100.9392,-5.22,26.46,16.32
65100.9592,-3.66,26.82,15.9
65100.9792,-1.98,27.6,15.42
65101.0002,-1.5,27.78,14.88
65101.0202,-1.26,27.84,14.04
65101.0402,-1.98,28.38,13.74
65101.0602,-3.96,27.84,13.26
65101.0802,-6.54,27.84,13.62
65101.1002,-9.24,27.18,13.38
65101.1202,-11.82,25.56,13.86
65101.1402,-14.4,23.76,14.88
65101.1602,-16.26,20.82,15.6
65101.1812,-17.64,17.58,17.34
65101.2012,-18.72,14.1,18.54
65101.2212,-18.96,10.56,19.2
65101.2412,-18.54,6.24,20.28
65101.2622,-17.1,2.64,20.76
65101.2822,-15.06,-0.6,21.42
65101.3032,-13.02,-3.54,22.14
65101.3232,-11.04,-5.22,22.32
65101.3432,-8.94,-6.84,21.9
65101.3632,-6.6,-8.16,21.54
65101.3832,-4.38,-9.24,21.06
65101.4032,-1.74,-10.2,20.7
65101.4232,0.84,-10.86,20.4
65101.4432,2.88,-11.58,19.26
65101.4632,4.32,-12.18,18.36
65101.4842,5.52,-12.42,17.16
65101.5042,6.06,-12.54,16.32
65101.5242,6.18,-12.36,16.08
65101.5442,6.96,-12.48,15.84
65101.5642,6.72,-12.66,15.24
65101.5852,5.88,-13.26,14.76
65101.6062,5.1,-14.16,14.46
65101.6262,3.72,-14.82,13.86
65101.6462,2.04,-15.36,13.38
65101.6662,0.6,-16.2,13.08
65101.6862,-0.84,-16.62,11.46
65101.7062,-2.1,-17.34,10.02
65101.7262,-2.76,-18.12,8.58
65101.7462,-3.78,-18,6.9
65101.7662,-5.4,-17.82,6.24
65101.7862,-6.66,-17.7,5.1
65101.8062,-7.8,-17.04,4.08
65101.8262,-8.52,-16.74,2.94
65101.8462,-8.82,-16.32,1.5
65101.8662,-9.54,-15.54,0.48
65101.8862,-10.2,-21.18,-3.24
65101.9072,-10.74,-20.76,-4.62
65101.9272,-11.34,-20.22,-5.04
65101.9482,-11.4,-19.98,-5.4
65101.9682,-11.64,-20.22,-5.58
65101.9882,-11.94,-19.62,-4.92
65102.0082,-11.7,-19.74,-5.04
65102.0281,-11.82,-19.56,-5.22
65102.0482,-12.06,-19.32,-4.98
65102.0682,-12.36,-19.62,-4.92
65102.0881,-13.26,-19.14,-4.44
65102.1092,-14.04,-18.84,-3.54
65102.1292,-15.06,-18.24,-2.46
65102.1502,-15.9,-17.52,-1.56
65102.1702,-16.74,-17.1,-0.54
65102.1902,-18.06,-15.96,1.08
65102.2102,-18.84,-15.12,2.4
65102.2312,-19.56,-14.52,4.02
65102.2512,-19.5,-14.28,5.64
65102.2712,-19.08,-14.34,6.78
65102.2912,-17.88,-15.3,8.04
65102.3112,-15.84,-16.2,9.42
65102.3312,-14.64,-17.22,9.66
65102.3512,-12.42,-18.48,10.2
65102.3712,-10.44,-19.2,10.38
65102.3912,-9.24,-20.22,10.2
65102.4112,-7.62,-21,9.9
65102.4312,-6.6,-21.54,9.9
65102.4512,-5.22,-21.78,10.2
65102.4712,-3.96,-21.6,10.5
65102.4912,-2.64,-21.12,11.58
65102.5112,-1.74,-21.06,11.88
65102.5312,-1.26,-20.88,11.76
65102.551,-0.66,-20.76,11.94
65102.5721,0.12,-21,11.52
65102.5922,1.08,-20.52,11.88
65102.6122,1.56,-20.52,12.48
65102.6322,2.16,-20.04,12.66
65102.6522,1.98,-19.86,13.2
65102.6722,1.56,-19.86,13.68
65102.692,0.48,-20.1,13.68
65102.7122,-1.56,-20.4,13.5
65102.7322,-3.96,-20.34,12.54
65102.7522,-7.14,-20.82,10.68
65102.7722,-10.44,-20.46,8.52
65102.7922,-13.26,-20.4,6.06
65102.8122,-14.94,-20.22,3.42
65102.8332,-15.36,-19.98,1.74
65102.8532,-14.76,-20.34,0.72
65102.8732,-13.92,-21.3,0.24
65102.8932,-12.6,-22.38,0.54
65102.9132,-11.22,-23.28,0.3
65102.9332,-9.42,-23.76,-0.3
65102.9542,-7.5,-23.88,-1.8
65102.9742,-5.94,-24,-3.42
65102.9942,-4.08,-24.12,-5.16
65103.0142,-3.12,-24.12,-6.54
65103.0352,-2.22,-24.3,-7.44
65103.0552,-1.44,-24.12,-7.98
65103.0752,-1.26,-24.18,-8.4
65103.0952,-0.48,-24.18,-8.58
65103.1152,0.12,-24.42,-8.7
65103.1352,0.54,-24.54,-8.7
65103.1552,1.2,-24.48,-8.7
65103.1752,1.2,-24.66,-8.4
65103.1952,1.02,-24.06,-7.62
65103.2152,1.2,-24.12,-7.26
65103.2352,0.96,-24.3,-6.54
65103.2552,0.78,-24.54,-6.3
65103.2752,0.78,-24.54,-5.28
65103.2952,0.36,-24.6,-3.78
65103.3152,-0.12,-24.66,-2.76
65103.3352,-0.6,-24.54,-1.44
65103.3562,-1.44,-24.66,-0.12
65103.3762,-1.92,-24.66,0.78
65103.3962,-2.16,-24,2.46
65103.4162,-2.16,-23.64,4.44
65103.4362,-1.68,-23.04,5.82
65103.4562,-1.56,-22.2,7.98
65103.4772,-1.92,-22.02,9.6
65103.4972,-2.52,-21.18,11.1
65103.5172,-3.54,-20.52,12.78
65103.5372,-4.62,-19.56,13.86
65103.5572,-5.58,-18.24,15.36
65103.5772,-6.24,-15.9,17.04
65103.5971,-6.78,-13.68,18.66
65103.6172,-7.26,-10.98,20.34
65103.6372,-7.5,-8.1,21.42
65103.6572,-8.22,-5.82,22.68
65103.6782,-8.88,-2.7,23.04
65103.6992,-8.64,0.12,22.92
65103.7192,-8.64,3.12,23.16
65103.7392,-8.34,5.7,22.62
65103.7592,-7.44,7.5,22.32
65103.7792,-6.54,9.66,21.6
65103.7992,-4.26,10.86,21.06
65103.8192,-1.08,12.18,20.1
65103.8392,2.58,13.32,18.66
65103.8592,6.06,13.38,17.52
65103.8792,8.64,13.68,15.72
65103.8992,11.04,13.56,14.16
65103.9192,12.9,13.68,13.2
65103.9392,14.76,13.26,11.4
65103.9592,16.74,12.6,10.08
65103.9792,18.78,11.82,8.04
65104.0012,20.16,10.38,6.24
65104.0222,21.18,9.12,4.5
65104.0422,22.26,8.04,2.46
65104.0622,22.38,6.66,1.14
65104.0822,22.86,5.34,-0.24
65104.1022,23.34,4.62,-0.72
65104.1222,23.34,3.6,-1.08
65104.1422,23.28,2.94,-1.8
65104.1622,23.34,2.4,-2.34
65104.1822,23.16,1.62,-3.24
65104.2022,22.98,1.56,-4.02
65104.2232,22.98,1.86,-4.56
65104.2432,22.62,2.1,-5.28
65104.2632,22.32,3,-5.76
65104.2832,22.62,3.66,-5.7
65104.3032,22.92,4.32,-5.52
65104.3232,22.8,5.34,-5.04
65104.3432,22.8,5.94,-4.56
65104.3632,22.38,6.54,-4.14
65104.3832,22.08,6.6,-3.78
65104.4032,22.14,6.72,-2.7
65104.4232,22.62,6.66,-1.32
65104.4432,22.8,5.82,0.78
65104.4632,23.22,4.92,3.84
65104.4832,23.1,3.24,6.84
65104.5032,21.96,0.78,9.42
65104.5232,20.4,-2.1,11.82
65104.5432,18.18,-5.28,13.2
65104.5632,15.72,-8.58,14.1
65104.5832,13.08,-12.12,14.52
65104.6032,10.2,-15.24,14.28
65104.624,7.26,-17.7,12.96
65104.6442,4.56,-20.22,10.62
65104.6642,2.34,-21.9,7.38
65104.6842,0.48,-22.98,3.9
65104.7042,-0.66,-23.58,0.66
65104.7252,-1.44,-23.7,-2.28
65104.7452,-1.5,-23.58,-3.9
65104.7651,-1.02,-23.88,-6.06
65104.7862,-0.66,-24.06,-7.08
65104.8062,-0.3,-24.06,-7.38
65104.8262,-0.06,-23.7,-7.44
65104.8462,0.12,-23.16,-7.32
65104.8662,-0.3,-23.1,-7.08
65104.8862,-0.3,-23.1,-7.2
65104.9062,-0.42,-22.98,-7.38
65104.9262,-1.14,-23.16,-7.2
65104.9462,-0.54,-23.22,-7.38
65104.9672,-0.84,-23.34,-7.2
65104.9872,-0.84,-23.88,-7.44
65105.0072,-0.54,-23.94,-7.56
65105.0272,-0.9,-24.3,-7.56
65105.0482,-0.96,-24.3,-7.56
65105.0682,-1.5,-24.42,-7.2
65105.0892,-1.62,-24.66,-6.9
65105.1092,-1.8,-24.72,-6.78
65105.1292,-1.8,-24.9,-6.54
65105.1492,-1.5,-24.96,-6.06
65105.1692,-1.44,-24.66,-5.52
65105.1892,-1.32,-24.78,-5.04
65105.2092,-1.32,-24.72,-4.98
65105.2302,-1.5,-24.6,-4.86
65105.2502,-1.62,-25.08,-4.74
65105.2702,-1.8,-25.08,-4.8
65105.2902,-1.8,-25.08,-4.32
65105.3102,-1.74,-25.38,-4.26
65105.3301,-1.56,-25.44,-4.44
65105.3512,-1.32,-25.44,-3.9
65105.3712,-1.74,-25.56,-3.9
65105.3922,-1.74,-25.56,-3.42
65105.4122,-2.1,-25.56,-3.3
65105.4322,-2.46,-25.56,-3.48
65105.4532,-2.22,-25.56,-3.3
65105.4732,-2.28,-25.74,-3.6
65105.4932,-2.04,-25.68,-3.42
65105.5132,-1.98,-25.8,-3.3
65105.5331,-1.92,-25.86,-3.36
65105.5532,-1.92,-25.86,-3.54
65105.5732,-1.92,-25.86,-3.48
65105.5932,-1.62,-25.74,-3.72
65105.6132,-1.62,-25.74,-3.84
65105.6332,-1.8,-25.74,-3.6
65105.6532,-2.04,-25.86,-4.14
65105.6742,-2.7,-26.16,-4.38
65105.6942,-2.4,-25.86,-4.5
65105.7142,-2.46,-25.68,-4.62
65105.7352,-2.46,-25.5,-3.96
65105.7552,-1.86,-25.26,-3.66
65105.7762,-2.16,-25.68,-3.48
65105.7962,-2.16,-25.86,-3.6
65105.8162,-2.46,-25.86,-3.78
65105.8362,-2.76,-25.98,-3.72
65105.8562,-2.76,-25.8,-3.54
65105.8762,-2.82,-25.68,-3.54
65105.8962,-2.64,-25.98,-3.54
65105.9162,-2.4,-25.86,-3.72
65105.9372,-2.76,-25.74,-3.78
65105.9572,-3,-25.86,-3.9
65105.9772,-3.12,-25.5,-3.96
65105.9972,-3.6,-25.56,-3.96
65106.0171,-3.54,-25.56,-3.96
65106.0372,-3.3,-25.38,-3.66
65106.0582,-3.24,-25.62,-3.66
65106.0802,-3.06,-25.56,-3.48
65106.1002,-2.94,-26.04,-3.84
65106.1202,-2.88,-25.92,-3.96
65106.1402,-2.88,-25.74,-3.84
65106.1602,-2.7,-25.86,-4.02
65106.1802,-2.46,-25.86,-4.08
65106.2002,-2.82,-26.16,-3.84
65106.2202,-2.82,-26.58,-4.08
65106.2402,-2.94,-26.64,-3.9
65106.2602,-3,-26.4,-3.42
65106.2802,-2.7,-26.28,-3.66
65106.3002,-2.46,-25.92,-3.48
65106.3202,-2.46,-25.86,-3.54
65106.3402,-2.16,-25.74,-3.9
65106.3602,-1.92,-25.74,-4.26
65106.3802,-1.98,-25.86,-4.8
65106.4002,-2.04,-25.44,-5.04
65106.4202,-2.58,-24.84,-5.1
65106.4402,-3.12,-24.54,-5.16
65106.4602,-3.3,-24.12,-4.98
65106.4802,-3.6,-23.94,-5.16
65106.5002,-3.6,-24.42,-5.16
65106.5201,-3.48,-24.36,-4.56
65106.5402,-3.42,-24.66,-4.26
65106.5602,-3.54,-24.6,-4.02
65106.5801,-3.24,-24.78,-4.14
65106.6001,-2.82,-24.66,-4.56
65106.6202,-2.76,-24.54,-4.56
65106.6402,-2.34,-24.6,-4.5
65106.6602,-2.34,-24.24,-4.14
65106.6802,-2.46,-24.48,-3.72
65106.7002,-2.46,-24.24,-3.78
65106.7201,-2.52,-24.54,-3.72
65106.7402,-2.34,-25.08,-3.84
65106.7602,-2.34,-24.9,-4.08
65106.7802,-2.22,-25.02,-4.14
65106.8002,-2.16,-24.6,-4.5
65106.8202,-2.4,-24,-5.04
65106.8402,-2.7,-24,-5.28
65106.8602,-2.94,-24.42,-5.64
65106.8802,-2.94,-24.78,-5.76
65106.9002,-2.7,-24.66,-5.88
65106.9202,-2.28,-25.02,-5.76
65106.9402,-2.16,-25.08,-6
65106.9602,-1.68,-25.02,-5.76
65106.9812,-1.44,-25.2,-5.76
65107.0022,-1.26,-25.14,-6.12
65107.0222,-0.84,-24.9,-5.88
65107.0432,-0.84,-24.96,-6.3
65107.0632,-1.26,-25.08,-6.06
65107.0832,-1.62,-25.08,-5.7
65107.1032,-1.86,-24.84,-5.64
65107.1232,-1.92,-25.26,-4.98
65107.1431,-1.92,-25.38,-4.8
65107.1632,-2.04,-25.26,-5.1
65107.1832,-1.86,-25.44,-5.1
65107.2032,-1.62,-24.96,-5.64
65107.2232,-1.5,-24.54,-5.64
65107.2432,-1.44,-24.48,-5.22
65107.2632,-1.5,-24.54,-5.28
65107.2842,-1.8,-24.66,-4.98
65107.3042,-1.56,-24.9,-4.8
65107.3242,-1.26,-25.14,-5.22
65107.3442,-1.26,-25.32,-4.92
65107.3642,-1.26,-25.5,-4.92
