AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:10,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:13,wifi_rssi_20:23:00:00:00:14,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:16,wifi_rssi_20:23:00:00:00:17,wifi_rssi_20:23:00:00:00:19,wifi_rssi_20:23:00:00:00:21,wifi_rssi_20:23:00:00:00:22,wifi_rssi_20:23:00:00:00:23,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:41,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:02:39,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_rssi_20:23:00:00:03:26,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:10,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:13,wifi_freq_20:23:00:00:00:14,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:16,wifi_freq_20:23:00:00:00:17,wifi_freq_20:23:00:00:00:19,wifi_freq_20:23:00:00:00:21,wifi_freq_20:23:00:00:00:22,wifi_freq_20:23:00:00:00:23,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:41,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:02:39,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25,wifi_freq_20:23:00:00:03:26
42.5957,-72.0,,,,,,,-74.0,,-93.0,,,-72.0,,,,,,,,-85.0,,,,,-77.0,,-75.0,-78.0,,-78.0,,,-82.0,-72.0,-72.0,-73.0,-89.0,,,,,,,,,,,,,,,,-92.0,,2437.0,,,,,,,5200.0,,2417.0,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,2437.0,
44.5824,-72.0,,,,,,,-74.0,,,,,-77.0,,,,,,,,-91.0,,,,,-75.0,,-73.0,-75.0,,-76.0,-94.0,,-87.0,-71.0,-71.0,-74.0,-89.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
46.5928,-72.0,,,,,,,-77.0,,-93.0,,,-72.0,,,,,,,,-90.0,,,,,-79.0,,-74.0,-73.0,,-80.0,,,-89.0,-72.0,-72.0,-73.0,-87.0,,,,,,,,,,,,,,,,-91.0,,2437.0,,,,,,,5200.0,,2417.0,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,2437.0,
48.624,-75.0,,,,,,,-81.0,,,,,-76.0,,,,,,,,-89.0,,,,,-79.0,,-74.0,-77.0,,-76.0,,,,-72.0,-72.0,-78.0,-88.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
50.5992,,,,,,,,-72.0,,,,,-76.0,,,,,,,,-89.0,,,,,-79.0,,-73.0,-80.0,,-78.0,,,-89.0,-71.0,-71.0,-72.0,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
52.6012,-73.0,,,,,,,-74.0,,,,,-74.0,,,,,,,,-89.0,,,,-93.0,-79.0,,-75.0,-74.0,,-74.0,,,-88.0,-74.0,-74.0,-75.0,-90.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,2412.0,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
54.6211,-68.0,,,,,,,-74.0,,,,,-71.0,,,,,,,,-87.0,,,,-93.0,-77.0,,-73.0,-77.0,,-78.0,,,-89.0,-73.0,-73.0,-74.0,-89.0,,,,,,,,,,,,,,,,-92.0,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,2412.0,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,2437.0,
56.6005,-70.0,,,,,,,-77.0,,,,,-71.0,,,,,,,,-89.0,,,,,-79.0,,-73.0,-77.0,,-78.0,,,-90.0,-74.0,-74.0,-73.0,-90.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
58.6276,-70.0,,,,,,,,,-95.0,,,-79.0,,,,,,,,-88.0,,,,,-79.0,,-72.0,-76.0,,-77.0,,,-88.0,-72.0,-72.0,-77.0,-90.0,,,,,,,,,,,,,,,,-92.0,,2437.0,,,,,,,,,2417.0,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,2437.0,
60.5877,-68.0,,,,,,,-75.0,,,,,-75.0,,,,,,,,-89.0,,,,,-80.0,,-76.0,-77.0,,-78.0,,,-86.0,-73.0,-72.0,-76.0,-90.0,,,,,,,,,,,,,,,,-84.0,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,2437.0,
62.6,-63.0,,,,,,,-80.0,,,,,-75.0,,,,,,,,-88.0,,,,,-75.0,,-77.0,-78.0,,-78.0,,,-82.0,-73.0,-74.0,-72.0,-91.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
64.5905,-59.0,,,,,,,-74.0,,,,,-72.0,,,,,,,,-91.0,,,,,,,-71.0,-72.0,,-72.0,,,-83.0,-69.0,-69.0,-72.0,-88.0,,,,,,,,,,,,,,,,-92.0,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,2437.0,
66.6339,-55.0,,,,,,,-70.0,,,,,-62.0,,,,,,,,,,,,,-84.0,,-74.0,-72.0,-90.0,-72.0,,,-78.0,-72.0,-72.0,-75.0,-80.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,,,,,,2457.0,,2462.0,2412.0,2462.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
68.5666,-61.0,,,,,-93.0,,-59.0,,-92.0,,,-65.0,,,,,,,,,,,,,-85.0,,-74.0,-72.0,,-72.0,,,-85.0,-69.0,-69.0,-72.0,-89.0,,,,,,,,,,,,,,,,-91.0,,2437.0,,,,,2462.0,,5200.0,,2417.0,,,2452.0,,,,,,,,,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,2437.0,
70.5904,-55.0,-90.0,-93.0,,,,,-57.0,,,,,-72.0,,,,,,,,-87.0,,,,-94.0,,,-72.0,-73.0,,-70.0,-91.0,,-84.0,-63.0,-63.0,-74.0,-84.0,,,,,,,,,,,,,,,,,,2437.0,2437.0,5200.0,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,2412.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
72.6953,-59.0,,,-87.0,-90.0,,,-61.0,,-86.0,,,-66.0,-91.0,,-91.0,,,,-87.0,,,,,,-89.0,,-76.0,-67.0,-89.0,-63.0,,,-78.0,-68.0,-68.0,-79.0,-89.0,,,,,,,,,,,,,,,,,,2437.0,,,5500.0,5500.0,,,5200.0,,2417.0,,,2452.0,5500.0,,5260.0,,,,2462.0,,,,,,2457.0,,2462.0,2412.0,2462.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
74.6314,-53.0,,,,,,,-58.0,,-88.0,,,-77.0,,,,,,,,-86.0,-88.0,,,,-88.0,,-71.0,-73.0,-91.0,-74.0,-88.0,,-78.0,-71.0,-71.0,-69.0,,,,,,,,,,,,,,,,,-91.0,,2437.0,,,,,,,5200.0,,2417.0,,,2452.0,,,,,,,,2412.0,2412.0,,,,2457.0,,2462.0,2412.0,2462.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,,,,,,,,,2437.0,
76.5866,-48.0,,,,,,,-67.0,,-94.0,,,-62.0,,,,,,,,,,,,,-90.0,,-72.0,-72.0,,-65.0,,,-76.0,-63.0,-63.0,-73.0,-89.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,2417.0,,,2452.0,,,,,,,,,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
78.5842,-56.0,,-92.0,,,,,-67.0,,,,,-66.0,,,,,,,,,,,,,,,-71.0,-73.0,,-70.0,,,-74.0,-68.0,-68.0,-71.0,-86.0,,-89.0,,,,,,,,,,,,,-93.0,,,2437.0,,5200.0,,,,,5200.0,,,,,2452.0,,,,,,,,,,,,,,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,2462.0,,
80.5931,-53.0,,-93.0,,,,,-57.0,,,,,-65.0,,,,,,,,,,-83.0,,,-90.0,,-74.0,-71.0,,-64.0,,,-75.0,-63.0,-63.0,-69.0,-91.0,,,,,,,,,,,,,,,,-87.0,,2437.0,,5200.0,,,,,5200.0,,,,,2452.0,,,,,,,,,,2412.0,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,2437.0,
82.5908,-51.0,,-91.0,,,,,-56.0,,,,,-68.0,,,,,,,,,,,,,,,-66.0,-76.0,,-66.0,,,-78.0,-64.0,-64.0,-65.0,-86.0,,-89.0,,,,,,,,,,,,,,,,2437.0,,5200.0,,,,,5200.0,,,,,2452.0,,,,,,,,,,,,,,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,
84.6022,-42.0,,,,,,,-56.0,,,,,-67.0,,,,,,,,-87.0,,,,,,,-70.0,-65.0,-88.0,-63.0,,,-80.0,-67.0,-67.0,-75.0,-90.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,,,2462.0,2412.0,2462.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
