AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90
73.5788,-55.0,-59.0,-68.0,,,,,,-56.0,-69.0,,-51.0,2437.0,5200.0,2417.0,,,,,,2437.0,2462.0,,2437.0
77.5625,-53.0,-62.0,-63.0,,,,,,-53.0,-71.0,,-63.0,2437.0,5200.0,2417.0,,,,,,2437.0,2462.0,,2437.0
81.5795,-56.0,-63.0,,,,,-68.0,-71.0,-48.0,,,-59.0,2437.0,5200.0,,,,,2427.0,2437.0,2437.0,,,2437.0
85.6293,-56.0,-60.0,,,,,-75.0,-80.0,-59.0,,,-65.0,2437.0,5200.0,,,,,2427.0,2437.0,2437.0,,,2437.0
89.7772,-44.0,-63.0,,,-84.0,,-83.0,,-69.0,,,-61.0,2437.0,5200.0,,,2462.0,,2427.0,,2437.0,,,2437.0
93.5977,-45.0,-66.0,-84.0,,,,-84.0,,-66.0,,,-61.0,2437.0,5200.0,2417.0,,,,2427.0,,2437.0,,,2437.0
97.5965,-50.0,-66.0,,,,-86.0,,-86.0,-73.0,,,-61.0,2437.0,5200.0,,,,2462.0,,2437.0,2437.0,,,2437.0
101.6161,-69.0,-74.0,,,,-85.0,,-86.0,-70.0,,,-56.0,2437.0,5200.0,,,,2462.0,,2437.0,2437.0,,,2437.0
105.6202,-57.0,-75.0,-85.0,,,,,,-72.0,,-84.0,-53.0,2437.0,5200.0,2417.0,,,,,,2437.0,,2452.0,2437.0
109.6003,-69.0,-72.0,-83.0,,-80.0,,-82.0,,-66.0,,,,2437.0,5200.0,2417.0,,2462.0,,2427.0,,2437.0,,,
113.6214,,-71.0,-85.0,,-84.0,,,,-62.0,-85.0,,-60.0,,5200.0,2417.0,,2462.0,,,,2437.0,2462.0,,2437.0
117.5756,-71.0,-74.0,-82.0,,,,,-80.0,-62.0,,,-56.0,2437.0,5200.0,2417.0,,,,,2437.0,2437.0,,,2437.0
121.5872,-61.0,-74.0,,,-84.0,,,,-63.0,-84.0,,-59.0,2437.0,5200.0,,,2462.0,,,,2437.0,2462.0,,2437.0
125.6,-57.0,-81.0,,,,,,-81.0,-66.0,-84.0,,-55.0,2437.0,5200.0,,,,,,2437.0,2437.0,2462.0,,2437.0
129.6022,-56.0,-73.0,-85.0,,,,,,-64.0,-84.0,,-54.0,2437.0,5200.0,2417.0,,,,,,2437.0,2462.0,,2437.0
133.5826,-53.0,-76.0,,,,,,-82.0,-65.0,-84.0,,-55.0,2437.0,5200.0,,,,,,2437.0,2437.0,2462.0,,2437.0
137.5712,-53.0,-74.0,-86.0,,,,,,-63.0,-84.0,,-53.0,2437.0,5200.0,2417.0,,,,,,2437.0,2462.0,,2437.0
141.5958,-50.0,-69.0,,,,,-82.0,,-69.0,-83.0,,-57.0,2437.0,5200.0,,,,,2427.0,,2437.0,2462.0,,2437.0
145.6176,-51.0,-73.0,,,,,-82.0,,-70.0,-81.0,,-54.0,2437.0,5200.0,,,,,2427.0,,2437.0,2462.0,,2437.0
149.5782,-55.0,-72.0,,,,,-80.0,-81.0,-70.0,,,-54.0,2437.0,5200.0,,,,,2427.0,2437.0,2437.0,,,2437.0
153.6153,-52.0,-75.0,,,-81.0,,-80.0,,-66.0,,,-62.0,2437.0,5200.0,,,2462.0,,2427.0,,2437.0,,,2437.0
157.6288,-51.0,-71.0,,,-80.0,,,-81.0,-71.0,,,-55.0,2437.0,5200.0,,,2462.0,,,2437.0,2437.0,,,2437.0
161.5759,-53.0,-71.0,-83.0,,,,-87.0,,-68.0,,,-58.0,2437.0,5200.0,2417.0,,,,2427.0,,2437.0,,,2437.0
165.5947,-56.0,-73.0,,,,,-86.0,,-72.0,,-86.0,-62.0,2437.0,5200.0,,,,,2427.0,,2437.0,,2452.0,2437.0
169.6422,-56.0,-69.0,,,,,-84.0,,-71.0,-83.0,,-60.0,2437.0,5200.0,,,,,2427.0,,2437.0,2462.0,,2437.0
173.5884,-49.0,-68.0,-84.0,,,,,-84.0,-69.0,,,-64.0,2437.0,5200.0,2417.0,,,,,2437.0,2437.0,,,2437.0
177.5723,-64.0,-61.0,,,-83.0,,,-82.0,,-82.0,,-65.0,2437.0,5200.0,,,2462.0,,,2437.0,,2462.0,,2437.0
181.6338,-72.0,-63.0,,,,,,-80.0,-62.0,,-86.0,-60.0,2437.0,5200.0,,,,,,2437.0,2437.0,,2452.0,2437.0
185.5932,-66.0,-73.0,-73.0,,,,,,-62.0,-75.0,,-71.0,2437.0,5200.0,2417.0,,,,,,2437.0,2462.0,,2437.0
189.5849,-59.0,-65.0,-71.0,,,,,,-54.0,-68.0,,-51.0,2437.0,5200.0,2417.0,,,,,,2437.0,2462.0,,2437.0
193.5938,-54.0,-62.0,-65.0,,,,-68.0,,-53.0,,,-52.0,2437.0,5200.0,2417.0,,,,2427.0,,2437.0,,,2437.0
197.6321,-59.0,-63.0,-62.0,,,,-65.0,,-53.0,,,-57.0,2437.0,5200.0,2417.0,,,,2427.0,,2437.0,,,2437.0
201.589,-58.0,-67.0,-63.0,,,,-63.0,,-53.0,,,-59.0,2437.0,5200.0,2417.0,,,,2427.0,,2437.0,,,2437.0
