AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:08,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:34,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:08,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:34,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:03:11
42.1843,-73.0,,,,,,,-64.0,-80.0,,,,,,,,-79.0,,-84.0,,,-80.0,-81.0,,,-81.0,,-85.0,,-81.0,,,,,,,,,,,,2437.0,,,,,,,2417.0,2452.0,,,,,,,,2462.0,,2427.0,,,2422.0,2437.0,,,2462.0,,2412.0,,2437.0,,,,,,,,,,,
46.2196,-73.0,,,,,,,-65.0,-83.0,-88.0,,,,,,,-82.0,,,,-86.0,,-84.0,,,,,,,,,,-87.0,,,,,,-86.0,-86.0,,2437.0,,,,,,,2417.0,2452.0,2462.0,,,,,,,2462.0,,,,2437.0,,2437.0,,,,,,,,,,2462.0,,,,,,5260.0,5260.0,
50.1606,-71.0,,,,,,,-62.0,-79.0,,,,,,,,-78.0,-81.0,,,,,-83.0,,,-79.0,,,,-80.0,-81.0,-83.0,,,,,,,,,,2437.0,,,,,,,2417.0,2452.0,,,,,,,,2462.0,2412.0,,,,,2437.0,,,2462.0,,,,2437.0,2437.0,2437.0,,,,,,,,,
54.1513,-72.0,,,,,,-86.0,-62.0,-83.0,,-84.0,,,,,,-80.0,,,,,,,,,-81.0,,,,-81.0,,-85.0,,,,,,-84.0,,,,2437.0,,,,,,5200.0,2417.0,2452.0,,2412.0,,,,,,2462.0,,,,,,,,,2462.0,,,,2437.0,,2437.0,,,,,,5520.0,,,
58.1697,-71.0,,,,,,,-63.0,-84.0,,-84.0,,,,,,,,,,,,-83.0,,,-79.0,,,,-85.0,-80.0,-84.0,,,,,,-84.0,,,,2437.0,,,,,,,2417.0,2452.0,,2412.0,,,,,,,,,,,,2437.0,,,2462.0,,,,2437.0,2437.0,2437.0,,,,,,5520.0,,,
62.1762,-79.0,,,,,,-86.0,,-80.0,,-82.0,,,,,,-83.0,,,,-84.0,,-83.0,,,-83.0,,,,,-84.0,-83.0,,,,,,,,,,2437.0,,,,,,5200.0,,2452.0,,2412.0,,,,,,2462.0,,,,2437.0,,2437.0,,,2462.0,,,,,2437.0,2437.0,,,,,,,,,
66.1655,-77.0,,,,,,,-65.0,-80.0,,,,,,,,-79.0,,,,,,,,,-79.0,-85.0,,,-83.0,-84.0,-80.0,,,-84.0,,,,,,,2437.0,,,,,,,2417.0,2452.0,,,,,,,,2462.0,,,,,,,,,2462.0,2462.0,,,2437.0,2437.0,2437.0,,,2472.0,,,,,,
70.1783,-78.0,,,,,,,-69.0,-79.0,,,,-84.0,-84.0,,,,,,,,,,,,-80.0,,-83.0,,-82.0,-82.0,-79.0,,,,,,,,,,2437.0,,,,,,,2417.0,2452.0,,,,2412.0,2412.0,,,,,,,,,,,,2462.0,,2412.0,,2437.0,2437.0,2437.0,,,,,,,,,
74.1633,-73.0,,,,,,,-66.0,-81.0,-83.0,-85.0,-77.0,,-77.0,,,,,,,,,,,,-84.0,,,,-84.0,-84.0,,,,,,,,,,,2437.0,,,,,,,2417.0,2452.0,2462.0,2412.0,2412.0,,2412.0,,,,,,,,,,,,2462.0,,,,2437.0,2437.0,,,,,,,,,,
78.1905,-71.0,,,,,,,-76.0,-84.0,,,,,,-89.0,,,,-84.0,-84.0,,-90.0,,,,,,,,,,-86.0,,,,,,,,,-85.0,2437.0,,,,,,,2417.0,2452.0,,,,,,2412.0,,,,2427.0,2412.0,,2422.0,,,,,,,,,,2437.0,,,,,,,,,2462.0
82.1572,-64.0,,,,,,-84.0,-70.0,-80.0,-76.0,,,,,,,-81.0,,-82.0,,,-89.0,,,,-85.0,,,,,,,,,,,,,,,-80.0,2437.0,,,,,,5200.0,2417.0,2452.0,2462.0,,,,,,,2462.0,,2427.0,,,2422.0,,,,2462.0,,,,,,,,,,,,,,,2462.0
86.1719,-64.0,-83.0,,,,-85.0,-86.0,-74.0,-81.0,-73.0,-67.0,,,,,,,,,,,,,,,-81.0,,,,,,,,,,,,,,,-83.0,2437.0,2437.0,,,,2437.0,5200.0,2417.0,2452.0,2462.0,2412.0,,,,,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,2462.0
90.1682,-70.0,,,,,,,-72.0,-78.0,-81.0,-82.0,,,,-80.0,,-84.0,,,,,,-86.0,,-85.0,,,,,,,,,,,,,,,,-83.0,2437.0,,,,,,,2417.0,2452.0,2462.0,2412.0,,,,2412.0,,2462.0,,,,,,2437.0,,5220.0,,,,,,,,,,,,,,,,2462.0
94.1826,-66.0,,,-85.0,,,-82.0,-75.0,-80.0,,,,,,,,-85.0,,,,,,,-87.0,-85.0,-81.0,,,,,,,,,,,,,,,-85.0,2437.0,,,2462.0,,,5200.0,2417.0,2452.0,,,,,,,,2462.0,,,,,,,5220.0,5220.0,2462.0,,,,,,,,,,,,,,,2462.0
98.1577,-72.0,,,,,,,-73.0,-80.0,-82.0,,-82.0,,,,,-85.0,-86.0,-80.0,,,,,,-85.0,,,,,,,,,,,,,,,,-85.0,2437.0,,,,,,,2417.0,2452.0,2462.0,,2412.0,,,,,2462.0,2412.0,2427.0,,,,,,5220.0,,,,,,,,,,,,,,,,2462.0
102.1473,-68.0,,-90.0,-83.0,,,,,-79.0,,-76.0,,,,,,-80.0,,-80.0,,,,,-88.0,-88.0,,,,,,,,,,,,,,,,-87.0,2437.0,,5200.0,2462.0,,,,,2452.0,,2412.0,,,,,,2462.0,,2427.0,,,,,5220.0,5220.0,,,,,,,,,,,,,,,,2462.0
106.1415,-68.0,,,,,,,,-80.0,-79.0,-78.0,-82.0,,,,,,-87.0,-86.0,,,,,-88.0,-88.0,,,,,,,,,,,,,,,,-87.0,2437.0,,,,,,,,2452.0,2462.0,2412.0,2412.0,,,,,,2412.0,2427.0,,,,,5220.0,5220.0,,,,,,,,,,,,,,,,2462.0
110.1698,-76.0,,,-86.0,,-87.0,,-71.0,-82.0,-86.0,,,,,,,-86.0,,,,,,-86.0,,,-84.0,,,,,,,,,,,,,,,-84.0,2437.0,,,2462.0,,2437.0,,2417.0,2452.0,2462.0,,,,,,,2462.0,,,,,,2437.0,,,2462.0,,,,,,,,,,,,,,,2462.0
114.1307,-72.0,,,-88.0,,-89.0,-88.0,-68.0,-84.0,-80.0,,,,,,,-82.0,,,,,,-86.0,,,-82.0,,,,,,,,,,,,,,,,2437.0,,,2462.0,,2437.0,5200.0,2417.0,2452.0,2462.0,,,,,,,2462.0,,,,,,2437.0,,,2462.0,,,,,,,,,,,,,,,
118.1959,-75.0,,,,,-89.0,-84.0,-69.0,-82.0,,-71.0,-82.0,,-82.0,,,,,-84.0,,,,,,,,,,,,,,,,,,,,,,-86.0,2437.0,,,,,2437.0,5200.0,2417.0,2452.0,,2412.0,2412.0,,2412.0,,,,,2427.0,,,,,,,,,,,,,,,,,,,,,,2462.0
122.1657,-74.0,,,,,,-85.0,-69.0,-82.0,-80.0,-72.0,-82.0,,-83.0,,,,,-82.0,,,,,,,,,,,,,,,,,,,,,,-86.0,2437.0,,,,,,5200.0,2417.0,2452.0,2462.0,2412.0,2412.0,,2412.0,,,,,2427.0,,,,,,,,,,,,,,,,,,,,,,2462.0
126.1597,-70.0,,,,,,-85.0,-70.0,-81.0,-80.0,-72.0,-82.0,,-83.0,,,,,,,,,,,,-85.0,,,,,,,,,,,,,,,-87.0,2437.0,,,,,,5200.0,2417.0,2452.0,2462.0,2412.0,2412.0,,2412.0,,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,2462.0
130.1823,-71.0,,,,,,-86.0,-74.0,-85.0,-83.0,-73.0,-84.0,-83.0,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.0,2437.0,,,,,,5200.0,2417.0,2452.0,2462.0,2412.0,2412.0,2412.0,2412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0
134.1741,-70.0,,,,,,-82.0,-76.0,,,-74.0,-84.0,-81.0,-84.0,,,,-85.0,,,,,,,,-82.0,,,,,,,,,,,,,,,-86.0,2437.0,,,,,,5200.0,2417.0,,,2412.0,2412.0,2412.0,2412.0,,,,2412.0,,,,,,,,2462.0,,,,,,,,,,,,,,,2462.0
138.1609,-70.0,,,,-84.0,,-80.0,-72.0,,-78.0,-83.0,,-85.0,,-84.0,,,,-85.0,,,,,,,-79.0,,,,,,,,,,,,,,,,2437.0,,,,2462.0,,5200.0,2417.0,,2462.0,2412.0,,2412.0,,2412.0,,,,2427.0,,,,,,,2462.0,,,,,,,,,,,,,,,
142.1458,-69.0,,,,-83.0,,-84.0,,-83.0,-75.0,-76.0,-84.0,-83.0,,,,,,-84.0,,,,,,,-83.0,,,,,,,,,,,,,,,,2437.0,,,,2462.0,,5200.0,,2452.0,2462.0,2412.0,2412.0,2412.0,,,,,,2427.0,,,,,,,2462.0,,,,,,,,,,,,,,,
146.1939,-63.0,,,,,,,-70.0,-77.0,-72.0,,-86.0,,,-85.0,,-80.0,-79.0,-82.0,,,,,,,,,,,,,,,,,,,,,,-82.0,2437.0,,,,,,,2417.0,2452.0,2462.0,,2412.0,,,2412.0,,2462.0,2412.0,2427.0,,,,,,,,,,,,,,,,,,,,,,2462.0
150.1689,-71.0,,,,,,,-68.0,,-80.0,-77.0,-88.0,-88.0,,,-86.0,-85.0,,,,,,,,,,,,,-88.0,,,,,,,,,,,-86.0,2437.0,,,,,,,2417.0,,2462.0,2412.0,2412.0,2412.0,,,2432.0,2462.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,2462.0
154.1612,-76.0,,,,-85.0,,,,-82.0,-77.0,,-83.0,-84.0,,,,,-88.0,,,,,-84.0,,,-85.0,,,,-87.0,,,,,,,,,,,,2437.0,,,,2462.0,,,,2452.0,2462.0,,2412.0,2412.0,,,,,2412.0,,,,,2437.0,,,2462.0,,,,2437.0,,,,,,,,,,,
158.1908,-75.0,,,-86.0,,,,-67.0,-77.0,,,,,,,,-81.0,,-84.0,-83.0,,,,,-87.0,-81.0,,,,,,-87.0,,,,,,,,,,2437.0,,,2462.0,,,,2417.0,2452.0,,,,,,,,2462.0,,2427.0,2412.0,,,,,5220.0,2462.0,,,,,,2437.0,,,,,,,,,
162.1462,-75.0,,,,,,,-65.0,-76.0,,,,,,,,-80.0,,-78.0,,,,-83.0,,,,,,,-78.0,-79.0,-77.0,,,,,-83.0,,,,,2437.0,,,,,,,2417.0,2452.0,,,,,,,,2462.0,,2427.0,,,,2437.0,,,,,,,2437.0,2437.0,2437.0,,,,,5520.0,,,,
