AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:03:25
81.0471,,-71.0,-62.0,,,,-70.0,-64.0,-65.0,,,,,-65.0,,,,,,,,,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,,
85.0417,,-73.0,-63.0,,,,,-70.0,-63.0,,,,-72.0,-65.0,,,,,,,,,,,2417.0,2452.0,,,,,2437.0,2422.0,,,,2462.0,2462.0,,,,,,,,,
89.0232,,-67.0,-71.0,,,,-74.0,-73.0,-65.0,,,,,-70.0,,,,,,,,,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,,
93.0292,,-67.0,-71.0,,-77.0,,,-73.0,-65.0,,,,,,,,,,,,-76.0,,,,2417.0,2452.0,,2462.0,,,2437.0,2422.0,,,,,,,,,,,,2462.0,,
97.0476,,-58.0,-74.0,,,,,-77.0,-74.0,,,,,-73.0,,,,,,,-72.0,,,,2417.0,2452.0,,,,,2437.0,2422.0,,,,,2462.0,,,,,,,2462.0,,
101.0698,,-63.0,-79.0,,,,,,-78.0,,,,-80.0,-77.0,,,,,-78.0,,,,,,2417.0,2452.0,,,,,,2422.0,,,,2462.0,2462.0,,,,,2437.0,,,,
105.0387,,,-78.0,,,,,,-80.0,,,,,-74.0,,,-71.0,-71.0,-70.0,,,,,,,2452.0,,,,,,2422.0,,,,,2462.0,,,2437.0,2437.0,2437.0,,,,
109.0669,,-70.0,,,,,,,,,,,,-70.0,,,-72.0,-77.0,-76.0,,,-77.0,,,2417.0,,,,,,,,,,,,2462.0,,,2437.0,2437.0,2437.0,,,5520.0,
113.0701,-76.0,-58.0,-78.0,,,,,,,,,,,-78.0,,,-76.0,-77.0,,,,,,2437.0,2417.0,2452.0,,,,,,,,,,,2462.0,,,2437.0,2437.0,,,,,
117.099,,-68.0,-78.0,,,,-76.0,,,-78.0,,,,,-76.0,-77.0,,,,,,,,,2417.0,2452.0,,,,2427.0,,,2437.0,,,,,2412.0,2462.0,,,,,,,
121.052,,-63.0,-78.0,,-81.0,,,,,,,,-80.0,,,,-81.0,-78.0,,,,,,,2417.0,2452.0,,2462.0,,,,,,,,2462.0,,,,2437.0,2437.0,,,,,
125.0888,-74.0,-61.0,,,-78.0,,,-81.0,,-80.0,,,-80.0,,,,,,,,,,,2437.0,2417.0,,,2462.0,,,2437.0,,2437.0,,,2462.0,,,,,,,,,,
129.0289,-76.0,-63.0,,,-72.0,,-81.0,-78.0,,-77.0,,,,,,,,,,,,,,2437.0,2417.0,,,2462.0,,2427.0,2437.0,,2437.0,,,,,,,,,,,,,
133.0483,,-66.0,,,-73.0,,-81.0,,,-78.0,-83.0,,-76.0,,,,,,,,,,,,2417.0,,,2462.0,,2427.0,,,2437.0,5200.0,,2462.0,,,,,,,,,,
137.0391,-80.0,-66.0,-77.0,,-73.0,,,,,-75.0,,,-76.0,,,,,,,,,,,2437.0,2417.0,2452.0,,2462.0,,,,,2437.0,,,2462.0,,,,,,,,,,
141.064,,,-78.0,,-73.0,,,,,-77.0,,,-75.0,,,,-78.0,,-78.0,,,,,,,2452.0,,2462.0,,,,,2437.0,,,2462.0,,,,2437.0,,2437.0,,,,
145.0316,-78.0,-64.0,-78.0,,-75.0,,,,,-77.0,,,-75.0,,,,,,,,,,,2437.0,2417.0,2452.0,,2462.0,,,,,2437.0,,,2462.0,,,,,,,,,,
149.0703,-74.0,-66.0,-78.0,,-76.0,,,,,-77.0,,,-77.0,,,,,,,,,,,2437.0,2417.0,2452.0,,2462.0,,,,,2437.0,,,2462.0,,,,,,,,,,
153.1178,-74.0,,-80.0,,-79.0,,,-82.0,,-75.0,,,,,,,-83.0,,,,,,,2437.0,,2452.0,,2462.0,,,2437.0,,2437.0,,,,,,,2437.0,,,,,,
157.0546,-74.0,-62.0,-80.0,-79.0,-79.0,,,,,-75.0,,,,,,,,,,,,,,2437.0,2417.0,2452.0,2412.0,2462.0,,,,,2437.0,,,,,,,,,,,,,
161.0565,-75.0,-60.0,-77.0,,,,,-76.0,,-75.0,,,-73.0,,,,,,,,,,,2437.0,2417.0,2452.0,,,,,2437.0,,2437.0,,,2462.0,,,,,,,,,,
165.066,,-54.0,-74.0,-77.0,,,,,-79.0,-77.0,,,-73.0,,,,,,,,,,,,2417.0,2452.0,2412.0,,,,,2422.0,2437.0,,,2462.0,,,,,,,,,,
169.0911,,-66.0,,,,,,,,,,,,-76.0,-74.0,,-77.0,,-74.0,-74.0,,,,,2417.0,,,,,,,,,,,,2462.0,2412.0,,2437.0,,2437.0,2412.0,,,
173.0595,-77.0,-67.0,-79.0,,,,,,,,,,,-75.0,-80.0,,,,,,-79.0,,,2437.0,2417.0,2452.0,,,,,,,,,,,2462.0,2412.0,,,,,,2462.0,,
177.0688,,-66.0,-72.0,,-75.0,,-76.0,,,,,,-76.0,-72.0,,,,,,,,,,,2417.0,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,,
181.0714,,-66.0,-69.0,,,,-76.0,-72.0,-77.0,,,,,-68.0,,,,,,,,,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,,
185.0385,,-64.0,-70.0,,,,,-68.0,-71.0,,,,,-67.0,,,,,,,,,-76.0,,2417.0,2452.0,,,,,2437.0,2422.0,,,,,2462.0,,,,,,,,,2437.0
189.0266,,-72.0,-71.0,,,,-74.0,-68.0,-71.0,,,,,-72.0,,,,,,,,,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,,
193.0618,,,-68.0,,,,-69.0,-68.0,-66.0,,,,-70.0,-60.0,,,,,,,,,,,,2452.0,,,,2427.0,2437.0,2422.0,,,,2462.0,2462.0,,,,,,,,,
197.0746,,,-68.0,,-66.0,,-66.0,-66.0,,,,,-67.0,-64.0,,,,,,,,,,,,2452.0,,2462.0,,2427.0,2437.0,,,,,2462.0,2462.0,,,,,,,,,
201.0514,,,-61.0,,-61.0,-60.0,-59.0,-60.0,-63.0,,,,,,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,,,,,,,,,,,,,,
205.0364,,,-61.0,,-57.0,,-61.0,-57.0,,,,,-59.0,-58.0,,,,,,,,,,,,2452.0,,2462.0,,2427.0,2437.0,,,,,2462.0,2462.0,,,,,,,,,
209.0393,,,-48.0,,-58.0,,-52.0,,,,-63.0,,-59.0,,,,,,,,,,-58.0,,,2452.0,,2462.0,,2427.0,,,,5200.0,,2462.0,,,,,,,,,,2437.0
