AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:08,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:16,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:34,wifi_rssi_20:23:00:00:00:35,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:47,wifi_rssi_20:23:00:00:00:48,wifi_rssi_20:23:00:00:00:49,wifi_rssi_20:23:00:00:00:51,wifi_rssi_20:23:00:00:00:52,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:68,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:71,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:72,wifi_rssi_20:23:00:00:02:34,wifi_rssi_20:23:00:00:02:35,wifi_rssi_20:23:00:00:02:82,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:08,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:16,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:34,wifi_freq_20:23:00:00:00:35,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:47,wifi_freq_20:23:00:00:00:48,wifi_freq_20:23:00:00:00:49,wifi_freq_20:23:00:00:00:51,wifi_freq_20:23:00:00:00:52,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:68,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:71,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:72,wifi_freq_20:23:00:00:02:34,wifi_freq_20:23:00:00:02:35,wifi_freq_20:23:00:00:02:82
40.0831,-78.0,,,,,,,,-85.0,,-80.0,,,,,-91.0,,,,,-80.0,-85.0,,,,,,-87.0,,-86.0,,-86.0,,-79.0,-81.0,-82.0,-79.0,-86.0,,-86.0,,-86.0,-84.0,-88.0,,-89.0,,,-87.0,-84.0,-84.0,-87.0,,,-85.0,-87.0,,,-91.0,,,,,2437.0,,,,,,,,5200.0,,2452.0,,,,,2412.0,,,,,2462.0,2412.0,,,,,,2427.0,,2437.0,,2422.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2412.0,,2437.0,2437.0,2437.0,,2412.0,,,5240.0,5520.0,5520.0,5240.0,,,2437.0,2462.0,,,2462.0,,,,
44.0977,-72.0,,,,,,,,,-67.0,-80.0,,,-86.0,,,,,,,,-86.0,,,,,,-83.0,,-84.0,,,,-81.0,-84.0,-83.0,,-86.0,,-89.0,,-85.0,-85.0,-85.0,,,-89.0,-91.0,-88.0,-85.0,-84.0,,,,,,,,,,,,,2437.0,,,,,,,,,2417.0,2452.0,,,2412.0,,,,,,,,2412.0,,,,,,2427.0,,2437.0,,,,2437.0,5200.0,5200.0,,2462.0,,2412.0,,2437.0,2437.0,2437.0,,,2472.0,2462.0,5240.0,5520.0,5520.0,,,,,,,,,,,,
48.0859,,,,,,,,,-87.0,-67.0,-78.0,,,,,,,,,,-78.0,,,,,,,-82.0,,-85.0,,-90.0,,-81.0,-88.0,-87.0,-79.0,-86.0,,-88.0,,-85.0,-85.0,-83.0,-88.0,,-89.0,-87.0,,,,,,,-87.0,-86.0,,,,,,,,,,,,,,,,5200.0,2417.0,2452.0,,,,,,,,,,2462.0,,,,,,,2427.0,,2437.0,,2422.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2412.0,,2437.0,2437.0,2437.0,2462.0,,2472.0,2462.0,,,,,,,2437.0,2462.0,,,,,,,
52.1542,-73.0,,,,,,,,-83.0,-67.0,,,,,,,,,,,-74.0,,,,,,,-81.0,,-85.0,,-87.0,,-81.0,,-89.0,,,,,,-82.0,-82.0,-85.0,,-85.0,-90.0,-86.0,-92.0,-91.0,-90.0,,-86.0,,-86.0,,,,,,,,,2437.0,,,,,,,,5200.0,2417.0,,,,,,,,,,,2462.0,,,,,,,2427.0,,2437.0,,2422.0,,2437.0,,5200.0,,,,,,2437.0,2437.0,2437.0,,2412.0,2472.0,2462.0,5240.0,5520.0,5520.0,,5260.0,,2437.0,,,,,,,,
56.1112,,,,,,,,,,-67.0,-82.0,,,,,,,,,,-76.0,-85.0,,,,,,,,-85.0,,-88.0,,-81.0,-90.0,,-77.0,-87.0,,,,-85.0,-82.0,,,,-90.0,-86.0,-89.0,-91.0,,,,-90.0,-85.0,-89.0,,-93.0,,,,,,,,,,,,,,,2417.0,2452.0,,,,,,,,,,2462.0,2412.0,,,,,,,,2437.0,,2422.0,,2437.0,5200.0,,2462.0,2462.0,,,,2437.0,2437.0,,,,2472.0,2462.0,5240.0,5520.0,,,,2437.0,2437.0,2462.0,,2462.0,,,,,
60.1305,-77.0,,,,,,,,,-71.0,,,,,,,,,,,-78.0,-74.0,,,,,,-83.0,,,,,,-82.0,-88.0,-87.0,-76.0,,,,,,,,,,-89.0,-82.0,,-86.0,-85.0,,,,-86.0,,,,,,,,,2437.0,,,,,,,,,2417.0,,,,,,,,,,,2462.0,2412.0,,,,,,2427.0,,,,,,2437.0,5200.0,5200.0,2462.0,,,,,,,,,,2472.0,2462.0,,5520.0,5520.0,,,,2437.0,,,,,,,,
64.1215,-78.0,,,,,-91.0,,,,-69.0,,,,,,,,,,,-80.0,,,,,,,,,-89.0,,-86.0,,,-88.0,-87.0,-81.0,-89.0,,,,-84.0,,,-88.0,-87.0,-87.0,-89.0,,-86.0,,,,,-88.0,,-90.0,,,,,,,2437.0,,,,,2462.0,,,,2417.0,,,,,,,,,,,2462.0,,,,,,,,,2437.0,,2422.0,,,5200.0,5200.0,2462.0,2462.0,,,,2437.0,,,2462.0,2412.0,2472.0,2462.0,,5520.0,,,,,2437.0,,2462.0,,,,,,
68.1031,-74.0,,,,,-88.0,,,-88.0,-72.0,-85.0,,,,,,,,,,-77.0,-88.0,,,,,,-84.0,-94.0,,,,,,-88.0,-88.0,,-89.0,,,-85.0,,,,,,-91.0,-87.0,-91.0,,,,,,,-88.0,,,,,,,,2437.0,,,,,2462.0,,,5200.0,2417.0,2452.0,,,,,,,,,,2462.0,2412.0,,,,,,2427.0,2412.0,,,,,,5200.0,5200.0,,2462.0,,,2462.0,,,,,,2472.0,2462.0,5240.0,,,,,,,2462.0,,,,,,,
72.1288,-69.0,-87.0,,,,-82.0,,,-85.0,,-86.0,,-79.0,,,-73.0,-73.0,,,,-84.0,,,,,,,-86.0,,,,,,,,,,,,,,-88.0,,,,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,2462.0,,,5200.0,,2452.0,,2462.0,,,2412.0,2412.0,,,,2462.0,,,,,,,2427.0,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,
76.1453,-73.0,,,,,-86.0,,,-85.0,-73.0,-83.0,,,,,,,-85.0,,,-82.0,-85.0,-89.0,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.0,2437.0,,,,,2462.0,,,5200.0,2417.0,2452.0,,,,,,,2412.0,,,2462.0,2412.0,2447.0,,,,,,2412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412.0
80.0824,-64.0,,,,,-84.0,,,-83.0,-68.0,-82.0,-85.0,-86.0,-70.0,-76.0,-75.0,-76.0,,,,-81.0,,,-89.0,,-87.0,-88.0,-83.0,,,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,2462.0,,,5200.0,2417.0,2452.0,5500.0,2462.0,2412.0,2412.0,2412.0,2412.0,,,,2462.0,,,2462.0,,2462.0,2462.0,2427.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.1308,-66.0,-82.0,,,,-82.0,,,-83.0,-68.0,-78.0,,-79.0,-79.0,,,-86.0,,-81.0,,-79.0,,,,-86.0,,,-76.0,,-88.0,,-88.0,,-88.0,-88.0,-86.0,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,2462.0,,,5200.0,2417.0,2452.0,,2462.0,2412.0,,,2412.0,,2432.0,,2462.0,,,,2457.0,,,2427.0,,2437.0,,2422.0,,2437.0,5200.0,5200.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,
88.1421,-74.0,,,,,,,,-83.0,-73.0,-79.0,,-84.0,,-87.0,-86.0,,,,-90.0,-82.0,,,,-87.0,,,-77.0,,-88.0,,,,,,-88.0,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,5200.0,2417.0,2452.0,,2462.0,,2412.0,2412.0,,,,2412.0,2462.0,,,,2457.0,,,2427.0,,2437.0,,,,,,5200.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,
92.1193,-74.0,-85.0,,,,-85.0,,,-83.0,-74.0,,,-81.0,-77.0,,-83.0,,-87.0,,,,-84.0,,,-87.0,,-91.0,,,,,,,,-91.0,-89.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,2462.0,,,5200.0,2417.0,,,2462.0,2412.0,,2412.0,,2412.0,,,,2412.0,,,2457.0,,2462.0,,,,,,,,5200.0,5200.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,
96.1439,-66.0,-87.0,,,-85.0,,,,,-70.0,-75.0,,-81.0,-79.0,-87.0,-84.0,-85.0,,,,-84.0,,,,,,,-78.0,,,,-88.0,,,-87.0,-86.0,-84.0,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,5500.0,,,,,2417.0,2452.0,,2462.0,2412.0,2412.0,2412.0,2412.0,,,,2462.0,,,,,,,2427.0,,,,2422.0,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,
100.1148,-71.0,-87.0,,,,-85.0,-85.0,,-86.0,-70.0,-80.0,,-87.0,-79.0,-87.0,-88.0,,,,,,-87.0,,,,,,,,,,,,,,-87.0,,,,,,-86.0,,,,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,2462.0,2462.0,,5200.0,2417.0,2452.0,,2462.0,2412.0,2412.0,2412.0,,,,,,2412.0,,,,,,,,,,,,,,5200.0,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,
104.0772,-67.0,,,,,-87.0,,,-86.0,-72.0,-86.0,,-83.0,-71.0,-86.0,-84.0,-82.0,-88.0,,,,-88.0,,,,,,,,,-88.0,,-84.0,,-88.0,-87.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,2462.0,,,5200.0,2417.0,2452.0,,2462.0,2412.0,2412.0,2412.0,2412.0,2412.0,,,,2412.0,,,,,,,,,2437.0,,2462.0,,5200.0,5200.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,
108.1033,-73.0,,,,,,,,,,,,-82.0,-73.0,,-84.0,-85.0,,,-91.0,-83.0,-86.0,,,,,,-87.0,-90.0,,-88.0,,-88.0,,-89.0,,,,,,,,,-90.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,2462.0,2412.0,,2412.0,2412.0,,,2412.0,2462.0,2412.0,,,,,,2427.0,2412.0,,2437.0,,2462.0,,5200.0,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,
112.0995,-65.0,,,-89.0,,,-85.0,,,-69.0,-80.0,,-86.0,-73.0,,,,-86.0,,-87.0,,-85.0,,,,,,,,,-88.0,,,,-89.0,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,-89.0,,2437.0,,,5500.0,,,2462.0,,,2417.0,2452.0,,2462.0,2412.0,,,,2412.0,,2412.0,,2412.0,,,,,,,,,2437.0,,,,5200.0,,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,
116.1091,-73.0,,,,,,-84.0,,,,,,,-82.0,,,,,,,,-84.0,,,,,,-84.0,,,,,,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,2462.0,,,,,,,2412.0,,,,,,,,2412.0,,,,,,2427.0,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.1045,-71.0,,,,,,-84.0,,,-68.0,-81.0,,-90.0,,,,,-90.0,,,-83.0,-88.0,,,,,,,,,,-88.0,,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,2462.0,,,2417.0,2452.0,,2462.0,,,,,2412.0,,,2462.0,2412.0,,,,,,,,,,2422.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.0953,-71.0,-90.0,,,,,-84.0,,,-68.0,-78.0,,-82.0,,,,,-90.0,,,-83.0,,,,,,,,,,,-88.0,,-83.0,,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,,2462.0,,,2417.0,2452.0,,2462.0,,,,,2412.0,,,2462.0,,,,,,,,,,,2422.0,,2437.0,,,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,
128.0782,-73.0,-90.0,,,,-85.0,-84.0,-90.0,,-69.0,-79.0,,,,,,,,,,-83.0,,,,,,,-81.0,,,,,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,2462.0,2462.0,2437.0,,2417.0,2452.0,,,,,,,,,,2462.0,,,,,,,2427.0,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.1011,-69.0,,,,,-87.0,,,-84.0,-69.0,-83.0,,-81.0,-76.0,,-88.0,,-87.0,,,-82.0,,,,,,,-80.0,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,2462.0,,,5200.0,2417.0,2452.0,,2462.0,2412.0,,2412.0,,2412.0,,,2462.0,,,,,,,2427.0,,,,2422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
