AppTimestamp(s),wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:02:16,wifi_rssi_20:23:00:00:02:17,wifi_rssi_20:23:00:00:02:19,wifi_rssi_20:23:00:00:02:20,wifi_rssi_20:23:00:00:02:25,wifi_rssi_20:23:00:00:02:26,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:20,wifi_freq_20:23:00:00:02:25,wifi_freq_20:23:00:00:02:26,wifi_freq_20:23:00:00:03:11
23.5033,-58.0,,,,-80.0,-82.0,-83.0,,,-83.0,,,,,,,,,,,,,,-78.0,2417.0,,,,2437.0,2422.0,2437.0,,,2462.0,,,,,,,,,,,,,,2462.0
25.4156,-63.0,,,-81.0,-75.0,,-67.0,,,-80.0,,,,,,,,,,,,,,-74.0,2417.0,,,2427.0,2437.0,,2437.0,,,2462.0,,,,,,,,,,,,,,2462.0
27.556,-48.0,,-83.0,-84.0,,-76.0,-78.0,,,,,,,,,,,,,,,,,-76.0,2417.0,,2462.0,2427.0,,2422.0,2437.0,,,,,,,,,,,,,,,,,2462.0
29.4538,-50.0,,,-77.0,-82.0,-75.0,-70.0,,,,,,,,,,,,,,,,,-74.0,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,,2462.0
31.5703,-56.0,-83.0,,,,-79.0,-77.0,-84.0,,,,,,,,,,,,,,,,-81.0,2417.0,2452.0,,,,2422.0,2437.0,5220.0,,,,,,,,,,,,,,,,2462.0
33.4494,-62.0,,,-81.0,-85.0,-76.0,-75.0,,,,,,,,,,,,,,,,,-76.0,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,,2462.0
35.4238,-61.0,,,,-78.0,-79.0,-77.0,-82.0,,,,,,,,,,,,,,,,-75.0,2417.0,,,,2437.0,2422.0,2437.0,5220.0,,,,,,,,,,,,,,,,2462.0
37.5554,-65.0,-83.0,,,-80.0,-78.0,-75.0,,,,,,,,,,,,,,,,,-74.0,2417.0,2452.0,,,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,,2462.0
39.4191,,,-85.0,,-79.0,-78.0,-80.0,-84.0,,-84.0,,,,,,,,,,,,,,,,,2462.0,,2437.0,2422.0,2437.0,5220.0,,2462.0,,,,,,,,,,,,,,
41.4308,,-85.0,,,-79.0,-79.0,-80.0,,-82.0,,,,,,,,,,,,,,,-75.0,,2452.0,,,2437.0,2422.0,2437.0,,5220.0,,,,,,,,,,,,,,,2462.0
43.4178,-62.0,,,,-78.0,-80.0,-76.0,,-81.0,,,,,,,,,,,,,,,-76.0,2417.0,,,,2437.0,2422.0,2437.0,,5220.0,,,,,,,,,,,,,,,2462.0
45.4532,-60.0,,,,-78.0,-79.0,-80.0,-82.0,,,,,,,,,,,,,,,,-70.0,2417.0,,,,2437.0,2422.0,2437.0,5220.0,,,,,,,,,,,,,,,,2462.0
47.4382,-62.0,,,,-77.0,-79.0,-79.0,-83.0,,,,,,,,,,,,,,,,-70.0,2417.0,,,,2437.0,2422.0,2437.0,5220.0,,,,,,,,,,,,,,,,2462.0
49.42,,,,-85.0,-78.0,-78.0,-78.0,,,-84.0,,,,,,,,,,,,,,-78.0,,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,,,,,,,,,,,,,2462.0
51.4163,-63.0,,,-83.0,-78.0,-80.0,-77.0,,,,,,,,,,,,,,,,,-79.0,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,,2462.0
53.5268,-64.0,,,,-78.0,-80.0,-82.0,,,,-84.0,,,,,,,,,,,,,-61.0,2417.0,,,,2437.0,2422.0,2437.0,,,,2437.0,,,,,,,,,,,,,2462.0
55.442,-62.0,,,-81.0,,,-74.0,-80.0,-80.0,,,,,,,,,,,,,,,-71.0,2417.0,,,2427.0,,,2437.0,5220.0,5220.0,,,,,,,,,,,,,,,2462.0
57.4229,-65.0,,,,-78.0,-81.0,-79.0,,-81.0,,,,,,,,,,,,,,,-68.0,2417.0,,,,2437.0,2422.0,2437.0,,5220.0,,,,,,,,,,,,,,,2462.0
59.4173,-63.0,,,,-77.0,-81.0,-77.0,,-82.0,,,,,,,,,,,,,,,-75.0,2417.0,,,,2437.0,2422.0,2437.0,,5220.0,,,,,,,,,,,,,,,2462.0
61.5688,-61.0,,,,-77.0,-80.0,-81.0,,-82.0,,,,,,,,,,,,,,,-75.0,2417.0,,,,2437.0,2422.0,2437.0,,5220.0,,,,,,,,,,,,,,,2462.0
63.64,-60.0,,,,,-73.0,-81.0,-85.0,,-80.0,,,,,,,,,,,,,,-77.0,2417.0,,,,,2422.0,2437.0,5220.0,,2462.0,,,,,,,,,,,,,,2462.0
67.6242,-66.0,,,,,,-82.0,,,,,,-81.0,,-74.0,-75.0,,,,,,,,-82.0,2417.0,,,,,,2437.0,,,,,,2462.0,,5260.0,5260.0,,,,,,,,2462.0
71.6368,-77.0,,,,-90.0,,,,,,,,,-85.0,-66.0,-66.0,,,,-89.0,,,,,2417.0,,,,2437.0,,,,,,,,,2472.0,5260.0,5260.0,,,,2437.0,,,,
75.7143,-87.0,,,,,,,,,,,,-75.0,-84.0,-69.0,-69.0,-77.0,,,,,,,,2417.0,,,,,,,,,,,,2462.0,2472.0,5260.0,5260.0,2462.0,,,,,,,
79.8217,,,,,,,,,,,,,-76.0,,-69.0,-69.0,-77.0,-79.0,-79.0,,,,,,,,,,,,,,,,,,2462.0,,5260.0,5260.0,2462.0,5180.0,5180.0,,,,,
83.9077,,,,,,,,,,,,,,-77.0,,,-81.0,-76.0,-75.0,,,-81.0,-81.0,,,,,,,,,,,,,,,2472.0,,,2462.0,5180.0,5180.0,,,5640.0,5640.0,
87.9065,-78.0,,,,,,,,,,,,,,,-79.0,,-78.0,-77.0,-77.0,-77.0,,,,2417.0,,,,,,,,,,,,,,,5260.0,,5180.0,5180.0,2437.0,2437.0,,,
91.7016,-73.0,,,,,,,,,,,,,-79.0,-80.0,,,-79.0,-78.0,,,,,-79.0,2417.0,,,,,,,,,,,,,2472.0,5260.0,,,5180.0,5180.0,,,,,2462.0
95.9061,-74.0,,,,,,,,,,,,,-78.0,,,,-71.0,-71.0,,,,-82.0,-68.0,2417.0,,,,,,,,,,,,,2472.0,,,,5180.0,5180.0,,,,5640.0,2462.0
99.7079,,,,,,,,,,,,,,-76.0,,,,-74.0,-74.0,-81.0,-82.0,,,-79.0,,,,,,,,,,,,,,2472.0,,,,5180.0,5180.0,2437.0,2437.0,,,2462.0
103.7739,-74.0,,,,,,,,,,,-75.0,,-77.0,-80.0,,,-76.0,-76.0,,,,,,2417.0,,,,,,,,,,,2412.0,,2472.0,5260.0,,,5180.0,5180.0,,,,,
107.7463,-75.0,,,,,,,,,,,-76.0,,-77.0,-81.0,,,-77.0,-77.0,,,,,,2417.0,,,,,,,,,,,2412.0,,2472.0,5260.0,,,5180.0,5180.0,,,,,
111.7557,-76.0,,,,,,,,,,,,,-78.0,,-80.0,,-75.0,-75.0,-79.0,,,,,2417.0,,,,,,,,,,,,,2472.0,,5260.0,,5180.0,5180.0,2437.0,,,,
115.7464,-77.0,,,,,,,,,,,,,-77.0,-80.0,-80.0,,-76.0,-76.0,,,,,,2417.0,,,,,,,,,,,,,2472.0,5260.0,5260.0,,5180.0,5180.0,,,,,
119.7644,-76.0,,,,,,,,,,,,,-76.0,-76.0,-76.0,,-75.0,-74.0,,,,,,2417.0,,,,,,,,,,,,,2472.0,5260.0,5260.0,,5180.0,5180.0,,,,,
123.7416,,,,,,,,,,,,,-79.0,-78.0,-69.0,-69.0,-79.0,,,,,,,-73.0,,,,,,,,,,,,,2462.0,2472.0,5260.0,5260.0,2462.0,,,,,,,2462.0
127.726,-76.0,,,,,,,,,,,,-72.0,,-68.0,-68.0,-71.0,-79.0,,,,,,,2417.0,,,,,,,,,,,,2462.0,,5260.0,5260.0,2462.0,5180.0,,,,,,
131.6446,-79.0,,,,,,-77.0,,,,,,-74.0,,-68.0,-69.0,-75.0,,,,,,,,2417.0,,,,,,2437.0,,,,,,2462.0,,5260.0,5260.0,2462.0,,,,,,,
135.6304,-63.0,,,,-81.0,,-71.0,,,,-83.0,,,,-77.0,-78.0,,,,,,,,,2417.0,,,,2437.0,,2437.0,,,,2437.0,,,,5260.0,5260.0,,,,,,,,
139.4706,-59.0,,-79.0,,-76.0,,-76.0,,,-79.0,,,,,,,,,,,,,,-75.0,2417.0,,2462.0,,2437.0,,2437.0,,,2462.0,,,,,,,,,,,,,,2462.0
141.558,-61.0,,,-83.0,-75.0,-78.0,-77.0,,-83.0,,,,,,,,,,,,,,,,2417.0,,,2427.0,2437.0,2422.0,2437.0,,5220.0,,,,,,,,,,,,,,,
143.435,-60.0,,-84.0,-79.0,,-83.0,-71.0,,,,,,,,,,,,,,,,,-79.0,2417.0,,2462.0,2427.0,,2422.0,2437.0,,,,,,,,,,,,,,,,,2462.0
145.4139,-59.0,,,-82.0,-79.0,-78.0,-86.0,,,-87.0,,,,,,,,,,,,,,,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,,,,,,,,,,,,,
