AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:87,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:01:97,wifi_rssi_20:23:00:00:01:98,wifi_rssi_20:23:00:00:02:55,wifi_rssi_20:23:00:00:02:56,wifi_rssi_20:23:00:00:02:57,wifi_rssi_20:23:00:00:02:58,wifi_rssi_20:23:00:00:02:59,wifi_rssi_20:23:00:00:02:60,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:70,wifi_rssi_20:23:00:00:02:73,wifi_rssi_20:23:00:00:02:74,wifi_rssi_20:23:00:00:02:88,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:45,wifi_rssi_20:23:00:00:03:46,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:87,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:01:97,wifi_freq_20:23:00:00:01:98,wifi_freq_20:23:00:00:02:55,wifi_freq_20:23:00:00:02:56,wifi_freq_20:23:00:00:02:57,wifi_freq_20:23:00:00:02:58,wifi_freq_20:23:00:00:02:59,wifi_freq_20:23:00:00:02:60,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:70,wifi_freq_20:23:00:00:02:73,wifi_freq_20:23:00:00:02:74,wifi_freq_20:23:00:00:02:88,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:45,wifi_freq_20:23:00:00:03:46
21.6665,-73.0,-88.0,,-89.0,-91.0,,-90.0,-87.0,,,,-93.0,,,,,-80.0,-74.0,-95.0,,,,,-86.0,,-88.0,,,-88.0,,,-87.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,2462.0,,2462.0,2427.0,,,,5220.0,,,,,2437.0,2437.0,2462.0,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
23.6342,-82.0,-88.0,,,,,-93.0,,,,,,,-90.0,,,-83.0,-77.0,,,,,,,,,,,-89.0,,,-88.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,,2462.0,,,,,,,2462.0,,,2437.0,2437.0,,,,,,,,,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
25.631,-75.0,-88.0,,-90.0,,,-90.0,-90.0,,,-89.0,,,,-90.0,,-85.0,-81.0,,,,,,,,,,-88.0,-92.0,,,-83.0,,,,,,,,,,-90.0,,,,,,,,2437.0,5200.0,,2452.0,,,2462.0,2427.0,,,2437.0,,,,2462.0,,2437.0,2437.0,,,,,,,,,,5500.0,2462.0,,,5500.0,,,,,,,,,,5500.0,,,,,,,
27.6528,-81.0,,,-87.0,,,,,,,-90.0,,,,-91.0,,-77.0,-79.0,,,-95.0,,,,,,,,,,,-84.0,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,,,,,,2437.0,,,,2462.0,,2437.0,2437.0,,,2462.0,,,,,,,,,,,5500.0,,,,,,,,,,,,,,,,,
29.6393,-77.0,-90.0,,-90.0,,,,-86.0,,,-69.0,,-91.0,,,,-76.0,-74.0,,,,,,,,-93.0,,,-93.0,,,-84.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,,2427.0,,,2437.0,,5220.0,,,,2437.0,2437.0,,,,,,,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
31.6713,-75.0,-90.0,,,,,,,,,-91.0,,,,,,-85.0,-76.0,,,,,,-92.0,,-91.0,,,-92.0,,,-85.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
33.6144,-79.0,-90.0,,,,,,,,,-89.0,,-92.0,,,,-83.0,-73.0,,,,,,-94.0,,,,,,,,-83.0,,,,,,,,,-90.0,,,,,,,,,2437.0,5200.0,,,,,,,,,2437.0,,5220.0,,,,2437.0,2437.0,,,,,,2462.0,,,,,,,,5500.0,,,,,,,,,5500.0,,,,,,,,
35.6478,-78.0,-87.0,,,,,,-90.0,,,,,,,,,-80.0,-74.0,,,,,,-84.0,,,,,-84.0,,,-87.0,,-95.0,,,,,,,,,,,,,,,,2437.0,5200.0,,,,,,2427.0,,,,,,,,,2437.0,2437.0,,,,,,2462.0,,,,,2462.0,,,5500.0,,2437.0,,,,,,,,,,,,,,,
37.6584,-81.0,-86.0,,,,,,-92.0,,,-88.0,,,,,,-80.0,-80.0,,,,,,-87.0,,-87.0,,,-87.0,,,-87.0,,,-94.0,,,,,-89.0,,,,,,,,,,2437.0,5200.0,,,,,,2427.0,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,2437.0,,,,,5500.0,,,,,,,,,
39.6978,-75.0,-86.0,,,,,,-92.0,,,-88.0,,,,-94.0,,-79.0,-79.0,,,,,,-85.0,,-92.0,,,-94.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,,,2427.0,,,2437.0,,,,2462.0,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,,,,,,,,,,,,,,,,,,
41.605,-78.0,-88.0,,,,,,,,,-87.0,,,,,,-79.0,-79.0,-95.0,,,,,-92.0,,-87.0,,,-92.0,,,-85.0,,,,,,,,,-89.0,,,,,,,,,2437.0,5200.0,,,,,,,,,2437.0,,,,,,2437.0,2437.0,2462.0,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,5500.0,,,,,,,,
43.6808,-76.0,-89.0,,,,,,,-95.0,,-90.0,,,,-91.0,,-82.0,-81.0,,,,,-97.0,-87.0,,-87.0,,,,,,-85.0,,,,,,,,,-89.0,,,,,,,,,2437.0,5200.0,,,,,,,2437.0,,2437.0,,,,2462.0,,2437.0,2437.0,,,,,2412.0,2462.0,,2462.0,,,,,,5500.0,,,,,,,,,5500.0,,,,,,,,
45.8048,-79.0,-87.0,,,,,,-93.0,,,,,,,,,-79.0,-82.0,,,,,,-91.0,,-88.0,,,-91.0,,,-82.0,,,,,,,-92.0,,,,,,,,,,,2437.0,5200.0,,,,,,2427.0,,,,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,5500.0,,,,,,,,,,
47.6707,-82.0,,,,,,-93.0,-93.0,,,-90.0,,,,-94.0,,-84.0,-77.0,,,,,,-88.0,,-89.0,,,-89.0,,,-86.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,2462.0,2427.0,,,2437.0,,,,2462.0,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
49.66,-77.0,-89.0,,,,,,,,,-88.0,,,,,,-79.0,-81.0,,,,,,-90.0,,-91.0,-95.0,,,,,-84.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,2412.0,,,,,5500.0,,,,,,,,,,,,,,,,,
51.6665,-80.0,,,,-93.0,,,,,,-87.0,,,,,,-78.0,-79.0,,,,,,-90.0,,-91.0,,,-88.0,,,-89.0,,,,,,,,,,,,,,,,,,2437.0,,,,2462.0,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
53.602,-76.0,-86.0,,,,,,,,,-86.0,,,,,,-79.0,-77.0,,,,,,-90.0,,,,,-90.0,,,-87.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
55.6812,-76.0,-87.0,,,,,,,,,-88.0,,,,,,-77.0,-80.0,,,,,,,,,,,-93.0,,-93.0,-87.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,,,,,,2462.0,,2412.0,5500.0,,,,,,,,,,,,,,,,,
57.6552,-81.0,-90.0,,,,,,,,,-89.0,,,,-92.0,,-79.0,-78.0,,,,,,-90.0,,-91.0,,,,,,,,,,,,,,-91.0,-90.0,,,,,,,,,2437.0,5200.0,,,,,,,,,2437.0,,,,2462.0,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,,,,,,,,,,,,5500.0,5500.0,,,,,,,,
59.6468,-81.0,-90.0,,,,,,,,,-90.0,,,,,,-78.0,-76.0,,,,,,-89.0,,-90.0,,,-90.0,,,-89.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
61.6666,-91.0,-90.0,,-95.0,,,,,,,-88.0,,,,,,-78.0,-79.0,,,,,,,,-91.0,,-89.0,,,,-79.0,,,,,,,,-90.0,-90.0,-89.0,,,,,,,,2437.0,5200.0,,2452.0,,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,,,2462.0,,5500.0,,,,5500.0,,,,,,,,5500.0,5500.0,5500.0,,,,,,,
63.6653,-77.0,,,,,,,-90.0,,,,,,,,,-78.0,-69.0,,,,,,-87.0,,-86.0,,,-87.0,,,-84.0,-93.0,,,,,,,,,-91.0,,,,,,,,2437.0,,,,,,,2427.0,,,,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,2412.0,,,,,,,,,5500.0,,,,,,,
65.6546,-80.0,,,,,,,,,,,,,,,,-81.0,-80.0,,,,,,-88.0,,-88.0,,,-88.0,,,-80.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
67.6207,,,,,,,,,,,,,,,,,-76.0,-78.0,,-89.0,-96.0,,,-88.0,,-87.0,,-90.0,-87.0,,,-77.0,,,,,,,,,,-92.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,2437.0,,5500.0,2462.0,,,2462.0,,2462.0,,5500.0,2462.0,,,5500.0,,,,,,,,,,5500.0,,,,,,,
69.6691,-85.0,,,,,,,,,,,,,,,,-79.0,-74.0,,-84.0,,,,-84.0,,-84.0,,,,,,-77.0,-92.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,2437.0,2437.0,,5500.0,,,,2462.0,,2462.0,,,,,,5500.0,2412.0,,,,,,,,,,,,,,,,
71.7772,-89.0,,,,,,,,,,,,,,,,-81.0,-64.0,-94.0,-82.0,-91.0,,,-86.0,-91.0,-85.0,,,-86.0,,,-76.0,-93.0,,,,,,,,,,,,,,,-89.0,,2437.0,,,,,,,,,,,,,,,,2437.0,2437.0,2462.0,5500.0,2462.0,,,2462.0,5580.0,2462.0,,,2462.0,,,5500.0,2412.0,,,,,,,,,,,,,,,5500.0,
73.6707,-86.0,,,,,,,,-85.0,-89.0,,,,,,,-83.0,-67.0,-88.0,,-87.0,-88.0,,-86.0,,-85.0,,,-85.0,,,-79.0,,,-91.0,,,,,,,,-93.0,,-94.0,,,,,2437.0,,,,,,,,2437.0,2422.0,,,,,,,2437.0,2437.0,2462.0,,2462.0,2462.0,,2462.0,,2462.0,,,2462.0,,,5500.0,,,2437.0,,,,,,,,5180.0,,5180.0,,,,
75.6209,-89.0,,,,,,,,-85.0,-87.0,,,,,,,-79.0,-71.0,-90.0,-88.0,-89.0,-85.0,,-88.0,,-89.0,,,-87.0,,,-83.0,-89.0,,,-93.0,,,,,,,-93.0,-93.0,,-93.0,,,,2437.0,,,,,,,,2437.0,2422.0,,,,,,,2437.0,2437.0,2462.0,5500.0,2462.0,2462.0,,2462.0,,2462.0,,,2462.0,,,5500.0,2412.0,,,5180.0,,,,,,,5180.0,5180.0,,5180.0,,,
77.6617,-87.0,,,,,,,,,,,,,,,,-76.0,-67.0,-83.0,-87.0,-81.0,-80.0,,-90.0,,-90.0,,,,,,-77.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,2437.0,2437.0,2462.0,5500.0,2462.0,2462.0,,2462.0,,2462.0,,,,,,5500.0,,,,,,,,,,,,,,,,,
79.618,,-93.0,,,,,,,,,,,,,,,-69.0,-74.0,,,,,,-92.0,,,,,,,,-86.0,,,,,,,,,,,,,,,,,,,5200.0,,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,,,,,,,,5500.0,,,,,,,,,,,,,,,,,
81.6768,,,,,,,,,,,-89.0,,,,,,-75.0,-73.0,,,,,,-92.0,,-92.0,,,-91.0,,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
83.8214,-86.0,,,,,,,,,,-92.0,,,,,,-81.0,-76.0,,,,,,-92.0,,-93.0,,,-93.0,,,-85.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
85.7046,-86.0,,,,,,,,,,-89.0,,,,,,-74.0,-78.0,-94.0,,-94.0,,,-89.0,,,,,,,,-88.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,2437.0,,,,,,2437.0,2437.0,2462.0,,2462.0,,,2462.0,,,,,,,,5500.0,,,,,,,,,,,,,,,,,
87.6768,-83.0,,,,,,,,,,-81.0,,,,,,-68.0,-83.0,-92.0,,,,,,,,,,,,,-85.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,2437.0,,,,,,2437.0,2437.0,2462.0,,,,,,,,,,,,,5500.0,,,,,,,,,,,,,,,,,
89.6738,-77.0,-89.0,-92.0,,,,,,-95.0,,-79.0,,,,,,-57.0,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,,,,2437.0,,2437.0,,,,,,2437.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.6458,-81.0,-85.0,-83.0,,,,,-93.0,,,-79.0,,,,,,-66.0,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.0,,,2437.0,5200.0,2417.0,,,,,2427.0,,,2437.0,,,,,,2437.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,,
93.6444,-75.0,-83.0,-85.0,,-87.0,-93.0,,-85.0,-90.0,,-76.0,,-93.0,,,,-63.0,-88.0,,,,,,-96.0,,,,,,,,,,,,,,,,,,,,,,,-80.0,,,2437.0,5200.0,2417.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,5220.0,,,,2437.0,2437.0,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,,,2462.0,,
95.6502,-68.0,-81.0,,,-82.0,-88.0,,-79.0,,,-68.0,-88.0,,-83.0,,,-51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.0,,,2437.0,5200.0,,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,,
97.6659,-69.0,-82.0,-74.0,-91.0,-87.0,-90.0,,-70.0,-87.0,,-67.0,,-91.0,-84.0,,,-54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.0,,,2437.0,5200.0,2417.0,2452.0,2462.0,2412.0,,2427.0,2437.0,,2437.0,,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,,
99.6428,-65.0,-78.0,,-85.0,-86.0,-87.0,,-82.0,-86.0,-90.0,-65.0,-90.0,,-85.0,,,-49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83.0,,,2437.0,5200.0,,2452.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,,
101.6635,-72.0,-84.0,-77.0,-91.0,-86.0,-92.0,,-83.0,-89.0,,-77.0,-90.0,-93.0,-88.0,,,-53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.0,,,2437.0,5200.0,2417.0,2452.0,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,,
103.6621,-73.0,,-77.0,-87.0,-91.0,-91.0,,-83.0,,-76.0,-78.0,-90.0,-90.0,-93.0,,-85.0,-58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.0,,,2437.0,,2417.0,2452.0,2462.0,2412.0,,2427.0,,2422.0,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,,
105.6815,-68.0,-84.0,-78.0,,,-91.0,,-89.0,-91.0,,-75.0,-92.0,-93.0,-85.0,,-90.0,-60.0,-92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.6467,-67.0,-84.0,-74.0,-91.0,-88.0,,,,-88.0,,-69.0,-92.0,-93.0,-83.0,,,-59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2462.0,,,,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
